,AGO,ALB,AND,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,YEM,YUG,ZAF,ZMB,ZWE
GHA,0,0,0,0,0,0,0,4,0,0,0,4,2,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18,12,0,4,6,2,0,0,2,2,0,0,2,0,0,0,26,0,0,30,2,0,0,2,0,2,0,0,0,0,8,0,0,82,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,22,0,10,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,2,0,0,0,0,0,0,2,0,0,0,18,0,30,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,4,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,2,0,0,60,0,0,2,0,0,0,0,6,0,0
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,2,0,0,0,4,2,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,2,2,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,108,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,2,0
GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,10,0,0,0,8,42,78,150,4,0,262,0,2,0,92,4,0,4,4,0,0,0,60,0,0,0,0,0,146,284,10,70,0,2,0,0,0,0,0,0,0,0,44,128,784,0,0,178,2,18,2,10,0,322,2,0,116,0,724,0,0,1132,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,88,2,10,44,2,0,4,54,552,0,0,116,0,0,0,0,0,6,2,0,10,0,0,0,0,0,0,2,8,8,4,0,4,0,0,42,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,296,126,2,8,6,2,0,0,2,0,0,156,0,108,0,0,0,88,240,0,0,0,2,6,0,0,0,0,0,0,98,64,238,0,0,0,0,0,0,0,0,0,2,2,22,6,0,0,54,4,1228,0,0,2,0,0,0,38,32,0,0
GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,4,4,2,0,2,0,0,4,0,0,10,4,0,0,0,10,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,74,0,0,2,0,0,0,0,0,0,0
GUF,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0
HRV,0,0,0,0,0,4,2,44,86,0,0,36,2,0,0,8,0,0,14,2,0,0,0,2,0,0,0,0,0,44,60,0,8,2,0,0,0,0,0,0,2,2,0,0,10,252,0,0,16,0,6,0,0,0,26,4,0,10,0,92,0,0,86,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,38,0,2,6,0,0,0,20,114,0,0,16,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4,0,6,0,0,0,0,0,0,0,30,0,2,0,0,0,14,38,0,0,0,0,4,0,0,0,0,0,0,18,102,30,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,24,0,268,0,0,0,0,0,0,8,8,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,4,0,0
HUN,0,2,0,0,8,48,2,94,214,0,0,222,0,0,0,74,0,0,0,4,0,0,0,44,0,0,0,0,0,258,286,14,82,0,0,0,0,6,0,0,0,8,0,34,140,1104,0,0,162,0,2,0,22,0,190,4,0,192,0,580,0,0,648,2,0,0,0,0,0,0,88,0,0,0,0,0,0,38,0,0,0,88,30,4,0,8,128,432,0,0,328,0,0,0,0,0,64,2,0,0,0,4,0,0,0,0,6,6,16,2,0,4,2,0,26,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,306,42,0,18,0,2,0,0,0,0,0,196,0,72,0,2,0,106,192,0,6,0,0,2,0,0,0,2,0,0,66,50,206,0,0,0,0,0,4,0,0,0,0,0,26,44,0,0,36,0,1342,0,0,10,8,0,0,30,46,2,0
IDN,0,0,0,0,0,0,0,130,10,0,0,8,0,0,4,0,0,0,0,0,0,0,0,4,0,2,0,0,0,34,12,6,26,0,2,0,0,4,0,0,0,0,0,0,4,56,0,0,2,0,0,2,6,0,4,0,0,6,0,64,0,0,70,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,12,0,0,210,0,4,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,38,0,0,0,0,0,84,2,2,10,0,2,0,2,12,0,2,4,0,2,0,0,0,0,2,0,2,0,0,12,0,0,0,0,0,2,4,2,18,0,2,0,0,0,26,0,0,0,0,0,0,14,0,2,0,0,202,0,0,0,6,0,0,0,4,0,0
IND,0,0,0,0,4,54,4,230,42,0,0,92,0,0,46,54,0,0,0,8,0,0,0,128,2,0,0,0,0,352,160,24,250,0,0,0,0,42,0,0,0,10,0,38,74,992,0,0,72,0,0,36,8,0,186,8,8,42,0,562,0,0,764,10,0,0,0,0,2,0,10,0,0,0,0,0,0,2,0,88,12,0,16,34,2,2,66,326,4,2,646,4,14,2,0,0,144,18,0,2,0,4,0,0,12,0,0,0,0,2,0,0,0,0,78,0,8,10,0,2,0,0,0,0,18,4,76,0,0,2,16,0,218,42,34,30,10,18,0,6,32,0,0,124,0,24,0,0,0,36,184,0,20,4,0,84,0,0,0,0,0,2,8,14,136,0,2,0,0,0,54,2,2,0,6,4,16,190,2,2,12,6,2388,10,0,12,14,0,0,4,74,2,4
IRL,0,2,0,0,2,8,2,58,54,0,0,120,0,0,6,8,0,0,0,2,0,0,0,16,0,0,0,0,0,112,92,4,34,0,0,0,0,6,0,0,0,0,0,0,12,306,0,0,92,0,0,0,8,0,118,2,2,82,0,260,0,0,1226,0,0,0,0,0,0,0,44,0,0,0,0,0,0,6,0,30,4,16,0,0,0,12,16,208,2,4,72,0,8,0,0,0,10,0,0,0,0,0,0,0,4,0,4,12,0,4,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,156,74,0,18,0,0,0,0,4,0,0,16,0,58,0,0,0,6,110,0,12,0,0,50,0,0,0,0,0,0,4,2,172,2,0,0,0,0,6,0,0,0,0,2,2,4,2,0,6,0,574,0,0,0,4,0,0,6,14,2,2
IRN,0,0,0,0,0,2,10,40,10,2,0,14,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,12,0,4,0,0,0,0,0,0,0,0,0,0,0,2,56,0,0,6,0,0,0,0,0,8,0,0,0,0,48,0,0,164,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,34,0,0,0,0,0,30,0,0,38,2,2,2,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,20,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,4,2,0,0,0,14,10,0,0,2,0,224,2,0,0,2,0,0,2,2,0,2
IRQ,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
ISL,0,0,0,0,0,4,0,16,6,0,0,24,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18,22,2,4,0,0,0,0,2,0,0,0,0,0,0,6,66,0,0,108,0,0,0,2,0,22,0,0,80,0,50,0,0,118,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,2,12,0,0,0,8,42,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,106,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,148,0,0,0,0,0,0,0,2,0,0
ISR,0,0,0,0,2,32,4,232,106,4,0,178,0,0,2,30,0,0,2,6,0,0,0,130,0,0,0,2,0,486,322,40,144,0,4,0,0,10,0,0,6,2,0,8,86,1294,0,0,106,0,2,0,10,0,214,0,4,104,0,828,0,0,838,8,0,0,0,0,0,0,54,0,0,0,0,0,0,20,0,128,0,66,16,0,0,8,0,502,0,12,360,18,4,0,0,0,74,0,0,2,0,0,0,0,0,0,6,4,10,0,0,6,0,0,80,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,290,76,0,32,2,4,0,2,2,0,0,162,0,34,0,12,0,24,380,0,2,0,0,36,0,0,0,0,0,0,24,40,188,0,0,0,0,0,14,0,2,0,0,6,70,40,0,0,96,2,4346,8,0,10,2,0,2,10,66,0,0
ITA,0,14,0,0,6,210,90,644,776,6,2,1162,0,26,0,198,0,0,4,50,0,2,6,596,2,0,0,2,0,1130,2058,138,466,2,8,0,2,20,0,0,12,44,0,50,436,4538,0,0,662,4,42,6,56,0,2208,40,8,526,0,4612,0,0,5124,48,12,0,6,6,0,0,552,0,0,2,2,0,0,114,0,432,12,326,208,30,0,42,502,0,2,16,1100,20,16,0,0,0,208,4,0,20,2,4,0,0,4,0,50,16,16,68,14,20,10,0,232,0,10,4,4,0,0,2,2,0,2,0,8,0,14,0,38,0,1874,406,6,90,2,18,2,8,10,0,4,800,0,324,2,0,0,278,1332,0,16,6,6,12,0,2,0,0,0,0,204,176,1148,2,0,6,0,2,6,0,0,0,0,30,160,128,10,24,164,22,9040,12,2,46,20,0,0,64,190,6,12
JAM,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,20,4,0,0,0,6,0,0,2,0,0,0,2,2,0,0,2,0,0,0,4,0,0,0,0,2,0,0,0,2,10,0,0,44,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,72,0,0,2,0,0,0,0,0,0,0
JOR,0,0,0,0,14,0,0,2,0,0,0,6,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,28,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,0,0,0,0,2,0,6,0,4,0,0,6,0,10,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,8,0,12,16,0,0,4,0,0,0,0,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,2,12,2,6,0,16,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,116,0,0,0,0,0,0,0,0,0,0
JPN,0,0,0,0,2,84,36,1082,282,10,0,362,0,0,96,70,0,0,0,42,0,2,8,296,0,2,0,0,0,1472,670,56,2782,0,8,0,0,20,0,0,4,10,0,6,326,2798,0,0,288,0,0,6,140,0,468,18,2,302,4,1732,0,2,2700,16,22,0,0,0,0,0,116,0,0,2,0,0,2,16,0,328,210,646,72,38,0,20,360,1100,10,4,0,18,20,0,2,0,1726,18,4,0,0,2,0,0,44,0,16,4,10,18,10,2,2,0,148,0,8,0,6,18,24,0,0,0,0,2,100,2,6,0,16,2,712,180,28,178,2,36,6,4,98,2,8,470,0,86,0,0,0,104,1370,0,24,6,0,196,2,0,0,0,0,0,86,50,764,0,0,2,0,0,396,0,0,0,0,14,122,466,16,8,182,12,13058,26,0,14,92,0,0,50,84,12,4
KAZ,0,0,0,0,2,0,2,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,2,10,0,0,0,0,0,0,0,0,0,0,0,10,26,0,0,0,0,0,0,0,0,16,4,0,2,0,6,0,0,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,18,20,0,0,18,0,2,4,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,14,0,0,0,0,0,4,82,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,4,4,0,0,0,2,0,0,0,2,0,34,6,0,0,0,0,0,0,0,0,0
KEN,0,0,0,0,0,2,0,24,6,2,0,66,10,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,62,48,0,4,4,18,0,0,6,0,0,8,4,0,0,0,72,0,0,30,4,0,0,0,0,4,0,6,0,0,32,0,0,254,0,10,0,0,6,0,0,0,0,0,2,2,0,0,0,0,0,4,14,8,2,0,0,4,16,2,0,20,2,0,0,0,0,4,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,2,2,2,2,0,8,0,60,2,0,0,0,0,2,4,0,0,0,0,0,4,2,0,0,0,0,0,2,8,8,0,0,0,0,0,0,0,0,2,30,0,0,2,0,2,8,0,0,0,0,0,0,0,30,24,0,0,246,0,0,2,0,0,0,0,34,18,16
KGZ,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0
KNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
KOR,0,0,0,0,0,46,14,186,38,0,0,38,0,0,6,32,0,0,0,20,0,0,4,78,0,0,0,0,0,460,152,30,584,0,2,0,0,46,0,0,2,0,0,32,60,472,0,0,46,0,2,34,24,0,152,0,0,48,0,310,0,0,610,2,2,0,0,0,0,0,6,0,0,2,0,0,0,6,0,64,4,144,10,0,0,0,74,208,0,2,1726,14,4,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,56,0,6,0,2,0,2,2,0,0,0,0,18,0,0,0,0,0,138,24,14,28,0,12,0,4,8,0,0,170,0,6,0,0,0,38,438,0,6,0,0,28,0,2,0,0,0,0,8,6,106,2,0,0,0,0,40,0,0,0,0,0,8,220,2,0,56,0,4556,8,0,6,28,0,0,6,18,0,0
