,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
FIN,0,5,1,0,0,18,52,121,0,473,423,1,0,412,1,8,6,144,0,0,6,113,0,0,5,240,0,0,0,2,0,525,659,51,508,2,2,2,0,0,110,0,2,7,28,0,117,321,1617,0,0,616,1,5,5,127,0,864,264,4,0,0,987,0,1,1891,100,5,0,0,0,0,0,390,0,1,0,0,0,0,186,0,289,2,230,131,144,1,97,106,948,1,11,423,2,8,3,2,0,277,2,0,7,0,10,0,0,8,0,149,22,35,6,0,4,3,1,162,0,12,0,14,0,1,1,2,0,0,3,7,24,3,1,0,2,5,816,517,3,161,2,118,5,35,7,0,0,424,0,276,1,0,7,0,150,638,0,50,2,1,70,0,0,0,0,0,148,0,0,152,71,1423,0,0,0,3,0,0,50,0,0,0,0,5,226,0,227,4,6,180,2,2059,3,1,0,4,5,0,0,0,0,102,1,2
FJI,0,0,0,0,0,1,1,0,0,50,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,1,0,0,0,0,7,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,10,3,0,15,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,13,0,0,0,0,0,1,0,0,13,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,4,0,5,0,0,0,3,1,0,23,0,0,1,2,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,4,0,1,1,0,0,0,25,1,0,0,0,1,0,0,0,0,3,0,11
FRA,4,8,10,2,0,57,681,322,1,2419,1671,133,1,3763,101,117,24,301,8,0,9,270,0,3,29,1887,4,3,0,1,23,3945,4168,719,2534,113,202,35,22,2,414,3,0,52,71,1,161,1231,8651,5,0,1490,7,932,73,268,0,5403,207,25,987,10,0,1,46,9449,247,21,0,10,8,1,0,1227,0,7,6,60,2,0,361,11,833,93,1149,666,391,6,116,901,6796,3,27,2209,14,71,3,36,0,817,22,29,264,5,18,0,7,15,0,219,224,42,715,55,22,98,1,770,1,25,47,31,3,20,14,14,11,0,12,15,116,16,86,39,34,5,3797,1045,16,434,26,200,32,108,53,0,3,1801,0,1339,8,0,69,0,995,1859,7,275,11,182,386,0,3,0,0,1,409,0,3,361,374,2288,0,0,7,43,12,26,270,0,0,1,9,1182,729,1,614,19,37,505,76,13011,10,2,0,88,237,8,0,0,6,757,8,33
FSM,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
GAB,0,1,0,0,0,0,0,0,0,5,6,0,0,7,2,9,0,1,0,0,0,0,0,0,3,5,0,1,0,0,9,3,6,0,2,6,7,6,2,0,2,0,0,0,0,0,0,2,38,0,0,4,0,0,1,1,0,3,0,0,1,0,46,0,0,26,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,5,0,0,2,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,3,3,0,0,1,0,0,15,0,0,0,0,0,4,2,1,0,0,0,0,1,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,22,0,0,0,2,0,0,0,0,0,2,0,1
GBR,6,8,11,0,0,159,709,438,0,7022,2386,277,1,3612,24,55,142,317,16,11,21,407,5,7,36,2179,30,12,0,23,3,6230,5128,950,5925,26,69,33,6,2,617,1,3,51,92,1,277,1510,12656,0,1,3079,14,63,99,526,0,7014,343,97,1891,15,9449,0,26,18152,409,171,0,10,81,10,4,2296,14,18,15,4,0,4,480,6,1211,168,1701,2382,670,65,312,1395,8313,20,91,3293,52,378,9,42,2,1403,60,32,72,3,44,0,4,105,1,251,112,61,314,9,9,32,0,841,0,52,28,83,4,17,23,41,3,1,23,157,794,30,14,10,190,1,7514,2248,60,1371,83,518,63,141,104,0,17,2276,0,1793,6,3,123,0,849,1974,16,680,42,38,946,0,10,3,1,2,654,1,4,593,575,4325,5,0,18,39,4,3,559,4,0,0,43,71,1129,1,1139,214,228,483,59,23417,13,9,0,67,206,2,0,1,7,1823,67,69
GEO,0,0,0,0,0,3,133,231,0,197,240,134,0,107,0,2,3,103,0,0,0,224,0,0,1,230,0,0,0,0,0,142,247,132,235,2,1,2,0,0,223,0,0,0,0,0,98,233,287,0,0,133,1,4,0,95,0,254,94,0,100,0,247,0,0,409,0,0,0,0,0,0,0,234,0,0,1,0,0,0,98,0,231,1,99,7,98,0,1,133,263,0,0,145,2,0,3,1,0,100,0,0,2,0,0,0,0,0,0,97,1,2,130,0,1,2,0,139,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,144,134,1,94,0,105,0,2,1,0,0,245,0,227,0,0,1,0,187,271,0,9,0,0,3,0,0,0,0,0,225,0,0,135,132,144,0,0,0,2,0,0,13,0,0,0,0,2,238,0,226,0,0,105,1,327,2,0,0,4,3,0,0,0,0,132,0,0
GHA,0,0,0,0,0,0,4,0,0,36,7,0,0,12,11,19,4,2,0,0,1,0,0,0,5,12,0,1,0,0,1,24,41,1,23,10,12,5,3,0,4,0,1,0,0,0,0,4,64,0,0,26,0,0,1,9,0,14,1,8,5,11,21,0,7,171,0,0,0,4,6,1,0,3,0,0,0,0,0,0,1,1,0,9,17,7,3,0,0,6,16,0,0,29,0,39,0,3,0,7,0,2,0,3,0,0,0,4,0,1,2,0,2,0,0,3,1,6,0,1,15,1,0,0,0,6,1,0,0,9,13,0,0,6,31,0,49,6,4,8,0,5,7,5,2,0,13,1,0,4,0,0,0,0,2,11,3,5,4,13,4,0,2,0,0,0,1,0,0,0,0,20,0,0,0,1,0,3,11,0,0,0,0,3,1,1,2,22,17,0,5,197,0,0,0,1,4,0,0,0,0,44,2,13
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,1,0,0,2,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,3,6,4,1,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,1,0,0,0,1,0,0,10,0,0,10,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,5,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,12,1,0,0,0,1,0,0,0,0,4,0,0
GMB,0,0,0,0,0,0,2,0,0,9,0,0,0,23,2,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,7,1,2,0,3,3,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,6,1,1,0,0,8,0,0,81,0,6,0,2,0,6,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,1,7,0,0,2,0,13,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,8,0,0,0,0,3,0,0,0,2,1,0,0,0,5,0,15,3,0,6,0,4,0,1,1,0,1,0,0,1,0,0,0,0,0,2,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,4,4,0,0,43,0,0,0,0,2,0,0,0,0,8,2,0
GNB,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,2,0,0,0,0,1,0,0,10,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
GNQ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,2,0,1
GRC,0,0,11,0,0,18,197,255,0,425,525,129,0,542,0,3,3,183,0,0,5,227,0,0,2,363,0,0,0,4,0,496,738,178,466,3,1,2,0,0,239,0,0,7,28,1,333,451,1668,0,0,443,2,10,9,140,0,1176,120,0,390,0,1227,0,0,2296,234,3,0,0,0,0,0,0,0,1,0,0,0,2,174,0,394,4,222,126,148,9,32,272,1408,0,20,364,10,5,2,2,0,246,4,0,16,0,1,0,0,7,0,132,24,8,141,0,3,3,1,205,0,18,0,21,0,9,7,3,0,0,0,0,22,0,3,0,11,0,792,352,5,134,2,112,5,27,8,0,0,545,0,393,0,0,9,0,357,442,1,97,4,1,60,0,0,1,0,0,351,0,0,255,199,618,0,0,0,8,0,0,39,0,0,0,0,14,444,0,317,2,5,163,6,2175,0,0,0,10,7,0,0,0,0,200,1,2
GRD,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,3,0,0
GRL,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,19,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,70,0,0,0,0,0,7,2,0,1,0,7,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,27,0,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,15,0,0,3,6,0,0,1,0,0,0,0,0,0,0,0,3,0,5,14,0,0,0,0,1,10,6,7,4,1,1,5,0,0,9,0,0,12,0,0,0,2,9,0,0,4,5,0,3,0,0,12,0,0,0,0,6,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,4,11,2,0,0,0,0,8,0,0,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,15,1,2,0,0,7,6,8,5,0,1,1,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,17,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,0,4,112,0,0,0,5,1,0,0,0,0,7,7,0
GUF,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,5,1,1,2,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,60,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,1,1,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0,0,7,0,8,0,0,0,0,0,0,10,0,0,7,0,0,0,0,2,0,0,0,4,0,5,0,0,5,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,0,0,0,0,8,4,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,67,0,0,0,6,0,0,0,0,0,0,0,0
HRV,0,0,6,0,0,2,25,124,0,140,251,1,0,195,0,0,0,152,0,0,82,98,0,0,0,173,0,0,0,0,0,83,237,21,192,0,0,0,0,0,95,0,0,4,26,0,99,247,553,0,0,93,1,2,2,105,0,311,119,0,186,0,361,0,0,480,98,1,0,0,0,0,0,174,0,0,0,0,0,0,0,0,206,1,170,35,114,0,13,41,465,0,3,94,2,0,0,0,0,162,2,0,1,0,0,0,0,1,0,114,5,15,5,0,4,0,1,144,0,27,0,6,1,22,0,0,0,0,0,0,3,1,0,0,2,0,162,73,0,109,1,104,1,28,4,0,0,280,0,155,1,1,9,0,138,187,1,13,2,1,12,0,0,0,0,0,258,0,0,72,242,108,0,0,0,2,0,0,17,0,0,0,0,4,162,0,103,2,3,136,1,540,0,0,0,1,11,0,0,1,0,51,0,0
HTI,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,2,2,0,0,54,0,0,0,0,0,0,0,0,0,3,0,1
HUN,0,0,1,0,0,10,169,243,0,352,604,123,0,417,0,2,2,182,1,0,9,222,0,0,1,327,0,0,0,3,0,334,566,141,416,1,0,1,0,0,224,0,0,6,28,0,117,455,1329,0,3,340,1,6,0,114,0,678,151,1,289,0,833,0,0,1211,231,0,0,0,0,0,0,394,0,0,2,0,0,0,206,0,0,1,220,70,118,2,9,232,838,0,3,366,3,5,1,0,0,215,4,0,6,0,1,0,1,0,0,129,16,20,126,0,2,1,0,193,0,8,0,6,0,3,3,1,0,0,0,0,17,0,0,0,2,1,516,255,0,121,2,103,2,31,4,0,0,522,0,346,0,0,4,0,427,423,0,20,3,0,17,0,0,0,0,0,309,0,0,270,222,502,0,0,0,1,0,0,29,0,0,0,0,2,341,0,260,1,0,172,4,1384,1,0,0,4,3,0,0,0,0,197,0,0
IDN,0,0,0,0,0,2,3,2,0,225,19,2,0,9,0,3,17,2,0,0,1,1,0,0,2,25,0,2,0,0,1,35,39,3,95,2,8,2,0,0,6,0,0,7,2,1,1,7,117,0,0,19,0,1,1,5,0,20,4,2,2,2,93,0,1,168,1,9,1,1,1,0,0,4,0,0,4,0,0,0,1,0,1,0,48,3,6,3,1,4,32,0,1,398,0,13,0,8,0,110,4,6,0,1,0,0,0,7,0,2,0,0,1,0,1,2,0,9,0,1,0,1,6,1,1,1,0,0,2,0,248,0,0,0,4,3,181,16,8,29,1,14,1,6,47,0,4,4,1,4,2,0,5,0,2,8,0,18,4,2,85,0,1,1,0,0,2,0,1,1,0,23,0,0,0,1,0,0,105,0,0,0,1,2,10,0,70,2,11,1,1,237,0,0,0,5,36,0,0,0,1,12,1,2
IND,4,0,0,0,0,55,123,123,1,774,264,0,0,321,1,4,57,130,10,1,0,103,0,0,4,432,5,7,6,7,1,823,526,75,817,6,13,3,4,0,178,0,0,9,38,0,115,319,1479,0,0,172,8,21,48,170,0,649,101,53,230,13,1149,0,0,1701,99,17,0,0,4,1,0,222,2,0,11,0,1,0,170,4,220,48,0,108,249,17,9,194,746,0,14,887,20,47,3,12,1,1147,24,2,22,0,10,0,0,44,0,109,15,6,31,0,0,0,2,319,0,6,6,1,11,12,6,9,0,0,8,15,451,1,3,5,55,1,452,186,92,190,62,187,13,60,78,0,3,377,0,259,4,0,20,0,171,443,6,498,11,6,409,0,1,6,0,0,163,0,1,77,60,383,0,0,0,6,0,0,151,0,0,0,10,28,299,1,481,20,24,161,8,4461,8,1,0,14,34,0,0,0,7,312,17,14
IRL,0,2,0,0,0,4,43,19,0,398,206,0,0,209,0,3,5,18,4,0,4,10,0,1,3,171,1,0,0,0,0,407,304,25,352,2,2,2,0,0,48,0,0,4,3,0,9,160,913,0,0,200,0,8,41,20,0,553,22,3,131,0,666,0,1,2382,7,7,0,1,1,1,0,126,1,0,2,0,0,0,35,0,70,3,108,0,21,0,26,58,562,0,2,185,2,5,2,1,0,87,3,0,8,0,1,0,0,5,1,16,12,6,8,0,1,4,0,79,0,3,0,11,0,0,1,5,0,0,0,5,36,15,0,0,6,0,540,137,4,85,4,28,4,3,7,0,0,218,0,113,0,0,7,0,106,206,0,33,7,1,57,0,0,0,0,0,30,0,0,32,23,378,1,0,0,2,1,0,23,0,0,0,3,11,58,0,48,1,21,74,9,1552,1,0,0,4,44,0,0,0,0,79,3,1
IRN,2,1,3,0,0,21,24,126,0,473,179,35,0,227,0,1,10,111,2,0,2,100,0,0,3,152,2,0,0,0,0,633,240,17,269,1,2,2,0,0,113,0,0,6,1,0,100,136,524,0,1,104,1,10,5,124,0,308,106,0,144,0,391,0,1,670,98,3,0,0,1,0,0,148,18,0,0,1,0,0,114,0,118,6,249,21,0,16,12,26,401,0,10,162,9,5,1,1,0,291,15,2,14,0,0,0,0,9,0,106,4,7,10,0,1,1,1,121,0,5,0,5,2,4,0,3,0,0,4,0,495,1,0,0,10,0,235,42,2,155,23,179,2,7,9,0,1,154,0,152,2,0,17,0,115,146,0,68,7,0,44,0,0,0,0,0,129,0,0,11,25,196,0,0,0,16,0,0,37,3,1,0,0,18,321,0,135,2,6,106,3,1325,0,0,0,6,4,0,0,0,0,110,0,0
IRQ,0,0,0,0,0,14,0,0,0,13,2,0,0,5,0,0,0,3,2,0,0,0,0,0,0,4,0,1,0,0,0,8,5,0,26,0,0,0,0,0,3,0,0,0,0,0,1,4,25,0,0,1,0,1,0,7,0,7,1,0,1,0,6,0,0,65,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,3,17,0,16,0,0,3,29,0,15,8,0,0,0,0,0,6,1,0,7,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,3,0,7,3,0,1,3,10,0,0,0,0,0,3,0,4,0,0,1,0,4,4,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,0,0,1,0,0,0,0,1,15,0,4,0,0,0,0,45,0,0,0,0,1,0,0,0,5,0,0,0
ISL,0,0,0,0,0,4,4,0,0,67,54,0,0,39,0,0,1,6,0,0,0,1,0,0,0,11,0,0,0,0,0,83,68,8,38,0,0,0,0,0,2,0,0,2,0,0,1,12,158,0,0,166,0,0,1,2,0,98,23,1,97,0,116,0,0,312,1,0,0,0,0,0,0,32,0,2,0,0,0,0,13,0,9,1,9,26,12,0,0,10,113,0,0,45,0,3,0,0,0,13,0,0,2,0,0,0,0,2,0,7,2,3,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,121,144,0,7,0,5,0,0,1,0,0,35,0,12,0,0,2,0,10,35,0,2,0,0,22,0,0,0,0,0,5,0,0,5,6,236,0,0,0,0,0,0,4,0,0,0,0,0,12,0,7,0,0,2,2,334,1,0,0,0,3,0,0,0,0,16,0,0
ISR,0,0,0,0,1,8,182,136,0,488,343,130,0,263,0,2,5,27,0,0,5,134,0,1,3,258,2,0,0,0,0,763,558,201,416,1,0,1,0,0,151,0,0,6,0,0,18,253,1533,0,0,357,0,7,1,37,0,636,15,3,106,0,901,0,0,1395,133,6,0,0,1,0,0,272,0,0,0,0,0,0,41,3,232,4,194,58,26,3,10,0,886,0,25,393,13,12,2,0,0,126,4,1,28,0,2,1,0,6,0,16,10,15,136,1,10,1,0,111,0,6,2,8,1,3,1,4,0,0,0,2,32,2,0,0,8,0,623,268,4,65,3,11,5,8,5,0,0,317,0,230,5,13,5,0,184,384,0,27,4,0,97,0,0,0,0,0,164,0,0,153,178,403,0,0,0,4,0,0,21,0,0,0,1,16,273,0,194,3,5,95,7,3960,1,2,0,4,3,0,0,0,1,199,1,0
ITA,2,3,31,0,0,37,583,300,0,1740,1704,129,1,2241,5,14,27,308,2,2,20,277,0,1,17,1241,12,1,0,2,2,2299,3336,456,1393,14,46,9,4,0,331,0,1,26,83,1,190,965,7227,0,0,1356,5,52,24,289,1,5203,240,24,948,1,6796,0,5,8313,263,16,0,1,7,1,1,1408,1,7,8,0,0,6,465,1,838,32,746,562,401,29,113,886,0,4,27,1539,25,48,5,4,1,722,15,1,98,1,7,0,6,13,0,214,76,38,198,5,6,8,3,527,0,38,8,38,0,15,11,14,1,0,2,12,84,3,7,2,34,6,3427,866,16,381,9,201,12,59,25,0,3,1524,0,1119,3,0,27,0,815,1296,1,220,14,10,221,0,1,4,7,0,511,0,1,403,493,2018,0,0,0,20,3,1,141,3,4,0,0,137,765,0,498,21,22,345,31,11678,18,4,0,51,87,1,0,0,1,458,7,8
