,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
ERI,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,6,0,0,0,2,0,26,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,10,0,0,0,8,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,34,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,0,2,6,0,0,36,0,0,0,0,0,0,0,0,2,2,4,4
ESP,10,26,0,68,32,2,170,2326,466,0,4508,3274,246,0,5102,38,32,34,738,28,0,56,506,8,6,106,4866,4,6,2,18,2,4570,5920,2938,3798,24,56,18,14,0,1868,0,38,204,470,0,2,390,2450,14322,0,8,3464,56,242,720,636,6,0,656,118,2522,16,0,13852,0,0,44,18626,490,62,2,18,38,8,4,2932,4,14,68,6,2,38,740,6,1650,94,1882,1788,876,40,246,1650,14112,22,78,3078,40,132,6,18,0,2,1668,56,8,124,4,10,2,4,200,0,542,250,238,674,26,44,26,0,3432,0,82,36,102,8,30,18,146,4,0,14,14,708,16,24,14,82,26,7152,2314,14,0,770,70,388,96,400,80,0,92,3544,0,5616,66,4,336,1420,2716,16,1208,14,62,558,4,6,34,0,2,896,0,0,2,834,1046,4716,4,8,18,0,0,2,472,0,0,0,0,10,590,1744,0,1054,84,48,752,398,20846,32,10,2,410,204,6,0,4,4,1186,24,30
EST,8,0,0,14,0,0,20,26,180,0,190,414,10,0,464,8,2,14,296,10,0,12,192,6,0,2,314,2,6,0,6,0,162,486,20,420,12,10,4,0,0,180,0,0,2,2,0,0,228,408,884,0,0,358,2,12,2,194,0,656,0,10,902,8,0,642,0,0,0,1162,184,6,0,2,6,0,0,352,0,4,0,0,0,0,248,0,410,22,320,320,200,10,86,88,664,8,14,208,4,18,6,0,0,0,300,4,2,24,0,6,2,0,180,0,420,20,316,12,0,22,0,0,198,0,10,2,16,2,4,6,0,0,0,0,0,180,6,6,2,22,0,424,252,2,0,224,46,202,10,20,24,0,8,514,0,352,2,2,176,186,544,8,156,6,4,72,0,0,0,0,0,218,0,0,0,152,182,688,0,4,8,0,0,0,190,0,0,0,0,0,12,252,0,198,10,14,264,8,846,6,0,0,2,20,4,0,4,2,52,6,2
ETH,10,0,0,0,0,0,18,22,0,0,104,60,4,2,208,18,30,28,14,14,2,0,0,6,0,6,52,2,0,0,18,0,84,108,20,60,18,28,14,10,0,18,0,0,0,0,0,0,8,24,192,0,0,54,0,0,2,40,10,118,10,0,26,12,0,98,0,0,14,410,10,52,0,8,24,6,0,14,0,0,2,0,0,0,4,0,2,22,158,16,24,8,8,32,118,0,16,66,0,146,0,12,0,0,48,0,2,10,6,6,2,0,12,0,0,4,0,16,0,0,12,0,34,0,0,18,0,2,0,0,18,0,0,2,30,30,10,6,22,74,4,208,108,16,0,20,8,46,2,14,22,0,8,10,0,22,0,2,10,6,42,30,36,30,28,12,0,12,0,0,0,8,4,0,0,10,0,108,2,0,12,0,2,2,14,0,0,0,0,4,12,20,0,12,66,90,12,8,598,0,0,0,0,20,0,0,0,10,182,32,26
FIN,8,16,0,14,0,0,68,146,220,0,1422,1164,10,0,1372,8,18,30,418,12,0,18,208,6,0,8,808,6,4,2,6,0,1374,1792,252,1904,12,12,8,2,0,278,0,0,18,62,0,2,266,952,4500,0,2,1882,6,28,28,304,0,2522,902,26,0,10,0,3046,0,0,0,5456,200,38,0,0,8,4,0,1084,4,6,6,2,8,0,402,0,704,34,830,700,358,12,286,426,2774,10,36,1140,24,68,2,4,0,2,708,18,2,38,0,26,2,0,186,0,434,80,222,48,6,18,6,0,424,0,24,6,26,2,4,24,14,0,0,16,44,320,6,12,2,38,0,2296,1738,12,0,464,62,328,10,86,42,0,10,1262,0,878,4,2,222,368,1786,8,286,10,4,278,0,0,0,0,0,354,0,0,0,276,274,3946,0,4,8,0,0,0,312,2,0,0,0,4,42,536,0,412,38,34,382,32,5536,12,0,2,22,42,0,0,2,2,368,16,2
FJI,8,0,0,0,0,0,8,14,2,0,170,10,4,0,4,8,0,24,16,10,0,0,0,6,0,2,12,2,0,0,4,0,32,16,10,14,8,6,6,0,4,8,0,0,0,0,0,0,8,0,14,0,0,14,0,0,0,12,0,16,8,12,10,0,0,36,0,4,2,72,8,8,0,0,6,0,2,10,0,0,2,0,0,0,0,0,4,16,46,4,14,8,8,10,44,0,8,28,0,14,0,2,0,0,16,0,2,8,0,6,2,0,10,0,0,0,0,10,0,0,0,0,12,6,0,4,0,0,0,0,0,0,0,0,2,18,0,20,2,14,0,16,8,4,0,52,8,12,4,6,12,0,14,2,0,8,0,2,8,6,10,8,10,4,0,14,14,0,0,0,0,8,0,0,0,8,0,14,0,0,6,0,0,0,8,0,0,2,2,2,8,10,2,10,10,8,8,10,60,2,0,0,0,10,6,0,0,2,18,6,0
FLK,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
FRA,18,14,2,60,2,2,362,1562,562,0,6546,4076,244,14,9556,270,322,86,768,30,2,48,568,12,6,84,5122,6,26,6,18,56,9742,10742,1964,8102,240,464,104,78,4,1126,6,22,116,146,0,2,374,3272,21886,14,2,4040,22,2682,184,810,8,13852,642,98,3046,36,0,0,0,0,142,24598,478,106,0,100,54,4,2,3242,4,6,42,134,20,14,878,26,2020,328,2758,2008,832,72,324,2408,18134,24,82,5660,66,230,12,144,0,8,2216,50,112,1146,16,72,6,10,208,4,564,616,280,1766,178,46,226,2,1866,0,88,150,96,20,36,30,36,38,4,32,44,866,32,250,94,144,10,9594,2822,46,2,1204,114,562,68,344,172,0,16,4666,2,3192,18,6,526,2464,4734,28,1410,52,512,1284,4,10,16,2,0,948,0,0,16,858,1056,5762,12,36,68,0,26,86,940,4,0,0,2,30,3636,1880,0,1400,98,112,1240,196,31582,22,4,2,184,792,16,0,4,14,1912,50,62
FRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,2,0,0,14,24,2,0,44,20,26,2,2,0,0,0,0,0,0,4,10,0,4,0,0,8,10,34,0,12,18,44,22,12,0,4,0,0,0,0,0,0,0,6,134,0,0,22,0,0,2,4,0,44,0,14,0,2,0,142,0,0,0,68,0,32,0,0,12,4,4,0,0,0,2,0,0,0,0,0,2,12,14,0,2,0,0,0,20,0,0,14,0,32,0,8,0,0,2,0,4,0,2,0,0,0,2,0,0,4,0,6,0,0,8,0,2,0,0,14,0,6,0,0,22,0,0,0,6,6,0,0,8,14,0,62,0,2,0,2,2,2,4,6,4,0,2,2,0,10,0,0,0,0,2,10,4,4,18,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,16,0,0,0,0,2,0,2,0,2,24,12,0,2,70,0,0,0,4,2,2,0,0,0,18,8,0
GBR,64,16,0,60,2,0,792,1764,808,4,20472,6340,488,10,10610,86,226,500,1020,104,18,72,764,42,24,108,6570,78,90,6,102,28,16076,14190,2740,20070,122,224,118,72,4,1660,2,38,130,170,0,4,784,4264,33458,0,8,9272,30,228,242,1416,38,18626,1162,410,5456,72,4,24598,2,2,68,45140,798,528,0,68,318,24,6,5842,50,58,48,42,26,6,1190,14,3164,580,5368,6364,1574,444,666,3488,23890,80,374,8512,130,1146,24,166,0,34,3590,218,122,328,24,178,8,6,520,0,836,438,460,658,60,34,138,10,2016,0,104,154,336,60,46,92,96,0,10,84,430,2902,84,60,46,730,16,19852,6242,196,2,3826,258,1590,164,470,328,6,86,6142,6,5380,24,16,1054,2342,5452,130,2630,124,178,3182,20,114,8,0,12,1374,6,4,16,1336,1620,11974,26,34,84,4,12,20,1650,2,0,2,2,116,234,2996,2,2410,700,746,1140,220,62540,32,10,4,120,790,10,0,6,24,4584,242,222
GEO,8,0,0,10,0,0,28,252,418,0,268,448,250,0,202,8,4,12,214,12,0,8,414,6,0,0,422,2,4,0,4,0,274,484,246,444,8,8,6,0,0,414,0,0,0,0,0,0,174,412,586,0,0,260,0,2,0,186,0,490,184,10,200,8,0,478,0,0,0,798,0,6,0,0,6,0,0,420,0,0,6,0,0,0,192,2,416,14,294,178,186,8,10,262,532,6,12,272,10,14,10,0,0,0,200,0,2,18,0,6,2,0,168,0,170,2,18,234,0,14,0,0,204,0,4,2,2,2,4,2,2,0,0,0,0,394,2,6,2,14,0,264,254,2,0,184,50,184,2,10,18,0,8,466,0,426,4,4,172,260,492,8,122,4,0,38,0,0,0,0,0,422,0,0,0,252,246,270,6,0,8,0,0,0,174,4,0,0,0,0,18,434,0,410,8,8,222,8,694,20,0,0,2,14,0,0,4,2,262,6,0
GHA,6,0,4,0,0,0,4,12,0,0,132,18,4,0,64,40,84,28,8,6,0,0,0,4,0,12,34,6,2,0,6,2,126,202,10,180,46,66,22,16,0,18,0,0,6,2,0,0,6,10,256,0,0,108,0,0,4,28,0,62,6,52,38,8,0,106,0,0,32,528,6,0,0,12,48,4,0,12,0,0,2,2,2,0,0,0,4,36,74,20,12,8,6,10,44,16,10,84,0,112,0,10,0,0,34,0,8,8,6,8,2,0,12,0,0,8,0,10,0,0,14,0,22,0,0,56,2,16,0,0,32,0,0,0,56,40,10,4,22,136,2,146,30,6,0,20,10,22,12,20,26,0,12,6,0,14,0,2,12,8,18,24,20,16,42,14,2,12,0,0,2,10,0,0,0,8,4,126,0,8,4,0,2,18,38,0,0,0,0,2,10,12,0,8,84,68,8,16,656,0,0,0,0,26,4,0,0,4,260,34,12
GIB,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
GIN,0,0,0,0,0,0,2,0,0,0,14,0,0,0,44,12,24,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,10,40,0,14,24,16,10,6,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,18,2,8,0,0,0,100,0,0,0,68,0,12,0,0,8,0,0,2,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,10,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,4,0,2,0,0,6,4,0,0,2,0,0,0,2,10,0,6,10,0,0,2,0,2,0,4,6,0,2,0,0,6,0,0,0,0,0,4,0,2,34,0,2,12,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,4,0,0,66,0,0,0,0,0,4,0,0,0,16,2,0
GMB,6,0,0,0,0,0,4,8,0,0,50,12,2,0,116,18,40,18,6,6,0,0,0,6,0,4,12,4,0,0,6,2,16,56,6,12,16,16,12,12,0,12,0,0,2,4,0,2,6,0,40,0,2,26,0,0,2,8,0,38,6,24,8,6,0,54,0,0,12,318,6,48,0,8,0,10,0,6,2,0,0,0,0,0,0,0,0,16,28,4,8,6,6,8,24,4,6,30,0,52,0,10,0,0,10,0,4,6,2,4,2,0,6,2,2,4,0,8,0,0,12,0,10,0,0,46,0,6,0,2,26,0,0,0,14,6,0,4,10,34,0,54,12,0,0,26,6,10,2,16,6,0,6,2,0,16,0,0,6,4,8,14,10,8,36,6,0,6,0,0,0,6,0,0,0,6,0,26,2,0,6,0,0,2,16,0,0,0,0,2,6,10,0,16,36,24,6,8,132,0,0,2,2,22,0,0,0,2,40,22,0
GNB,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,4,6,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,0,4,4,4,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,76,0,0,0,0,0,8,0,6,4,0,0,4,0,0,4,24,0,4,0,0,10,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,0,0,4,12,0,0,4,0,8,0,2,0,0,6,0,4,0,2,0,0,0,4,0,0,2,0,0,0,0,6,0,0,0,0,4,0,2,0,4,4,0,0,0,0,0,0,0,4,4,0,18,4,0,0,2,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,4,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,8,4,0,0,16,0,0,0,0,2,0,0,0,0,6,4,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22,0,0,0,0,0,0,0,0,0,2,0,0
GRC,8,0,0,36,0,0,184,370,454,0,1054,1254,230,0,1550,8,6,26,498,14,0,16,416,6,0,0,852,2,10,2,6,0,1120,1798,382,1294,10,22,8,0,0,456,0,2,6,70,0,0,840,1124,3772,0,0,1186,0,36,14,360,0,2932,352,14,1084,10,0,3242,0,0,0,5842,420,12,0,2,6,0,0,0,0,4,2,0,0,4,464,0,856,18,726,662,314,16,88,700,3926,10,52,872,26,20,2,0,0,0,610,24,0,60,0,14,2,0,186,0,354,62,140,272,16,14,0,0,366,0,64,2,70,2,14,6,4,0,0,4,0,528,2,6,2,32,0,2110,926,8,0,304,72,280,8,78,30,0,8,1354,0,1086,6,4,278,812,1018,8,508,6,6,236,0,0,0,2,0,722,0,0,0,534,550,1588,0,4,14,0,0,0,338,0,0,0,0,0,88,1058,0,540,12,10,344,20,4990,4,2,0,24,40,2,0,6,2,454,6,2
GRD,0,0,0,0,0,0,2,2,0,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,6,0,0,2,0,14,10,2,8,0,0,0,0,0,2,0,0,2,2,0,2,0,0,14,0,2,2,0,0,2,4,0,4,0,0,4,0,0,4,0,0,0,50,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,0,0,0,12,6,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,2,0,0,0,2,0,0,0,32,0,6,0,0,0,28,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,2,0,0,0,2,228,0,0,4,2,0,0,0,0,0,8,0,0
GRL,0,0,0,0,0,0,6,2,0,0,6,8,0,0,12,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,64,14,4,6,2,2,0,0,0,2,0,0,0,2,0,0,0,4,20,0,0,206,0,2,2,4,0,14,4,0,6,0,0,6,0,0,0,58,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,0,2,10,2,0,14,4,6,0,2,4,0,2,0,0,0,0,4,0,0,2,0,0,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,24,32,0,0,2,0,2,0,2,2,0,0,16,0,8,0,0,0,2,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,0,30,0,2,0,0,0,0,2,0,0,0,0,0,2,4,0,2,0,2,16,0,46,0,0,0,2,2,0,0,0,0,4,0,0
GTM,0,2,0,0,0,0,2,78,0,0,18,18,2,0,6,0,0,8,6,0,0,0,6,2,0,30,56,0,0,2,0,0,42,18,52,14,2,4,4,0,0,58,0,0,48,30,0,0,0,10,46,0,0,10,16,0,24,2,0,68,0,2,6,2,0,42,0,0,2,48,6,2,0,0,0,0,0,2,0,0,0,0,0,46,0,0,14,6,42,0,2,0,4,4,26,0,0,8,0,34,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,4,2,0,0,2,0,112,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,2,2,24,20,6,2,0,6,0,30,28,50,10,0,0,10,0,4,28,0,0,8,6,0,2,0,0,10,0,0,60,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,8,0,0,0,0,2,0,8,0,4,2,0,8,20,288,0,0,0,22,2,0,0,0,0,16,28,0
GUF,0,0,0,0,0,0,0,6,0,0,10,2,0,0,6,0,0,0,0,0,0,0,0,0,0,14,40,0,0,0,0,2,2,8,2,0,0,4,0,0,0,12,0,0,4,0,0,0,0,0,14,0,0,2,0,0,10,0,0,6,0,0,2,0,0,134,0,0,0,42,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,2,0,0,0,0,0,8,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0,0,0,10,0,0,0,0,0,0,4,18,0,0,0,0,0,6,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,4,42,0,0,0,8,0,0,0,0,0,4,0,0
GUY,0,4,2,0,0,0,0,0,0,0,10,4,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,4,0,0,0,2,14,6,0,0,0,2,0,2,0,6,0,0,0,0,0,0,0,0,4,0,0,2,0,0,6,2,0,2,0,0,8,0,0,20,0,0,0,26,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,10,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,4,2,0,0,0,0,10,2,0,0,0,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,2,0,0,0,0,24,0,0,0,6,0,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,30,2,0,0,0,0,12,0,44,0,0,0,0,0,0,24,0,0,24,18,0,0,0,2,0,0,0,4,10,0,16,0,0,38,0,0,0,0,0,14,0,0,0,6,0,0,0,0,0,2,0,4,0,0,46,0,0,0,0,16,0,4,4,0,0,0,0,0,18,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,2,0,0,0,0,0,0,18,42,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0,0,42,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,8,144,0,0,0,2,4,0,0,0,0,2,0,0
HRV,0,0,0,40,0,0,14,58,224,0,220,638,6,0,448,0,6,8,300,2,0,274,188,0,2,0,360,0,4,0,0,0,216,564,38,436,0,2,4,0,0,182,0,0,2,62,0,0,206,568,1194,0,0,304,0,20,0,228,0,740,248,4,402,0,0,878,0,0,0,1190,192,0,0,0,0,0,0,464,0,4,0,0,0,0,0,0,470,14,362,314,192,4,42,180,1078,8,6,246,10,4,4,0,0,0,334,8,0,14,0,0,0,0,168,0,232,30,56,12,4,14,0,0,270,0,80,0,44,2,66,10,2,0,0,0,0,186,4,0,0,14,0,426,264,0,0,214,40,274,2,56,14,0,2,614,0,366,4,0,180,280,452,0,144,4,0,44,2,0,0,0,0,594,0,0,0,178,584,348,0,2,8,0,0,0,230,0,0,0,0,2,16,392,0,194,2,2,286,2,1156,4,0,0,2,10,0,0,14,0,118,0,0
HTI,4,0,0,0,0,0,0,16,0,0,12,0,0,0,10,0,2,4,2,0,0,0,0,0,0,0,38,0,0,0,6,0,16,12,10,2,2,2,4,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,6,0,6,0,0,6,0,0,0,0,0,26,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,20,0,0,0,0,2,0,2,0,0,0,8,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,6,2,0,0,0,16,0,2,0,0,10,0,2,0,0,0,0,0,4,0,24,4,0,0,0,0,0,0,0,0,0,0,8,0,0,2,6,0,6,0,0,4,0,0,0,0,0,0,6,0,0,2,0,0,0,6,0,0,0,0,0,0,2,0,0,6,10,2,0,222,0,0,0,4,2,0,0,0,0,16,6,14
HUN,0,0,0,30,0,0,44,342,442,0,692,1378,234,4,1002,0,4,8,402,4,0,26,394,0,0,2,828,0,4,0,6,0,806,1422,306,1036,4,18,4,0,0,420,0,0,0,62,0,0,236,1202,3024,0,2,842,6,16,8,240,0,1650,410,2,704,4,0,2020,0,2,2,3164,416,4,0,4,0,4,0,856,0,4,14,2,0,0,470,0,0,30,656,444,208,6,36,522,2114,4,10,930,20,12,2,0,0,2,544,14,0,24,0,4,0,2,170,0,362,44,162,230,0,24,0,0,314,0,34,0,24,0,12,8,2,0,0,2,0,432,2,0,0,10,2,1136,586,4,0,274,46,274,2,80,10,0,0,1282,0,784,4,2,180,1084,1026,2,198,2,0,74,0,0,0,0,0,716,0,0,0,694,602,1138,2,2,6,0,0,0,250,0,0,0,0,4,22,726,0,526,2,2,386,0,3292,2,0,0,12,34,0,0,4,2,424,0,0
IDN,16,0,0,2,0,0,22,46,4,0,742,64,6,0,126,22,20,50,28,10,0,4,4,6,0,8,108,2,18,4,6,4,160,156,24,268,22,30,12,8,0,32,0,0,10,6,0,0,12,20,374,0,0,68,0,2,8,38,0,94,22,22,34,16,0,328,0,0,12,580,14,36,0,2,16,2,0,18,0,0,6,2,2,4,14,2,30,0,158,14,70,18,14,34,136,0,10,1114,4,72,2,34,0,0,248,6,18,18,0,14,2,0,38,0,8,6,8,14,0,2,16,4,46,0,4,16,2,34,0,8,10,0,0,8,12,700,0,16,8,42,0,538,60,30,0,96,12,44,6,30,162,0,18,24,0,34,0,4,14,20,56,18,92,10,10,246,2,2,4,0,0,16,0,0,4,22,12,90,2,0,8,0,0,2,302,0,0,0,0,6,10,42,0,268,20,26,22,12,720,4,0,0,4,140,2,0,0,2,64,14,2
