,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
ETH,2,0,0,0,0,0,0,4,0,0,30,30,0,0,90,0,4,8,2,0,0,0,0,0,0,6,12,0,0,0,10,0,24,66,2,8,2,8,4,6,0,4,0,0,2,2,0,0,0,112,2,0,8,0,2,0,10,4,32,2,0,12,0,58,0,4,190,0,16,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,2,128,6,4,0,0,6,50,0,0,20,0,64,0,6,0,0,4,0,0,0,0,4,0,4,10,0,2,2,0,0,0,0,0,0,22,0,0,8,0,0,0,2,16,0,0,0,22,4,4,0,2,14,0,100,66,8,0,10,0,8,2,4,2,0,2,6,0,8,0,0,0,0,4,0,2,12,2,2,0,0,0,0,0,0,0,0,0,2,62,0,0,26,4,0,6,2,0,0,0,0,0,2,2,24,38,2,0,326,0,0,0,4,0,10,0,0,0,4,56,0,6
FIN,0,6,0,6,0,0,10,98,164,0,760,740,0,0,810,0,4,6,256,0,0,6,168,0,0,2,380,0,0,0,2,0,966,1142,122,896,0,4,0,0,0,168,0,0,8,30,2,158,530,2906,0,0,1198,0,2,4,176,0,1584,520,12,0,2,1858,0,0,3608,168,8,0,0,0,0,0,608,2,4,0,0,0,4,268,0,552,14,392,276,226,0,170,262,1746,2,14,794,6,8,2,0,0,0,422,6,0,6,0,8,0,0,4,0,254,48,72,8,4,8,8,0,282,0,12,4,14,0,4,8,0,0,0,4,14,26,2,0,0,8,0,1432,1034,4,0,304,6,172,8,30,10,0,0,818,0,522,0,0,10,220,1152,0,56,6,0,116,0,0,0,0,0,218,2,0,242,118,2582,0,0,2,0,0,46,0,0,0,0,4,8,366,402,28,16,290,4,4020,0,2,0,8,0,6,0,0,0,0,150,0,0
FJI,0,0,0,0,0,0,0,2,0,0,84,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,2,2,2,0,0,0,0,0,2,0,0,2,2,0,0,2,4,0,0,6,0,0,2,0,0,4,0,0,2,0,6,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,0,2,0,2,0,2,0,0,0,0,2,0,2,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,2,0,46,0,0,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,2,0,0,8,0,0,8,0,0,0,2,0,38,0,0,0,2,0,2,2,0,0,0,0,0,0
FRA,8,4,0,16,0,2,102,1208,416,0,4146,2992,138,6,7434,178,256,28,560,18,2,22,370,6,0,68,3114,6,2,2,8,34,7252,7578,1250,4446,198,350,50,50,2,664,10,0,90,128,0,244,2180,16126,14,0,2648,10,1814,154,452,2,9960,378,58,1858,6,0,0,106,17380,306,48,0,26,22,2,0,2336,2,6,14,84,20,12,528,10,1400,100,2136,1276,690,10,254,1758,12234,14,48,4150,26,154,8,72,0,0,1588,24,40,450,4,16,0,8,14,0,366,410,86,1244,94,70,206,0,1364,0,30,100,28,4,26,28,26,26,2,22,52,244,38,154,82,96,6,6754,2004,26,0,846,48,288,34,192,80,0,8,3286,4,2270,8,2,82,1536,3562,14,406,30,386,680,0,0,2,0,0,536,0,0,706,552,3896,2,18,72,14,44,470,16,0,0,0,10,2270,1096,1042,62,66,804,138,24324,26,12,2,186,0,310,20,0,0,6,1152,14,42
FSM,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,0,0,0,2,18,0,0,52,4,20,0,0,0,0,0,0,0,0,2,2,0,2,0,0,8,6,18,0,0,8,32,8,14,0,2,0,0,0,0,0,0,0,86,2,0,2,0,0,0,0,0,6,0,4,0,0,106,0,0,48,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,2,12,0,0,2,0,8,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,2,0,0,6,6,0,0,0,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,12,6,0,0,56,0,0,0,0,0,0,0,0,0,0,8,2,2
GBR,18,12,0,20,0,0,216,1114,488,4,12056,4128,258,6,6680,42,98,280,572,40,14,26,480,10,8,72,3398,70,12,6,40,8,11852,9082,1580,9776,34,136,38,14,0,790,2,0,100,132,0,512,2406,22946,8,6,5584,26,72,168,926,8,12534,622,190,3608,30,17380,2,48,34012,442,264,2,14,116,10,10,3796,20,42,24,4,8,14,730,8,1938,232,3062,4560,1314,70,546,2160,15094,56,150,5926,34,688,12,64,4,6,2302,96,64,110,6,54,0,0,224,10,446,214,126,340,34,4,72,2,1316,0,44,72,138,18,26,40,54,0,4,32,282,1334,64,24,28,348,10,12920,4020,132,0,2756,106,934,90,224,210,0,32,3988,2,3156,18,6,136,1046,3328,26,896,84,80,1610,8,14,8,0,4,812,0,0,838,834,7658,18,22,64,8,0,968,4,0,2,0,86,114,1634,1702,450,470,680,86,43230,42,18,2,186,4,256,2,0,0,24,2766,154,160
GEO,0,0,0,2,0,0,0,120,260,0,136,304,114,0,178,2,0,0,166,0,0,0,260,0,0,0,262,0,0,0,0,0,138,314,112,260,0,0,0,0,0,254,0,0,0,2,0,146,238,386,0,0,124,0,0,0,144,0,314,150,0,168,0,306,0,0,442,0,0,0,0,0,0,0,268,0,0,0,0,0,2,154,0,250,0,146,12,152,0,2,126,330,0,0,138,4,0,2,0,0,0,150,0,0,0,0,0,0,0,2,0,152,0,6,112,0,4,0,0,160,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,126,118,2,0,142,0,168,0,0,0,0,0,294,0,270,0,0,0,150,330,0,0,0,0,0,0,0,0,0,0,256,0,0,122,114,140,0,0,0,0,0,0,2,0,0,0,0,0,286,274,0,0,164,0,448,2,0,0,0,0,0,0,0,0,0,114,0,0
GHA,0,0,0,0,0,0,2,2,0,0,36,8,0,2,30,12,26,6,0,0,0,0,0,0,0,2,12,2,2,0,0,2,48,58,0,28,8,20,2,4,0,6,0,0,0,0,0,2,2,114,0,0,34,0,0,2,8,0,8,0,16,8,0,48,0,16,264,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,2,8,14,0,2,0,0,0,18,2,4,42,0,74,0,4,0,0,4,0,8,2,0,0,0,0,8,0,0,4,0,0,0,0,6,0,4,0,0,22,0,0,0,0,14,0,0,0,28,8,2,0,8,36,0,54,12,0,0,2,4,2,6,4,2,0,0,0,0,8,0,0,0,4,0,2,2,4,30,0,0,0,0,0,0,0,0,0,0,2,28,2,0,0,0,0,8,0,0,0,0,0,2,4,0,32,30,0,0,310,0,0,0,0,0,2,0,0,0,0,78,6,2
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,6,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,26,0,2,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,2,0,0,4,0,0,0,18,6,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,14,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,12,0,0,0,2,0,8,0,0,0,0,22,0,0,116,0,4,0,0,0,12,0,0,0,0,2,0,0,0,2,0,2,2,8,2,0,0,0,2,8,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,6,0,0,0,0,0,0,0,0,6,2,0,0,64,0,0,0,0,0,2,0,0,0,0,8,0,0
GNB,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,2,0,0,0,0,2,0,0,10,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,2
GRC,0,0,0,26,0,0,18,170,304,0,384,798,114,0,1034,0,0,6,350,0,0,14,266,0,2,2,408,0,0,0,0,2,806,1176,182,644,2,0,0,0,0,274,0,0,6,22,0,510,602,2866,0,0,640,0,18,2,216,0,2028,214,0,608,0,2336,0,0,3796,268,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,568,8,346,238,232,8,56,422,2404,2,24,560,14,6,0,6,0,0,370,4,0,18,0,6,0,0,2,0,200,40,26,136,6,6,0,0,282,0,30,0,42,0,24,14,0,0,0,2,2,18,4,2,0,10,0,1194,486,0,0,206,0,156,0,28,8,0,0,850,0,662,0,2,8,432,634,0,102,8,4,82,0,0,0,0,0,476,0,0,358,246,974,0,0,6,0,0,44,0,0,0,0,0,44,656,404,0,2,214,6,4058,2,0,0,18,0,2,2,0,0,0,194,0,0
GRD,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,174,0,0,2,0,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,2,0,0,6,2,0,0,6,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,16,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,134,0,0,0,0,0,10,2,0,4,0,6,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,18,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,0,8,0,0,2,8,0,0,4,0,0,2,0,0,0,0,0,0,0,10,18,0,0,0,0,2,22,12,4,4,0,0,12,0,0,12,0,0,26,0,0,0,2,16,0,0,0,8,0,6,2,0,20,0,12,0,0,14,0,0,24,0,0,0,0,2,0,0,0,0,0,0,0,0,18,2,0,0,4,10,0,0,0,0,0,2,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,16,8,0,0,0,0,0,12,18,8,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,174,0,0,0,4,0,0,0,0,0,0,8,14,2
GUF,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,2,2,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,6,2,0,0,0,0,0,0,6,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,84,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,12,0,0,0,4,0,0,0,0,0,0,2,0,0
GUY,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,4,8,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,20,0,0,8,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,18,0,0,6,0,0,0,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,0,14,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,2,0,4,12,0,0,0,0,0,8,4,10,4,0,0,0,0,0,10,0,0,28,4,0,0,0,8,0,0,0,22,0,2,0,0,18,0,0,4,0,12,0,0,14,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,4,0,0,2,2,0,0,0,0,12,2,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,2,0,0,0,0,0,18,10,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,2,0,90,0,0,0,4,0,0,0,0,0,0,0,0,2
HRV,0,0,0,10,0,0,4,34,164,0,124,418,2,0,284,0,0,16,210,0,0,172,144,0,0,0,240,0,0,0,0,0,114,356,22,272,0,0,0,0,0,146,0,0,4,24,0,152,304,834,0,0,136,0,2,0,162,0,426,178,0,268,0,528,0,0,730,154,0,0,0,2,0,0,258,0,0,2,0,0,0,0,0,330,6,242,68,188,0,14,78,716,2,0,116,0,4,0,0,0,0,214,8,0,0,0,0,0,0,2,0,166,2,18,6,0,4,0,0,200,0,42,0,6,0,26,0,0,0,0,0,0,6,2,0,0,6,0,246,114,2,0,160,0,188,0,20,6,0,0,400,0,238,0,0,6,138,266,0,0,2,0,4,0,0,0,0,0,378,0,0,96,432,140,0,0,0,0,0,6,0,0,0,0,0,8,218,158,0,0,194,2,880,0,0,0,2,0,16,0,0,0,0,58,0,0
HTI,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,6,0,0,0,0,0,2,0,2,6,2,0,0,2,0,6,6,4,2,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,0,2,4,2,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,104,0,0,2,0,0,0,0,0,0,0,10,2,2
HUN,0,0,0,4,0,0,18,192,256,0,400,866,96,0,802,0,0,2,284,0,0,18,250,0,0,4,424,0,0,0,0,0,512,744,132,570,4,4,0,0,0,246,0,0,8,30,0,200,654,2394,0,0,502,2,4,2,176,0,1152,286,0,552,6,1400,0,0,1938,250,2,0,0,2,0,0,568,0,0,0,0,0,0,330,0,0,2,330,136,202,0,28,334,1368,0,4,486,4,10,2,2,0,0,308,12,2,4,0,0,0,0,0,0,214,24,36,94,4,6,6,0,240,0,16,2,10,0,4,6,0,0,0,0,0,30,2,0,0,6,2,758,350,2,0,222,4,164,8,22,8,0,0,742,0,448,0,0,6,546,602,0,14,4,2,24,0,0,2,0,0,368,0,0,332,230,850,0,0,2,0,0,40,4,0,0,0,0,2,416,320,0,0,266,8,2402,4,2,0,10,0,14,0,0,0,6,272,2,0
IDN,0,0,0,0,0,0,4,8,0,0,444,26,4,2,30,0,6,22,6,2,0,0,0,0,0,4,86,0,2,0,0,2,100,98,2,192,2,32,2,0,0,12,0,0,10,2,0,0,16,246,0,0,80,0,2,4,22,0,28,8,2,14,2,100,0,2,232,0,8,0,0,2,0,0,8,0,0,4,0,0,0,6,0,2,0,92,6,6,0,0,4,36,0,2,738,0,42,0,30,0,0,140,2,22,0,0,2,0,0,14,0,0,0,0,0,0,0,4,0,24,0,2,2,0,6,0,4,12,0,0,0,4,468,0,0,0,6,4,322,8,12,0,56,0,28,2,24,72,0,6,12,0,2,2,2,0,2,10,0,12,8,0,100,2,0,4,0,0,0,0,2,6,2,42,0,0,0,0,0,198,0,0,0,0,0,0,16,94,6,34,2,0,530,0,0,0,6,0,54,2,0,0,2,46,4,2
IND,8,0,2,0,0,0,68,238,162,2,1346,450,8,0,556,0,4,108,236,12,0,4,156,0,0,4,788,4,8,4,20,2,1614,964,134,1410,6,26,6,2,0,308,0,0,12,46,0,162,512,2976,0,0,294,20,50,92,288,6,1108,170,128,392,8,2136,0,4,3062,146,14,0,0,8,0,0,346,8,0,10,0,0,2,242,2,330,92,0,256,408,12,10,412,1386,8,18,1678,10,66,0,22,0,0,1980,54,10,34,0,40,0,0,76,2,154,32,8,34,0,2,2,4,522,0,4,10,0,10,4,10,26,0,0,22,14,992,2,4,10,136,6,838,314,178,0,298,102,310,18,80,168,0,6,632,0,484,6,2,22,238,750,6,712,26,8,606,0,0,6,0,0,216,0,0,150,88,672,2,4,14,0,0,278,0,0,0,0,18,38,428,888,20,36,226,18,8204,20,0,0,32,0,76,0,0,0,16,522,16,30
IRL,0,2,0,2,0,0,14,140,32,0,710,370,0,0,480,0,0,14,74,14,0,2,10,0,0,2,270,0,2,0,4,0,882,510,120,484,0,2,0,0,0,92,0,0,8,4,0,20,274,1760,0,0,388,0,4,84,36,0,964,62,6,276,0,1276,0,2,4560,12,0,0,0,2,0,0,238,0,0,0,0,0,2,68,0,136,6,256,0,52,0,56,132,1022,2,2,274,0,14,2,4,0,2,184,10,0,8,0,4,0,0,10,0,46,40,28,14,4,2,2,0,144,0,6,0,26,4,0,2,4,0,0,0,12,62,34,0,0,22,0,988,334,2,0,182,0,36,4,6,18,0,2,398,0,220,0,0,8,128,342,0,52,6,0,100,0,0,0,0,0,68,0,0,84,66,738,0,0,0,4,0,40,0,0,0,0,2,16,100,118,8,10,76,6,3030,0,0,0,6,0,20,0,0,0,0,148,0,0
IRN,8,0,0,2,0,0,34,32,190,0,702,288,66,0,354,0,0,22,150,0,0,0,152,0,0,2,230,0,0,0,0,0,1222,406,34,420,2,0,0,0,0,160,0,0,6,10,0,146,184,950,0,0,204,0,16,4,190,2,480,154,4,226,2,690,0,0,1314,152,2,0,0,0,0,0,232,24,0,0,0,0,0,188,0,202,6,408,52,0,14,32,28,676,0,16,342,2,14,2,0,0,0,368,28,0,12,0,2,0,0,2,0,144,4,0,14,0,4,2,0,196,0,4,0,0,0,2,0,2,0,0,0,2,872,0,0,0,14,0,386,66,4,0,232,36,302,6,4,6,0,0,220,0,202,0,0,20,94,244,0,110,4,2,88,0,2,0,0,0,192,0,0,28,22,344,0,0,20,2,0,46,4,0,0,0,0,26,438,210,2,2,158,0,2230,2,0,0,8,0,6,0,0,0,4,132,2,0
IRQ,0,0,0,0,0,0,14,0,4,0,32,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,34,0,0,0,0,0,2,0,0,0,0,0,0,2,14,0,0,0,0,0,0,10,0,2,0,0,0,0,10,0,0,70,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12,0,14,0,0,2,32,0,24,30,0,2,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,8,0,0,0,0,6,10,0,0,0,0,0,2,0,2,0,0,2,4,4,0,16,0,0,2,0,0,0,0,0,4,0,0,2,0,18,0,0,6,0,0,0,0,0,0,0,0,0,10,2,0,0,2,0,52,0,0,0,0,0,0,0,0,0,4,0,0,0
ISL,0,0,0,0,0,0,6,4,2,0,96,128,0,0,78,0,0,2,12,0,0,4,2,2,0,2,24,4,0,0,0,0,180,118,16,64,0,0,0,0,0,8,0,0,4,0,0,6,22,300,0,0,268,2,0,0,2,0,178,28,0,170,2,254,2,0,546,2,0,0,0,0,0,0,56,0,4,0,0,2,0,14,0,28,0,10,56,32,0,0,30,206,6,0,60,0,0,0,0,0,0,26,0,0,4,0,0,0,0,4,0,16,6,6,2,2,0,0,0,22,0,0,0,2,0,2,0,0,0,0,0,0,16,2,0,0,2,0,222,232,0,0,18,0,6,0,4,2,0,0,42,0,16,0,0,2,20,56,0,4,0,0,12,0,0,0,0,0,4,0,2,12,10,406,0,0,0,0,0,8,0,0,0,0,4,0,8,18,0,0,4,2,584,0,0,2,0,0,2,0,0,0,0,12,0,0
ISR,0,0,0,6,0,0,14,226,124,0,710,592,114,0,500,2,0,10,46,0,0,6,126,0,2,0,376,2,0,0,0,0,1280,906,242,632,0,4,0,0,0,174,0,0,6,4,0,36,370,2866,0,0,500,0,6,4,56,2,1162,42,6,262,0,1758,0,2,2160,126,0,0,2,2,0,0,422,0,0,0,0,0,0,78,2,334,4,412,132,28,2,30,0,1664,2,50,556,18,10,0,2,0,0,248,8,0,26,0,0,0,0,4,0,56,26,32,122,6,16,0,0,168,0,6,4,14,0,0,4,0,0,0,2,0,74,2,2,2,18,0,1084,412,4,0,128,0,16,4,12,18,0,2,498,0,308,6,20,6,226,638,2,56,2,0,142,0,0,0,0,0,182,0,0,198,190,556,2,0,2,0,0,40,0,4,0,0,2,24,314,232,0,0,136,10,7738,12,2,0,10,0,4,0,0,0,0,256,6,0
