,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,0,0,2,10,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,0,1,3,7,1,4,0,0,0,0,0,0,0,0,26,0,0,0,0,1,0,0,0,1,0,1,0,0,30,0,0,26,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,1,1,0,0,19,0,0,0,0,0,0,0,0,0,9,0,1
GBR,5,6,1,0,1,83,276,55,0,3547,1112,11,1,2218,17,22,93,221,13,2,7,36,2,7,13,1068,5,10,0,15,1,3914,2778,286,2624,11,46,8,9,0,118,0,0,18,43,95,680,8037,0,2,1611,4,40,49,158,3,3743,122,43,1210,9,6118,0,26,12806,25,63,0,3,78,3,0,1237,1,4,11,7,3,1,118,0,528,63,954,1286,428,9,119,663,5042,26,85,2318,68,216,3,9,0,1,664,28,19,48,0,17,0,0,81,0,95,52,31,24,6,9,19,0,432,0,8,17,37,6,10,13,16,0,1,14,82,247,18,11,2,105,1,0,4322,1216,29,933,43,202,20,61,42,0,16,1103,0,906,1,1,22,247,1492,7,103,21,23,457,1,1,0,0,0,120,0,0,0,230,184,2531,3,6,16,3,1,347,1,0,0,22,49,465,389,158,98,242,21,16220,16,1,0,63,86,0,0,3,0,912,33,34
GEO,0,0,2,0,0,0,2,4,0,3,6,1,0,16,0,0,0,5,0,0,0,1,0,0,0,8,0,0,0,0,0,12,15,0,7,0,0,0,0,0,0,0,0,0,1,1,4,49,0,0,4,0,0,0,0,0,20,4,0,6,0,22,0,0,25,0,1,0,0,0,0,0,8,0,0,0,0,0,0,2,0,7,0,4,1,2,0,0,10,43,0,0,20,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,2,0,5,0,0,0,0,0,15,0,6,0,0,0,3,53,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,10,0,0,0,0,0,1,0,0,0,1,0,3,3,0,0,13,0,64,6,0,0,1,1,0,0,0,0,2,0,0
GHA,0,0,0,0,0,0,0,0,0,6,2,0,0,8,6,8,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,31,17,1,5,4,7,0,2,0,2,0,0,0,0,0,1,35,0,0,12,1,0,0,4,0,3,0,2,5,0,12,0,2,63,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,6,1,1,0,0,1,2,1,0,10,0,16,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,1,0,0,0,4,0,0,0,1,13,0,0,17,5,0,1,0,2,1,2,1,0,0,0,0,0,1,0,5,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,1,2,0,0,0,1,0,2,1,8,7,0,0,118,2,0,0,1,0,0,0,0,0,12,2,0
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,2,0,1,0,0,13,0,1,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,2,0,0
GMB,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,1,0,0,1,0,8,0,1,78,0,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,3,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,15,0,0,0,0,3,0,0,0,0,3,0,1
GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,0,6,0,1,2,17,13,0,90,138,0,0,263,0,0,1,94,0,0,3,9,0,0,2,42,0,0,0,0,0,207,238,7,76,3,0,0,0,0,1,0,0,0,0,111,101,913,0,0,140,0,6,1,16,0,449,11,2,103,0,682,0,0,1237,8,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,64,2,43,60,24,2,6,111,636,1,3,143,19,2,0,0,0,0,47,1,0,5,0,9,0,0,1,0,14,6,6,5,1,5,0,0,35,0,6,1,7,0,9,8,0,0,0,0,0,31,0,1,0,6,0,0,359,108,0,23,0,7,0,1,7,0,0,175,0,113,0,0,0,116,152,0,3,2,0,26,0,0,0,0,0,86,0,0,0,48,55,223,0,0,2,0,0,12,0,0,0,0,10,107,18,4,0,53,2,1511,7,0,0,1,4,0,0,0,0,22,1,0
GRD,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,33,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,4,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0,0,0,5,1,3,2,0,0,0,0,0,3,0,0,5,1,0,0,6,0,1,0,1,0,1,0,0,5,0,1,0,0,2,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,2,2,0,4,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,8,3,0,0,0,1,3,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,1,57,0,0,1,2,0,0,0,0,0,2,0,0
GUF,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,25,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0
HND,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,1,0,0,0,0,0,0,0,0
HRV,0,0,1,0,0,1,4,5,0,26,72,0,0,33,0,0,4,15,0,0,64,4,0,0,0,23,0,0,0,0,0,38,60,2,32,1,0,0,0,0,1,0,0,0,0,3,41,207,0,0,18,0,0,0,2,0,42,3,0,17,0,117,0,0,118,2,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,46,2,27,8,6,0,0,11,140,1,0,32,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,9,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,47,19,0,5,0,3,0,2,1,0,0,52,0,11,0,0,1,18,48,0,0,2,0,1,0,0,0,0,0,20,0,0,0,21,134,20,0,0,0,0,0,1,0,0,0,0,2,17,7,0,0,13,0,218,2,0,0,0,1,0,0,0,0,11,0,0
HTI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0
HUN,0,0,1,0,1,12,39,2,0,78,242,0,0,213,0,0,2,65,0,0,3,3,0,0,1,51,0,0,0,0,0,155,177,12,86,2,1,0,0,0,0,0,0,0,2,11,134,840,0,0,110,0,0,2,15,0,228,16,0,164,0,415,0,0,528,7,2,0,0,0,0,0,64,0,0,0,0,0,0,46,0,0,2,55,34,10,0,3,92,400,0,1,227,2,0,0,1,0,0,53,2,0,4,0,0,0,0,0,0,22,6,11,5,0,1,1,0,25,0,3,0,4,1,1,0,0,0,0,0,0,6,0,0,0,1,0,0,217,57,2,27,0,3,1,2,1,0,0,188,0,77,0,0,0,165,140,0,3,0,0,6,0,0,0,0,0,36,0,0,0,97,47,223,0,0,2,0,0,7,0,0,0,0,4,56,25,1,0,44,1,964,3,0,0,4,2,0,0,0,0,23,0,0
IDN,0,0,0,0,0,2,2,0,0,113,10,0,0,12,0,1,4,0,0,0,0,0,0,0,3,6,0,0,0,0,0,17,13,3,31,1,2,0,0,0,2,0,0,1,2,0,3,63,0,0,7,0,0,0,4,0,9,0,1,5,1,34,0,1,63,0,3,0,0,1,1,0,2,0,0,0,0,0,0,2,0,2,0,20,2,0,0,0,3,39,0,0,196,0,5,0,4,0,0,38,2,2,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,6,0,0,1,0,3,0,1,0,0,0,0,1,48,0,2,0,1,0,0,95,7,2,10,0,8,0,4,23,0,4,1,0,1,0,0,1,5,6,0,0,0,2,22,2,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,51,0,0,0,0,0,1,13,1,1,1,2,138,0,0,0,2,13,1,0,0,0,3,0,0
IND,1,0,0,0,1,23,56,7,1,297,109,2,2,113,3,2,35,25,2,1,0,4,0,1,2,176,1,0,2,1,0,394,221,33,367,0,4,1,1,0,37,0,0,0,9,9,100,989,0,0,54,1,2,30,19,6,192,9,30,64,11,560,0,2,954,4,6,0,1,1,0,0,43,0,0,1,0,0,0,27,0,55,20,0,67,78,4,3,98,278,4,8,643,1,15,1,1,0,0,510,17,3,2,0,2,1,0,22,0,1,3,0,8,1,0,2,2,129,0,0,4,0,4,0,3,2,0,0,2,1,148,1,0,2,11,0,0,182,54,37,34,13,49,1,18,44,0,2,139,0,65,0,0,1,38,212,1,31,6,1,141,0,0,0,0,0,10,0,0,1,35,55,166,1,0,5,0,0,72,0,0,0,10,3,80,223,11,8,19,5,2642,15,0,0,7,19,0,0,7,0,85,5,13
IRL,0,0,0,0,0,3,39,12,0,167,90,0,0,152,0,0,5,17,1,0,1,3,0,2,1,67,0,0,0,0,0,213,176,26,149,0,0,0,0,0,28,0,0,0,2,6,94,499,0,0,110,1,2,27,8,0,221,8,0,123,0,378,0,0,1286,1,1,0,1,4,1,0,60,0,0,0,1,0,0,8,0,34,2,67,0,15,0,17,36,287,0,1,95,1,1,0,0,0,0,54,2,0,3,0,4,0,0,2,0,10,6,5,2,1,1,1,0,61,0,1,0,5,0,0,1,0,0,0,0,3,6,9,0,0,2,0,0,273,64,0,75,0,2,0,2,1,0,0,67,0,51,0,0,1,34,102,0,13,1,1,13,0,0,0,0,0,18,0,0,0,13,19,216,0,1,0,0,0,4,0,0,0,1,1,29,10,2,2,7,5,931,2,0,0,1,5,0,0,0,0,36,1,0
IRN,0,0,0,0,0,13,5,3,1,156,30,5,0,38,0,0,1,4,2,0,0,2,0,0,0,14,0,0,0,0,0,388,32,2,51,1,0,0,0,0,1,0,0,0,0,2,10,182,0,0,24,0,2,1,9,0,53,1,0,36,0,155,0,0,428,2,1,0,0,1,0,0,24,17,0,0,0,0,0,6,0,10,0,78,15,0,1,1,10,86,0,1,102,0,1,0,0,0,1,29,4,0,7,0,1,0,0,3,0,0,0,0,4,0,0,0,0,12,0,1,0,0,0,2,0,1,0,0,0,0,38,0,0,0,3,0,0,78,12,0,16,5,17,0,0,1,0,0,14,0,6,0,0,5,3,44,0,6,0,0,7,0,0,0,0,0,4,0,0,0,1,4,102,0,0,2,0,0,10,3,1,0,0,2,49,9,1,0,8,0,530,1,0,0,1,1,0,0,1,0,8,0,0
IRQ,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,2,0,1,0,0,0,2,3,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,4,0,15,2,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,19,0,0,0,0,0,0,0,2,0,2,0,0
ISL,0,0,0,0,0,0,3,0,0,19,14,0,0,18,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,44,20,4,7,0,0,0,0,1,3,0,0,1,0,0,4,56,0,0,82,0,0,0,0,1,47,14,0,40,1,68,0,0,119,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,3,17,1,0,0,3,39,0,0,16,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,35,84,0,3,1,1,1,3,1,0,0,7,0,17,0,0,0,3,13,0,1,0,0,8,0,0,0,0,0,2,0,0,0,1,6,125,0,0,0,0,0,1,0,0,0,0,0,4,5,0,0,2,0,167,0,0,0,0,0,0,0,0,0,2,0,0
ISR,0,0,3,0,0,0,26,9,0,205,125,2,0,203,0,1,1,17,0,0,1,8,0,0,0,71,0,0,0,1,0,413,243,23,140,0,2,0,0,0,16,0,0,4,0,8,88,909,0,0,121,0,2,0,10,0,290,3,0,62,0,605,0,0,663,10,1,0,0,0,0,0,111,0,0,0,1,0,0,11,0,92,3,98,36,10,1,3,0,495,1,20,204,25,11,0,0,0,0,86,0,0,11,0,1,0,0,1,0,14,5,7,5,0,3,0,0,44,0,1,1,6,0,0,0,1,1,0,0,1,22,1,1,0,8,0,0,278,68,1,35,1,1,0,5,1,0,1,132,0,64,0,5,0,26,231,0,3,0,0,36,0,0,0,0,1,12,0,0,0,15,14,130,0,0,2,0,0,12,0,2,0,1,6,90,52,3,3,60,8,3141,4,0,0,4,3,0,0,0,0,54,0,0
ITA,0,3,12,2,2,11,263,79,0,847,912,4,1,1324,2,17,7,213,6,0,7,36,0,0,10,517,3,2,0,0,1,1413,2064,177,494,4,25,3,0,0,45,0,0,9,35,37,476,4633,0,1,738,1,33,12,41,2,2847,49,11,539,0,4471,0,0,5042,43,2,0,0,3,0,0,636,2,3,2,1,0,1,140,0,400,39,278,287,86,4,39,495,0,1,15,1001,29,19,0,0,0,1,257,4,0,44,0,5,1,1,4,0,54,25,21,51,6,16,5,0,229,0,10,4,15,1,11,9,5,1,0,1,0,34,2,2,1,32,3,0,2002,460,5,131,3,42,5,26,14,0,1,827,0,449,1,1,5,312,1021,5,22,4,9,102,0,1,1,1,0,129,0,0,0,175,187,1153,0,1,6,1,1,50,1,0,0,0,53,280,157,12,7,174,14,8296,16,1,1,31,27,0,0,2,0,125,2,3
JAM,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,8,2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,26,0,1,0,0,1,0,0,1,1,0,2,0,0,3,1,1,0,0,4,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,55,0,0,1,1,0,0,0,0,0,5,0,0
JOR,0,0,0,0,0,28,1,2,0,8,5,0,0,3,0,0,0,2,5,0,0,3,0,0,0,8,0,0,0,1,0,30,5,0,3,0,0,0,0,0,0,0,0,0,0,0,7,67,0,0,2,0,5,1,16,0,2,0,2,1,0,18,0,0,85,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,8,1,1,15,0,20,15,0,0,6,0,5,1,0,0,0,4,3,0,5,0,0,0,0,1,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,9,2,0,3,2,3,0,0,1,0,0,3,0,1,0,1,8,2,2,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,2,13,0,0,0,3,0,171,0,0,0,0,0,0,0,1,0,1,0,0
JPN,0,1,0,0,0,20,59,17,0,900,286,6,0,413,5,0,129,75,0,0,0,16,0,0,3,256,0,1,2,1,0,1215,649,52,3421,0,5,1,1,0,17,0,0,8,18,5,216,2257,0,0,216,0,10,9,122,0,572,19,15,294,3,1591,0,1,2318,20,10,0,0,0,0,0,143,0,0,4,4,2,0,32,0,227,196,643,95,102,2,16,204,1001,5,6,0,35,35,4,18,1,0,1717,7,10,12,0,0,0,0,41,0,21,4,8,14,4,2,2,0,97,0,5,2,1,11,6,47,0,0,0,0,1,173,2,6,0,24,2,0,597,152,29,121,9,72,4,14,122,3,2,429,2,108,3,0,0,100,828,0,17,7,2,194,1,0,0,0,0,43,0,0,1,105,97,500,0,0,4,0,0,570,1,0,0,0,12,151,676,28,3,113,9,8890,23,0,0,4,130,0,0,3,0,93,6,1
KAZ,0,0,0,0,0,0,2,1,0,1,5,0,0,23,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,27,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,33,0,0,5,0,0,0,1,0,25,0,0,1,0,10,0,0,68,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,25,29,0,0,35,0,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,4,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,13,0,60,2,0,0,0,0,0,0,0,0,0,0,0
