,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,XKX,YEM,ZAF,ZMB,ZWE
FRA,4,10,2,20,0,4,116,878,190,0,3266,2366,16,2,6102,136,200,26,548,8,0,16,100,2,10,62,2526,2,6,0,6,32,6320,6390,792,3402,208,370,54,56,354,0,4,80,108,0,106,1686,14292,4,0,1934,0,1784,152,190,4,8040,190,54,1466,2,0,2,108,14650,40,46,24,12,0,0,1820,0,6,12,76,2,0,326,12,974,102,1558,968,428,12,158,1332,10684,4,42,3932,22,98,8,64,0,1138,16,16,362,2,16,0,4,24,2,250,344,90,940,82,52,138,0,1118,0,36,96,22,4,38,36,16,26,2,6,32,142,42,148,72,58,4,5448,1518,20,538,28,86,12,130,88,0,4,2786,0,1630,4,4,44,1194,3316,16,124,32,312,394,0,0,0,0,0,274,0,0,466,372,3226,2,12,42,24,40,440,0,0,0,24,2066,688,602,36,60,580,110,21120,18,4,0,170,0,280,18,0,2,782,14,30
FSM,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
GAB,0,4,0,0,0,0,0,0,0,0,0,12,0,0,4,2,12,0,0,2,0,0,0,0,0,0,6,0,0,0,0,6,8,6,0,2,0,24,6,8,2,0,0,0,0,0,0,2,64,0,0,0,0,0,0,0,0,16,0,2,0,0,108,0,0,40,0,10,2,2,0,0,2,0,0,0,2,0,0,0,0,0,4,0,2,0,0,0,0,4,0,0,2,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,0,6,2,0,0,2,0,2,0,2,4,0,14,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,4,8,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,8,2,0,0,32,0,0,0,0,0,0,0,0,0,22,2,4
GBR,12,10,2,4,0,16,236,808,140,0,9514,3064,30,4,5210,26,68,224,442,28,16,18,110,2,10,70,2398,24,8,14,34,10,9534,6720,814,7408,26,100,16,26,410,0,4,84,134,0,290,1684,19604,2,0,4040,22,118,174,592,4,9444,342,146,2892,22,14650,4,40,29652,62,186,16,140,6,4,3318,12,14,26,20,0,0,426,0,1260,220,2308,3634,984,28,328,1594,12388,42,168,5222,112,496,16,46,4,1704,112,28,94,2,58,2,10,140,0,230,156,78,104,22,10,58,2,970,0,30,38,64,14,44,54,28,0,8,28,206,818,54,28,20,294,6,10032,3056,96,2004,118,556,78,234,108,0,26,2648,2,2344,4,6,100,556,3080,18,338,84,44,1222,2,12,0,0,0,330,2,0,628,568,6184,12,18,58,2,0,726,2,0,0,72,130,1038,1118,308,290,468,76,37116,28,4,0,168,0,160,2,0,22,2124,86,84
GEO,0,0,0,0,0,0,0,4,16,0,6,4,4,0,28,0,2,0,4,0,0,0,4,0,0,0,8,0,0,0,0,0,16,56,0,12,0,0,0,0,0,0,0,0,0,0,0,18,108,0,0,16,0,0,2,4,0,40,6,0,2,0,40,0,0,62,0,2,0,0,0,0,14,0,0,0,0,0,0,4,0,12,2,4,2,2,0,0,18,50,0,0,28,4,0,4,0,0,8,0,0,0,0,0,0,0,0,0,4,4,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,12,0,2,0,34,0,0,0,0,0,20,0,8,0,0,0,8,98,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6,16,0,0,0,0,0,2,0,0,0,2,0,18,4,0,0,14,0,172,2,0,0,2,0,2,0,0,0,4,0,0
GHA,0,0,0,0,0,0,2,2,0,0,10,12,0,0,16,16,14,12,2,0,0,2,0,0,0,0,4,0,0,2,2,2,64,46,0,12,8,24,6,6,4,0,0,2,0,0,0,4,104,0,0,22,0,4,2,10,2,18,2,10,4,0,46,0,10,186,2,0,0,14,2,2,2,0,2,0,0,0,0,0,0,0,14,20,6,0,0,2,2,14,0,0,26,0,44,0,0,0,6,4,0,0,0,0,0,0,4,0,0,0,2,6,0,0,0,0,6,0,2,12,2,0,0,0,6,0,0,0,16,4,2,0,6,40,0,74,4,0,2,0,2,0,4,4,0,2,2,0,4,0,0,0,4,0,4,0,6,18,2,0,0,0,0,0,2,0,0,0,0,30,0,0,2,0,4,12,0,0,0,4,10,4,2,28,6,0,0,286,0,0,0,2,0,2,0,0,0,46,6,2
GIN,0,2,0,0,0,0,0,0,0,0,2,2,0,0,10,2,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,8,0,0,4,2,6,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,2,0,0,24,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,4,4,0,0,0,0,0,2,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,4,6,0,2
GMB,0,0,0,0,0,0,0,2,0,0,4,2,0,0,10,0,2,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,12,0,2,0,4,0,4,0,0,0,0,0,0,0,0,14,0,0,10,0,0,0,4,0,4,2,0,2,0,12,0,2,140,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,4,12,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,14,0,0,0,2,12,0,12,4,0,10,0,2,0,0,0,0,4,0,0,4,0,0,0,0,2,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,2,0,12,8,0,0,48,0,0,0,0,0,2,0,0,0,8,2,2
GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,0,0,20,0,0,12,34,38,0,292,370,2,0,638,0,2,2,240,0,0,2,16,0,0,2,110,0,0,0,2,0,640,762,32,286,0,8,0,0,12,0,0,4,2,0,382,326,2420,0,0,404,2,6,0,84,0,1348,60,6,408,0,1820,0,2,3318,14,2,0,0,0,0,0,2,0,2,0,0,0,98,0,226,8,170,172,94,4,28,230,1716,0,4,396,38,8,2,0,0,216,6,0,16,0,10,0,2,2,0,66,30,36,14,2,6,0,0,84,0,18,2,12,0,46,30,0,0,0,0,0,48,0,0,0,4,0,944,306,0,48,8,16,0,8,0,0,0,542,0,274,0,0,6,234,442,0,12,4,0,44,0,0,0,0,0,190,0,0,214,100,672,0,0,2,0,0,36,2,2,0,0,26,242,170,4,8,116,0,3652,6,0,0,8,0,4,0,0,0,52,0,0
GRD,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,32,2,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,42,0,0,0,0,0,0,0,0,4,0,6,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,0,12,0,0,2,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,10,8,10,0,0,0,4,0,16,0,0,20,6,0,0,2,8,0,0,4,6,0,4,0,0,20,0,0,2,0,12,0,0,26,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,2,2,4,4,0,0,0,8,0,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,34,4,0,0,0,4,6,8,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,2,4,0,0,0,0,0,4,0,0,0,0,0,2,0,2,0,0,4,140,0,0,0,12,0,2,0,0,0,4,4,0
GUF,0,0,0,0,0,0,0,0,0,0,6,2,0,0,4,0,0,0,0,0,0,0,0,0,0,8,20,0,0,0,0,0,4,6,0,2,0,0,0,0,8,0,0,0,0,0,0,2,8,0,0,2,0,0,8,0,0,2,0,0,2,0,76,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,8,0,2,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,4,4,4,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,2,4,0,0,0,0,0,6,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0,4,16,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,74,0,0,0,8,0,0,0,0,0,2,0,0
HRV,0,0,0,0,0,0,6,16,8,0,80,206,0,0,120,0,0,6,46,0,0,190,8,0,0,2,54,0,0,0,0,0,108,174,20,104,0,0,0,0,0,0,0,0,2,0,8,154,564,0,0,90,0,6,2,4,0,176,30,0,30,0,326,0,0,426,4,0,0,0,0,0,98,0,0,0,0,0,0,0,0,128,2,76,34,26,0,2,42,400,0,2,76,0,4,0,0,0,80,2,0,6,0,0,0,0,0,0,14,4,0,6,0,2,0,0,12,0,34,0,4,0,20,0,0,0,0,0,0,6,0,0,0,0,0,136,40,0,24,6,16,0,2,4,0,0,198,0,42,0,0,0,66,114,0,4,2,0,0,0,0,0,0,0,128,0,0,62,378,88,0,0,2,0,0,6,2,0,0,0,10,44,12,0,2,32,0,556,0,0,0,0,0,2,0,0,0,30,0,0
HTI,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
HUN,0,0,0,0,0,0,12,78,8,0,210,572,0,0,478,0,0,4,140,0,0,14,18,0,0,2,126,0,0,0,0,0,356,426,26,224,2,8,0,0,12,0,0,12,14,0,22,318,1808,0,2,228,0,0,2,44,0,622,70,4,312,0,974,0,0,1260,12,0,0,0,0,0,226,0,0,0,0,0,0,128,0,0,0,194,98,22,2,16,170,934,0,10,420,2,0,2,0,0,126,6,0,4,0,2,0,2,0,0,72,16,42,10,0,6,0,0,90,0,16,0,8,0,4,0,14,0,0,0,0,12,0,0,0,0,2,510,156,0,36,6,8,0,6,0,0,0,458,0,230,0,0,0,378,314,0,4,0,0,24,0,0,0,0,0,96,0,0,186,118,482,0,0,0,0,0,10,0,0,0,2,6,182,66,0,0,124,6,2030,0,0,0,8,0,12,0,0,0,94,0,0
IDN,0,0,0,0,0,0,6,4,0,0,288,14,2,0,20,2,2,8,2,0,0,0,0,0,0,4,14,0,0,0,0,0,48,50,4,78,2,8,4,0,2,0,0,6,2,0,0,10,158,0,0,18,0,0,0,6,0,12,0,10,8,0,102,0,4,220,2,14,0,2,0,0,8,0,0,2,0,0,2,2,0,0,0,52,8,8,2,2,4,34,0,2,540,0,10,0,12,0,172,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,6,0,0,0,0,0,0,4,236,2,0,0,8,2,258,4,6,34,0,12,0,2,60,0,14,8,0,6,0,0,2,2,12,0,2,0,2,78,0,0,2,0,0,0,0,0,4,0,26,0,0,0,0,2,152,0,0,0,0,0,4,70,6,6,0,4,296,0,0,0,4,0,34,0,0,0,18,0,0
IND,6,0,0,0,0,2,108,216,14,0,866,218,0,0,304,2,2,84,92,6,0,6,16,0,0,8,444,0,0,0,4,0,1048,516,96,916,2,10,0,0,126,0,0,8,18,4,6,290,2184,0,0,184,8,20,94,128,10,632,26,50,180,14,1558,0,0,2308,4,20,0,0,0,0,170,0,0,2,0,2,4,76,0,194,52,0,182,162,24,6,246,900,6,20,1502,36,38,0,22,0,1496,58,4,12,0,44,0,0,74,2,10,4,8,8,0,0,4,6,274,0,2,10,2,8,4,6,8,0,0,2,4,610,0,0,14,70,0,540,166,108,94,80,104,14,42,72,0,8,438,0,246,0,2,28,156,518,6,172,20,6,332,0,0,0,0,0,62,0,0,76,88,412,0,0,12,0,0,152,0,0,0,14,10,182,558,18,14,74,8,6328,14,0,0,34,0,34,0,0,8,268,2,2
IRL,0,0,0,0,0,4,10,120,40,0,556,260,0,0,384,0,4,8,52,10,0,4,6,0,0,0,204,0,2,0,8,0,694,364,38,442,2,4,6,0,96,0,0,6,6,0,18,220,1424,0,0,294,0,16,86,28,0,612,48,8,250,0,968,0,2,3634,2,6,2,2,0,0,172,0,0,4,0,0,0,34,0,98,8,182,0,44,0,34,114,688,8,0,220,10,16,0,0,0,192,0,0,8,0,8,0,2,8,0,32,26,14,2,0,0,2,0,134,0,0,4,8,2,0,0,2,0,0,0,22,38,38,2,0,16,0,752,184,0,144,0,22,6,12,6,0,2,218,0,158,0,0,2,62,244,0,30,4,8,62,0,0,0,0,0,26,0,0,36,24,586,0,0,0,0,0,30,0,0,0,6,6,62,38,6,8,10,6,2592,4,0,0,12,0,2,0,0,0,172,6,2
IRN,0,0,0,0,0,2,40,18,14,0,534,88,40,0,112,0,0,6,10,2,0,2,8,0,0,0,48,0,0,0,0,0,918,196,20,162,0,0,0,0,4,0,0,0,4,0,8,58,598,0,0,68,0,8,0,28,0,218,4,4,68,0,428,0,0,984,2,0,0,2,0,0,94,30,0,4,0,0,0,26,0,22,8,162,44,0,8,2,14,250,2,10,276,6,2,2,0,0,122,28,0,20,0,2,0,0,8,0,2,2,4,8,0,0,0,0,34,0,2,0,0,0,0,6,0,0,0,0,2,396,0,0,0,10,0,230,62,4,46,22,84,0,0,6,0,0,40,2,38,0,2,8,36,52,0,14,8,0,86,0,0,0,0,0,26,0,0,20,10,238,0,0,24,0,0,24,0,0,0,0,16,174,26,4,2,12,2,1488,2,0,0,6,0,2,0,0,2,28,0,0
IRQ,0,0,0,0,0,0,16,0,4,0,20,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,10,0,0,0,0,0,0,0,0,0,0,0,2,34,0,0,4,0,0,0,10,0,6,2,0,0,0,12,0,0,28,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,24,0,8,0,0,2,22,0,32,6,2,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,2,0,6,0,0,4,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,44,0,0,0,0,0,0,0,0,2,0,0,0
ISL,0,0,0,0,0,0,0,0,0,0,78,44,0,0,54,0,0,0,8,0,0,0,2,0,4,0,18,0,0,0,0,0,130,78,8,58,0,0,0,0,10,0,0,2,0,0,2,22,190,0,0,192,0,0,2,2,0,106,18,0,118,0,158,0,0,328,0,2,0,2,0,0,28,0,0,0,0,0,0,2,0,16,2,6,34,2,0,0,22,120,0,0,36,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,8,8,6,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,158,210,0,14,0,2,0,8,2,0,0,28,0,22,0,0,2,16,32,0,2,0,0,14,0,0,0,0,0,2,0,0,12,10,264,0,0,0,0,0,0,0,0,0,0,0,6,12,2,0,2,0,488,0,0,0,0,0,0,0,0,0,14,0,0
ISR,0,0,0,0,0,2,4,68,8,0,488,332,2,0,492,0,2,4,82,0,0,4,4,0,0,0,180,0,0,0,0,0,1086,546,76,414,0,4,0,2,46,0,0,16,12,0,12,198,2190,0,0,270,0,8,6,40,0,750,18,4,168,0,1332,0,0,1594,18,2,0,4,0,2,230,0,0,0,2,0,0,42,0,170,4,246,114,14,2,22,0,1048,2,30,456,44,12,4,0,0,218,4,0,18,0,0,0,0,4,0,20,12,10,4,0,16,0,0,90,0,6,2,6,2,2,6,0,0,0,0,0,54,6,2,0,20,0,712,216,2,76,0,14,0,6,4,0,0,274,0,174,0,22,8,72,522,0,10,4,0,86,0,0,0,0,0,44,0,0,26,48,340,0,0,6,0,0,32,0,0,0,2,10,184,102,4,2,126,8,6756,14,0,0,4,0,2,0,0,0,80,2,2
ITA,2,6,0,42,0,0,50,694,160,0,2066,2262,10,0,3294,6,44,26,480,6,2,16,86,0,0,26,1404,6,0,0,0,4,3352,5048,470,1322,20,84,10,12,140,4,2,38,96,0,124,1118,10822,0,0,1748,4,84,44,192,10,7610,196,36,1442,0,10684,0,4,12388,50,14,2,12,4,0,1716,0,0,8,2,2,6,400,0,934,34,900,688,250,22,120,1048,0,0,42,2236,44,40,0,4,0,700,14,2,82,0,6,0,2,16,2,172,112,80,108,16,18,10,0,620,0,46,12,32,2,50,30,16,4,0,0,6,102,10,6,10,74,10,4710,1092,18,404,24,64,8,56,28,0,4,1934,0,1182,2,2,8,810,2146,2,60,16,32,212,0,6,6,2,0,308,0,0,466,542,2814,0,0,36,2,2,122,0,0,0,4,208,678,400,50,20,362,52,19424,52,10,0,78,2,34,0,0,6,364,8,2
JAM,0,0,0,0,0,0,0,0,0,0,6,4,0,0,4,0,0,2,0,0,2,0,0,0,2,0,2,12,0,0,0,0,18,4,2,0,0,0,0,0,6,0,0,4,2,0,0,0,6,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,8,2,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,96,0,0,0,2,0,0,0,0,0,2,0,0
JOR,0,0,0,0,0,0,68,4,0,0,42,12,0,0,14,0,0,0,0,6,0,0,16,0,0,0,10,0,0,0,0,0,78,22,0,8,0,0,0,0,0,0,0,0,0,0,8,10,208,0,0,2,0,12,2,36,0,32,0,0,2,0,42,0,0,168,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,10,2,20,0,10,32,0,30,42,0,0,22,0,2,0,0,0,6,12,0,26,0,2,0,0,0,0,0,2,0,18,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,24,0,0,0,0,0,16,4,0,6,20,8,0,4,2,0,0,14,0,4,0,2,20,2,4,0,46,8,0,16,0,0,0,0,0,2,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,10,34,2,2,0,2,0,364,0,0,0,2,0,0,0,0,6,2,0,0
JPN,4,0,0,6,0,0,30,124,44,0,2186,664,8,0,848,14,0,358,134,2,2,4,38,0,2,10,542,2,0,2,12,0,2828,1454,202,7952,2,22,6,4,58,0,0,8,30,0,18,438,5208,0,0,526,0,34,8,446,0,1480,38,18,662,2,3932,0,2,5222,28,26,0,2,0,0,396,0,0,2,8,0,6,76,0,420,540,1502,220,276,6,36,456,2236,10,22,0,60,70,12,38,0,3626,18,30,18,2,4,0,0,90,0,38,18,16,38,0,6,6,0,304,0,20,0,6,20,4,84,0,0,0,2,2,462,4,12,2,36,4,1266,364,76,358,30,126,10,36,290,2,12,878,0,298,4,2,8,212,1600,0,80,26,4,530,0,2,4,0,0,66,0,0,238,162,1142,0,0,10,2,0,1376,8,0,0,2,58,306,1616,34,26,276,12,18604,34,0,0,34,0,382,0,0,2,244,16,2
KAZ,0,0,0,0,0,0,0,4,4,0,4,4,2,0,44,0,0,0,4,0,0,0,8,0,0,2,4,0,0,0,0,0,46,6,0,4,0,0,0,0,0,0,0,0,0,0,0,6,68,0,0,8,0,0,0,14,0,48,2,0,6,0,22,0,0,112,4,0,0,0,0,0,38,0,0,0,0,0,0,0,0,2,0,36,10,6,2,0,44,44,0,0,60,0,0,18,0,2,38,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,2,4,0,0,0,0,0,38,2,0,0,0,0,38,6,0,0,0,2,0,0,0,0,0,42,0,4,0,0,0,4,188,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,6,0,0,4,0,0,0,4,0,0,0,0,6,0,0,0,52,0,112,22,0,0,0,0,0,0,0,0,0,0,0
