,AGO,ALB,AND,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
GNB,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,6,0,0,0,8,10,42,178,2,0,196,0,0,2,72,0,0,0,4,0,0,0,72,0,0,0,0,0,142,320,8,62,0,0,0,0,2,0,0,0,38,102,684,0,0,184,2,4,0,4,0,260,8,0,120,0,660,0,0,938,4,0,0,0,0,0,0,0,0,0,0,0,2,0,26,0,64,2,14,40,4,0,6,54,426,0,4,96,0,0,0,0,0,22,0,0,2,0,0,0,0,0,0,14,6,4,2,0,4,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,250,118,2,0,4,8,0,0,0,0,0,144,0,128,0,0,0,48,194,0,4,0,0,2,0,0,0,0,0,2,2,92,94,216,0,0,0,0,0,2,0,0,0,0,2,22,4,0,0,36,2,1072,0,0,0,2,0,0,0,22,20,0,0
GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0
GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,4,8,4,0,0,0,0,0,0,6,4,0,0,4,0,0,0,0,0,4,0,0,2,0,0,0,0,6,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,86,0,0,2,2,0,0,0,0,0,0,0
GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
HKG,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,2,0,40,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,4,0,2,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,26,0,0,0,0,0,0,0,0,2,0,0
HND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
HRV,0,2,0,0,0,6,2,16,66,0,0,16,0,0,0,12,0,0,4,0,0,0,0,6,0,0,0,0,0,28,48,2,8,0,0,0,0,0,0,2,0,0,16,268,0,0,22,0,0,2,0,0,26,2,0,14,0,82,0,0,66,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,66,0,0,2,0,0,2,14,90,0,0,32,0,2,0,0,0,10,0,0,0,0,0,0,0,2,0,0,2,2,8,2,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,2,0,2,0,0,0,0,0,44,0,4,0,0,0,16,40,0,0,0,0,8,0,0,0,0,0,0,0,20,110,14,0,0,0,0,0,6,0,0,0,0,0,4,2,0,0,10,0,210,0,0,0,2,0,0,0,6,6,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
HUN,0,0,0,0,0,10,0,88,186,0,0,160,0,0,2,96,2,0,0,4,0,0,0,56,0,0,0,0,0,190,276,10,96,0,0,0,0,8,0,2,4,54,68,982,0,0,68,0,0,0,36,0,172,8,0,216,0,572,0,0,548,0,4,0,0,0,0,64,0,0,0,0,0,2,0,66,0,0,4,116,22,4,0,6,126,418,0,4,280,0,2,0,0,0,72,0,0,0,0,6,0,0,0,0,6,2,12,2,0,0,0,0,18,0,6,0,0,0,0,2,0,0,0,6,0,0,0,2,0,278,56,0,8,0,0,0,0,2,0,0,164,0,38,0,0,0,146,190,0,0,10,0,2,0,0,0,0,0,0,0,58,30,204,0,0,6,0,0,2,0,0,0,0,0,20,56,0,0,32,0,1204,0,0,8,2,0,0,0,28,24,0,0
IDN,0,0,0,0,0,2,0,116,4,0,0,20,0,0,6,4,0,0,0,0,0,0,4,10,0,0,0,2,2,22,12,6,10,2,2,0,0,4,0,4,2,0,0,52,0,0,4,0,2,0,6,0,0,0,2,0,0,40,0,0,52,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,4,0,22,0,0,0,0,0,6,4,0,180,0,4,0,0,0,6,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,2,0,2,0,0,0,0,0,10,0,0,0,0,0,68,0,4,6,0,6,2,4,12,0,0,2,0,2,0,0,0,0,0,0,0,4,2,12,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,26,0,0,0,0,2,0,4,2,4,0,0,142,0,0,0,18,0,0,0,0,2,0,2
IND,0,0,0,0,2,46,0,168,30,0,0,86,0,0,32,70,0,0,0,2,0,0,0,126,2,2,0,6,0,260,146,32,188,4,4,0,0,40,0,4,2,54,32,806,0,0,48,0,4,10,18,4,126,4,10,82,0,490,0,0,604,2,2,0,0,2,0,14,0,0,6,0,0,2,2,0,0,116,22,0,14,20,0,2,56,288,4,10,528,6,16,0,0,0,144,20,0,2,0,2,0,0,8,0,0,6,0,4,4,0,0,0,90,0,4,4,2,2,0,0,0,2,4,156,0,0,0,10,0,156,26,8,26,6,8,0,6,36,0,0,96,0,6,0,0,0,64,168,0,10,6,2,50,0,0,0,0,0,0,2,22,8,98,0,2,6,0,0,24,0,0,0,2,2,6,130,2,4,4,0,1866,10,0,10,18,0,0,8,2,50,0,6
IRL,0,0,0,0,4,6,0,70,32,0,0,100,0,0,2,4,4,0,0,2,0,2,4,14,0,0,0,0,0,120,82,0,18,0,0,0,0,4,0,0,0,0,16,266,0,0,72,0,0,0,4,0,122,4,2,58,0,212,0,0,1028,0,0,0,0,0,0,40,0,0,0,0,0,0,0,2,0,22,0,14,0,2,2,4,14,198,0,0,42,2,8,0,0,0,2,2,0,0,0,0,0,0,2,0,2,6,0,0,0,0,0,0,18,0,4,0,0,0,0,0,0,0,2,4,0,0,0,2,0,158,40,0,24,0,0,0,2,0,0,0,32,0,50,0,0,0,6,72,0,4,2,0,40,0,0,4,0,0,0,0,4,6,136,0,0,0,0,0,0,0,0,0,4,2,12,2,2,2,4,4,518,0,0,0,0,0,0,0,2,4,0,0
IRN,0,0,0,0,0,2,2,66,4,6,0,18,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,108,14,0,6,0,0,0,0,0,0,0,2,0,2,30,0,0,2,0,2,0,0,0,2,0,0,0,0,28,0,0,122,10,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,20,2,0,0,2,2,18,2,2,12,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,8,0,0,0,0,0,0,0,6,0,4,0,0,0,2,18,0,6,0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,0,0,0,4,8,0,0,6,0,132,0,0,0,0,0,0,0,2,0,0,0
IRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,0,0,0,0,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ISL,0,0,0,0,0,0,0,4,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,4,0,4,0,0,0,0,0,0,0,0,0,6,42,0,0,66,0,2,0,2,0,12,0,0,40,0,26,0,0,98,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,6,0,2,4,2,0,0,8,18,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,68,0,2,0,0,0,0,0,0,0,6,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,128,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,116,0,0,2,0,0,0,0,0,0,0,0
ISR,0,0,0,0,2,28,2,204,74,0,0,148,0,0,0,24,0,0,0,8,0,0,0,102,0,0,0,2,0,454,300,20,88,0,0,0,0,14,0,4,0,8,54,1248,0,0,106,0,0,0,12,0,166,6,4,76,0,652,0,0,762,8,0,0,0,0,0,54,0,0,0,0,0,6,0,14,0,126,0,56,14,2,0,8,0,506,0,16,314,4,10,0,0,0,54,0,0,0,0,0,0,0,2,0,2,0,8,12,0,8,0,0,54,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,244,46,0,28,0,6,2,2,8,0,0,120,0,38,0,2,0,14,318,0,4,2,0,22,0,0,0,0,0,0,0,20,18,142,0,0,0,0,0,12,2,0,0,0,0,42,24,0,2,76,0,4112,6,2,8,2,0,0,0,6,58,0,2
ITA,4,16,0,0,6,200,30,458,760,4,0,1056,2,14,14,196,2,0,0,38,0,0,12,442,0,0,0,6,0,1122,2078,96,440,2,8,0,2,34,0,6,46,74,356,3944,0,0,696,0,28,6,54,2,1938,36,6,528,0,4166,0,4,4408,30,4,0,2,0,0,426,0,0,2,4,0,4,2,90,0,418,6,288,198,18,2,18,506,0,0,14,906,2,14,0,0,0,186,4,0,12,0,2,0,0,4,0,52,16,18,86,6,12,2,0,134,0,2,4,2,0,0,0,0,0,2,8,0,12,2,32,2,1726,294,4,78,8,14,0,10,8,0,2,720,0,330,2,0,0,284,1200,0,28,0,14,16,0,0,2,4,0,0,0,192,162,1066,0,0,0,0,4,18,4,2,0,0,20,106,122,12,4,148,30,8140,8,2,62,8,0,0,2,36,106,2,2
JAM,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,2,6,0,0,2,0,18,4,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,0,0,0,2,0,0,6,0,0,60,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,4,4,0,2,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,2,2,2,0,0,84,0,0,0,2,0,0,0,0,0,0,0
JOR,0,0,0,0,20,2,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,24,6,0,10,0,0,0,0,0,0,0,0,6,2,50,0,0,0,0,2,0,6,0,0,0,0,2,0,14,0,0,54,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,4,0,10,0,2,4,0,16,14,0,0,10,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,2,4,2,0,0,0,0,0,0,2,0,0,0,0,6,0,4,0,12,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,0,2,2,12,0,0,0,0,0,110,0,0,2,0,0,0,0,0,0,0,0
JPN,0,4,0,0,6,72,20,856,206,0,0,296,0,2,62,68,2,0,0,44,0,0,10,224,4,4,0,0,0,1360,692,42,1982,2,6,0,4,32,0,10,8,4,244,2556,0,0,286,2,8,4,90,0,328,12,8,302,6,1534,0,2,2380,2,14,0,2,0,0,96,0,2,4,0,0,8,2,32,0,280,180,528,42,12,0,8,314,906,2,10,0,10,28,0,6,0,1156,6,0,4,0,2,0,0,26,0,12,0,16,24,4,2,4,0,112,2,0,0,0,12,26,0,0,0,2,116,0,2,2,12,0,670,150,16,186,0,20,8,10,100,0,4,418,0,70,0,0,2,90,1152,0,20,2,2,110,2,0,0,0,0,2,2,90,44,700,0,2,4,0,0,238,0,0,0,2,6,100,296,10,2,136,14,11468,24,0,18,44,6,0,0,62,74,10,2
KAZ,0,0,0,0,4,0,2,2,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,4,2,0,0,10,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,76,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,10,0,30,14,0,0,0,0,0,0,0,0,0,0
KEN,0,0,0,0,0,2,0,10,0,0,2,30,4,2,4,0,0,0,0,0,0,0,0,10,0,0,0,2,0,46,28,2,4,4,6,2,0,4,0,6,0,0,2,28,0,0,16,0,0,0,8,0,4,0,8,2,0,28,0,2,212,0,8,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,4,16,8,0,0,0,10,14,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,2,0,0,4,2,0,0,2,8,2,44,0,2,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,4,6,10,2,0,0,0,0,0,0,0,0,0,20,0,0,0,2,0,14,0,0,0,0,2,2,0,14,14,0,0,256,0,0,2,4,0,0,0,0,32,2,34
KGZ,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,20,14,0,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0
KNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
KOR,0,0,0,0,0,40,4,86,56,0,0,38,0,0,0,60,0,0,0,8,0,0,0,50,0,0,0,0,0,300,136,6,380,0,2,0,0,50,0,0,0,54,10,362,0,0,32,0,4,10,8,0,132,0,0,62,2,282,0,0,338,0,2,0,0,0,0,22,0,0,0,0,0,2,0,10,0,72,6,144,2,4,0,2,54,186,2,2,1156,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,8,6,0,0,0,48,0,0,0,0,2,2,0,0,0,2,16,0,0,0,4,0,98,18,0,16,0,2,0,4,4,0,0,154,0,8,0,0,0,70,324,0,0,0,0,28,0,0,0,0,0,0,0,4,2,44,0,0,0,0,0,12,0,0,0,0,0,6,124,0,2,38,0,3476,6,0,4,8,0,0,0,0,6,0,0
KWT,0,0,0,0,14,0,0,14,26,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,2,0,0,0,0,8,18,0,0,6,0,0,0,44,0,6,0,2,6,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,4,0,0,6,0,0,0,0,0,2,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,2,0,4,2,0,0,0,0,2,0,2,0,0,0,0,0,0,12,0,0,8,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,84,0,0,4,2,0,0,0,0,0,0,0
LAO,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
LBN,0,0,0,0,0,4,0,4,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,4,0,4,0,0,0,0,0,0,2,0,0,0,8,0,0,2,0,0,0,0,0,8,2,0,2,0,64,0,0,28,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,12,0,2,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,2
LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
