,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SRB,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
GEO,0,0,2,0,0,0,0,12,0,12,14,4,0,18,0,0,0,2,2,0,0,0,0,0,0,6,0,0,0,0,0,6,34,0,14,0,0,0,0,0,0,0,0,0,0,0,16,84,0,0,4,0,0,0,4,0,34,2,0,12,0,38,0,0,32,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0,4,0,8,4,4,2,0,16,60,0,2,14,6,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,2,0,0,0,0,0,0,30,0,16,0,0,2,4,68,0,2,0,0,0,0,0,0,2,0,2,4,12,0,0,2,0,0,0,0,0,0,0,14,0,0,0,14,0,104,8,0,0,0,0,0,0,0,0,0
GHA,0,0,0,0,0,0,0,0,0,12,4,0,0,10,10,12,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,20,28,2,8,4,10,0,4,0,0,0,0,0,0,0,0,62,0,0,50,0,0,0,14,0,0,0,4,0,0,26,0,6,122,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,2,6,0,0,0,0,2,10,0,0,36,0,26,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,10,0,2,0,2,34,0,56,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,2,0,10,0,0,2,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,12,2,0,0,144,0,0,2,2,0,0,0,14,2,4
GIN,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0,4,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,2,0,0,0,0,10,0,4,138,0,10,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,10,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,4,0,0,50,0,0,0,0,0,0,0,6,2,0
GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
GNQ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,0,10,0,0,2,16,26,0,108,208,2,0,334,0,4,0,84,0,0,4,16,0,0,0,68,0,0,0,0,0,272,390,20,106,0,2,0,0,0,4,0,0,0,0,142,180,1098,0,0,192,0,12,2,6,0,538,4,0,164,0,942,0,0,1582,14,0,0,0,0,0,0,0,2,0,2,0,0,40,0,106,0,54,90,6,0,4,188,828,0,0,186,12,2,0,0,0,36,2,0,4,0,0,0,0,0,0,6,16,10,6,12,2,0,62,0,6,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,402,180,0,28,0,4,0,0,2,0,0,270,0,146,0,0,0,70,298,0,4,0,0,14,0,0,0,86,0,76,60,296,0,0,0,0,0,16,0,0,0,14,122,28,0,0,58,6,2124,2,0,4,2,0,0,0,22,0,0
GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,0,0
GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,32,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,10,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,12,0,4,2,0,2,0,0,0,6,0,0,10,2,0,0,12,0,0,0,0,0,0,2,0,16,0,0,0,0,4,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,2,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,112,0,0,4,2,0,0,0,2,2,0
GUF,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,2,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,8,2,0,0,0,4,0,0,0,2,0,0,10,4,0,0,0,0,0,0,2,0,2,0,0,10,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,66,0,0,4,0,0,0,0,4,0,0
HRV,0,0,8,0,0,0,2,0,0,36,110,0,0,44,0,2,0,24,0,0,60,4,0,0,0,50,0,0,0,4,0,42,110,4,66,0,2,0,0,0,6,0,0,2,0,2,70,370,0,0,24,0,4,0,4,0,90,8,0,18,0,156,0,0,204,4,0,0,0,0,0,40,0,0,0,0,0,0,0,0,40,14,46,4,2,0,2,36,178,0,0,48,0,2,0,2,0,24,2,0,2,0,0,0,0,0,0,4,0,4,2,0,2,0,6,0,12,0,6,0,0,0,0,0,0,0,0,4,0,0,0,2,0,110,26,4,8,0,0,0,4,2,0,0,86,0,20,0,0,0,22,100,0,0,0,0,12,0,0,0,28,0,32,178,36,0,0,0,0,0,2,0,0,0,6,22,2,0,2,16,0,382,2,0,0,8,0,0,0,10,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,4,0,0
HUN,0,0,2,0,2,22,52,2,0,136,430,0,0,390,0,2,0,92,0,0,6,4,0,0,0,74,0,0,0,4,0,300,290,4,140,0,2,0,0,0,6,0,0,0,4,20,220,1474,0,0,122,0,0,0,18,0,376,22,0,244,0,778,0,0,974,4,0,0,0,0,0,106,0,0,0,0,0,0,40,0,0,2,152,58,4,0,10,164,590,2,0,364,0,0,0,0,0,120,6,0,2,0,6,0,0,4,0,28,4,4,8,4,2,0,44,0,4,0,2,0,0,0,0,0,0,0,0,8,2,0,0,6,0,382,72,2,22,4,6,0,2,4,0,0,260,0,102,0,0,0,188,306,0,4,0,0,4,0,0,0,32,0,126,104,378,0,0,2,0,0,8,2,0,0,2,54,68,2,2,76,6,1778,2,0,12,10,0,0,2,64,0,0
IDN,0,0,0,0,0,0,2,0,0,158,10,0,0,10,0,4,4,0,0,0,0,0,0,0,0,10,0,0,0,2,0,40,8,4,40,4,2,0,0,0,0,0,0,6,0,0,6,100,0,0,6,0,0,0,26,0,22,2,0,6,0,58,0,0,66,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,30,0,0,0,2,0,36,0,0,392,0,10,0,4,0,84,2,2,2,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,66,0,0,0,2,0,92,8,0,14,0,10,0,12,18,0,8,2,0,6,0,0,4,2,2,0,0,0,0,26,0,0,0,2,2,8,2,12,0,2,2,0,0,88,0,0,0,0,6,12,4,2,0,0,228,0,0,0,22,0,0,0,10,0,2
IND,0,0,4,0,0,20,92,6,0,448,172,0,0,152,0,4,56,60,4,0,0,2,0,0,4,284,0,0,8,6,0,502,358,36,576,6,8,0,4,0,78,0,0,2,6,22,170,1564,0,0,128,0,8,64,30,4,296,12,14,70,18,856,0,0,1312,8,6,0,0,0,0,54,0,0,2,0,0,4,46,0,152,30,0,126,92,0,2,164,452,0,8,1172,0,20,2,2,0,608,40,2,6,0,2,0,0,28,0,8,2,2,2,0,0,2,172,0,0,4,2,10,0,0,2,2,0,2,0,154,0,2,2,34,0,314,50,32,34,8,36,2,12,36,0,2,258,0,52,0,0,2,60,402,0,46,6,0,192,0,0,0,14,0,26,104,256,0,0,10,0,0,84,0,0,8,2,20,376,6,10,32,6,3640,12,0,6,28,2,0,4,116,0,0
IRL,0,0,0,0,0,6,66,32,0,212,84,0,0,190,0,2,2,40,0,0,0,8,0,2,0,84,0,0,0,0,0,346,180,14,192,0,0,0,0,0,56,0,0,0,4,28,144,708,0,0,162,0,0,54,12,0,308,10,0,124,0,544,0,0,2080,4,0,0,4,0,0,90,0,0,0,0,0,0,4,0,58,0,126,0,6,0,6,40,360,0,4,136,4,8,0,0,0,108,0,0,0,0,2,0,0,4,0,0,2,8,2,2,2,0,82,0,0,0,6,0,0,0,0,0,0,2,0,14,32,0,0,0,0,356,114,0,86,0,0,0,0,2,0,0,96,0,70,0,0,0,44,232,0,6,2,0,30,0,0,0,4,0,12,28,224,0,0,0,0,0,6,0,0,6,4,20,32,2,2,6,4,1280,0,0,2,0,0,0,0,56,0,2
IRN,0,0,2,0,0,12,4,4,0,140,14,10,0,28,0,0,0,6,2,0,0,0,0,0,0,12,0,0,0,0,0,436,58,2,52,2,0,0,0,0,0,0,0,0,0,0,6,222,0,0,26,0,2,0,2,0,44,4,0,8,0,208,0,0,462,4,0,0,0,0,0,6,0,0,0,0,0,0,2,0,4,0,92,6,0,2,0,6,92,0,4,164,0,0,0,0,0,30,6,0,4,0,0,0,0,4,0,4,0,2,4,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,22,0,0,0,4,0,46,6,0,24,6,12,0,0,4,0,0,16,0,4,0,0,2,0,70,0,6,0,0,0,0,0,0,6,0,4,2,64,0,0,8,0,0,6,0,0,0,2,24,20,4,0,6,0,484,2,0,2,4,0,0,0,16,0,0
IRQ,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,0,6,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
ISL,0,0,0,0,0,0,6,0,0,20,24,0,0,30,0,2,0,2,0,0,0,0,0,0,0,6,0,0,0,2,0,38,28,10,16,0,0,0,0,0,0,0,0,0,0,0,14,70,0,0,168,0,0,0,0,0,50,20,0,82,0,60,0,0,180,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,10,2,2,6,0,0,0,6,40,0,0,24,0,0,0,0,0,10,2,0,2,0,0,0,0,0,0,6,0,4,2,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,48,138,0,18,0,0,0,2,2,0,0,6,0,20,0,0,0,8,12,0,0,0,0,4,0,0,0,4,0,2,8,220,0,0,0,0,0,2,0,0,0,0,6,8,0,4,2,0,208,0,0,0,0,0,0,0,6,0,0
ISR,0,0,2,0,2,8,64,8,0,304,196,4,0,304,0,0,14,40,2,0,2,14,0,0,0,150,0,0,0,0,0,656,416,68,262,0,0,0,0,0,10,0,0,18,4,14,136,1564,0,0,252,0,0,8,30,0,424,10,2,132,0,1092,0,0,980,16,2,0,0,0,0,188,0,0,0,0,0,4,36,0,164,0,164,40,6,2,6,0,794,0,28,372,24,2,2,0,0,126,6,0,8,0,0,0,0,0,0,28,10,16,2,14,18,0,74,0,0,4,0,10,0,0,2,0,0,0,0,4,0,2,0,4,0,498,164,0,84,4,0,4,4,8,0,0,206,0,86,0,12,2,40,448,0,8,0,0,44,0,0,0,32,0,32,58,270,0,0,4,0,0,38,0,2,0,8,142,82,2,2,116,4,5334,12,0,8,0,0,0,0,68,4,0
ITA,0,6,26,0,2,12,354,128,0,1040,1366,20,2,1816,6,40,28,284,6,0,8,58,0,0,16,772,4,6,0,6,0,2020,2908,218,754,0,20,0,0,0,30,0,0,24,64,60,662,6804,0,0,1038,0,46,16,86,2,3978,88,12,794,0,6736,0,0,7482,60,10,2,0,0,0,828,2,0,6,2,0,4,178,0,590,36,452,360,92,6,40,794,0,2,24,1448,26,24,2,4,0,362,8,0,32,0,4,0,0,4,0,72,26,36,78,10,56,6,316,0,2,20,16,0,2,0,8,14,0,0,0,20,0,2,8,56,6,2958,714,4,226,0,46,6,24,16,0,6,1222,0,596,2,2,2,356,1724,2,20,2,14,134,0,0,4,168,0,198,272,1700,0,0,8,0,0,66,0,0,0,58,392,180,16,18,220,32,12748,28,6,70,28,2,0,0,174,4,4
JAM,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,2,0,4,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
JOR,0,0,0,0,0,46,0,2,0,8,0,2,0,2,0,0,0,0,8,0,0,14,0,0,0,2,0,0,0,0,0,30,0,0,8,0,0,0,0,0,0,0,0,0,0,0,12,80,0,0,2,0,0,0,6,0,10,0,2,4,0,12,0,0,108,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,6,0,28,24,0,0,6,0,0,0,0,0,4,8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,12,12,0,0,0,0,0,4,0,2,0,2,20,2,8,0,20,2,0,2,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,4,16,2,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0
JPN,0,0,4,0,2,30,116,36,0,1492,486,4,0,570,2,2,198,98,0,0,2,36,0,0,4,464,0,2,0,4,0,1964,934,72,4900,0,10,10,4,0,28,0,0,4,12,10,348,3548,0,0,394,2,10,4,214,0,868,32,12,458,10,2476,0,0,3528,14,36,0,2,0,0,186,0,0,4,4,0,4,48,0,364,392,1172,136,164,0,24,372,1448,14,6,0,32,64,4,12,2,2684,16,6,8,0,0,0,2,68,0,20,2,22,6,4,2,4,168,2,12,6,4,26,0,46,0,0,0,0,4,230,2,12,0,24,0,894,176,40,264,10,50,6,16,216,0,14,750,0,184,4,0,0,178,1592,2,12,6,4,276,4,0,0,66,0,126,162,862,0,0,8,0,0,714,0,0,2,10,264,942,28,8,178,16,15212,26,0,10,190,2,2,2,112,8,2
KAZ,0,0,0,0,0,2,0,2,0,0,2,4,0,26,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,0,2,0,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0,0,0,0,2,22,0,0,2,0,14,0,0,68,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,24,26,0,0,32,0,0,8,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,2,4,0,0,0,0,0,26,0,2,0,0,0,2,118,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,2,4,0,0,0,4,0,0,0,6,0,78,10,0,0,0,0,0,0,0,0,0
KEN,0,2,0,0,0,0,6,0,0,46,10,0,4,62,2,10,0,0,0,0,0,0,0,0,2,10,0,0,0,10,2,42,58,0,14,4,8,2,6,0,12,0,0,0,2,0,0,84,0,0,36,0,0,0,4,4,10,0,32,2,0,54,0,10,408,0,26,2,14,0,0,2,0,0,0,0,0,0,2,0,0,10,20,8,0,0,0,2,24,0,0,64,0,0,0,2,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,6,0,0,4,0,0,0,2,4,0,0,4,16,0,4,0,2,16,0,100,6,0,8,0,2,0,6,6,0,0,0,0,2,0,0,0,0,6,2,4,8,6,0,0,4,0,0,0,0,0,52,0,4,0,0,4,38,0,0,0,0,2,0,56,54,0,0,526,0,0,4,0,0,0,0,58,10,14
KGZ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,8,0,0,0,0,0,22,8,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,0,0,0,0,16,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,8,0,6,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,30,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,4,2,0,0,0,0,0,4,0,0,12,0,2,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,40,0,0,0,12,0,0,2,0,0,0
KNA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
KOR,0,0,2,0,0,4,68,18,0,420,150,6,0,126,0,2,16,42,0,0,0,22,0,0,0,162,0,0,0,2,0,902,346,48,1398,0,0,0,0,0,62,0,0,6,4,20,104,856,0,0,66,0,0,54,38,0,244,2,0,114,4,524,0,0,990,4,0,0,0,0,0,36,0,0,0,0,0,0,24,0,120,84,608,108,30,0,10,126,362,0,4,2684,24,0,0,0,0,0,6,2,2,0,0,0,0,4,0,6,2,4,4,4,0,2,146,0,0,2,2,2,0,8,4,0,0,2,0,64,0,4,0,4,0,230,36,12,116,0,32,2,4,42,0,4,250,0,30,0,0,0,60,776,0,4,0,0,120,6,0,0,14,0,16,100,204,0,0,2,0,0,118,0,0,0,2,36,430,2,2,58,2,7808,28,0,12,112,0,2,0,42,2,0
