,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
DMA,0,0,0,4,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,0,0,0,0,6,2,2,0,0,0,0,0,0,2,0,0,2,2,0,4,0,0,4,0,0,0,0,0,4,2,0,6,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,38,0,0,2,2,0,0,0,0,0,0,0,0,0
DNK,0,2,4,10,36,0,0,344,636,252,0,4790,2186,276,6,2972,22,0,38,114,438,16,2,62,0,222,6,0,16,1812,2,8,0,36,2,4164,4102,786,5786,16,36,20,32,0,418,0,6,70,104,0,0,202,1248,9464,0,0,0,12,64,96,254,2,5006,520,106,2502,2,2,5520,36,14,10,13120,244,184,2,6,20,70,0,1518,2,180,12,10,4,2,526,6,986,230,1190,0,1254,1176,50,504,1174,5798,6,64,2000,68,154,46,16,0,18,1140,64,16,102,2,20,0,2,66,0,392,196,238,0,256,14,42,16,0,612,0,106,14,112,12,32,42,32,4,0,12,20,388,22,10,18,94,8,5804,4154,80,0,708,74,354,50,202,90,0,8,1960,0,1738,14,150,0,178,718,1390,32,424,20,32,766,2,2,2,2,4,8,0,562,2,0,0,474,672,6800,2,0,8,12,2,4,6,374,14,4,2,0,22,78,1106,0,566,128,66,274,68,13500,14,2,0,52,0,248,0,0,12,20,1006,30,28
DOM,0,2,2,0,2,0,0,6,72,2,0,24,14,2,4,20,8,0,2,6,12,6,4,2,0,2,2,0,20,92,8,2,2,2,2,46,24,56,42,2,6,2,0,2,88,0,2,42,62,2,0,2,10,26,0,0,12,0,6,52,12,2,150,4,2,8,2,0,58,0,0,2,80,2,6,0,0,0,0,0,6,0,0,44,0,2,34,10,18,8,8,32,0,4,12,2,2,14,46,18,10,20,4,10,4,4,2,2,12,6,2,8,0,2,0,0,12,0,8,2,4,0,8,2,0,2,2,112,0,6,2,2,4,0,8,4,2,0,4,4,14,2,2,2,4,22,36,16,8,0,12,0,14,50,52,20,2,10,16,0,14,20,8,0,12,12,16,4,16,6,2,10,0,0,2,0,26,0,0,12,0,0,0,12,4,10,0,0,4,0,4,2,2,16,0,0,2,0,6,8,20,0,10,12,10,4,42,276,2,0,2,52,0,16,0,2,4,4,10,4,4
DZA,0,2,2,4,12,0,0,224,58,14,0,172,54,28,2,230,18,0,6,40,40,54,2,22,0,10,0,0,4,200,2,6,0,10,4,304,172,44,522,10,38,8,6,0,130,0,2,8,4,0,0,42,84,408,4,0,64,6,0,10,282,2,734,32,38,88,0,2,2760,2,2,6,564,36,38,0,2,2,2,0,78,0,2,2,0,4,50,62,2,44,34,226,0,134,210,102,12,44,590,12,164,94,12,30,30,2,0,2,100,68,2,94,0,28,0,0,18,0,26,12,16,0,258,0,4,10,0,60,0,26,12,26,4,20,6,8,18,0,16,6,150,8,0,10,66,2,176,100,26,0,34,34,174,16,24,120,0,2,226,0,212,8,38,0,100,204,244,14,894,30,36,32,0,0,2,2,4,4,0,58,0,0,0,48,34,90,0,0,2,18,0,6,6,22,0,0,2,0,0,444,436,0,62,14,18,134,10,470,4,0,0,4,0,300,0,0,8,18,148,6,4
ECU,0,2,6,0,16,0,0,28,396,186,0,378,274,4,4,354,6,0,2,6,200,6,0,4,0,182,8,2,82,798,14,10,0,6,2,260,312,468,388,8,10,16,4,0,638,0,2,130,134,0,0,184,230,514,0,4,96,52,10,0,204,0,1938,188,8,238,0,0,488,0,0,10,646,190,20,0,0,4,2,0,220,8,0,36,10,6,32,202,6,202,34,272,0,212,236,28,6,50,464,10,14,76,8,28,4,8,0,0,230,10,2,24,2,6,2,0,164,0,196,10,186,0,18,4,2,4,0,574,0,10,4,8,10,132,6,10,2,0,2,6,222,0,0,2,20,30,192,76,14,0,232,8,218,82,314,18,0,8,240,0,318,70,12,0,188,68,252,10,100,6,6,28,0,0,2,0,28,0,4,202,0,0,8,28,18,124,0,0,4,0,2,4,4,210,2,0,2,0,6,16,236,0,204,14,20,202,126,1488,28,0,0,386,0,46,2,2,6,4,74,6,8
EGY,0,24,4,12,34,0,0,1172,180,214,10,1040,464,56,6,684,30,0,14,368,302,168,2,38,0,208,0,0,6,698,10,26,4,38,2,1594,716,180,3984,12,76,8,20,0,332,0,2,30,22,0,0,274,502,2588,12,2,254,12,282,204,0,0,1302,256,112,532,0,0,1332,4,18,2,2966,246,110,0,2,6,0,0,562,4,0,8,2,4,16,288,4,550,178,2036,0,420,776,328,26,150,1514,8,576,2074,80,120,54,6,0,4,1126,450,2,370,0,200,2,0,216,0,258,34,224,2,314,4,10,6,4,602,0,42,8,30,28,158,28,30,12,0,20,28,834,6,0,2,378,2,520,204,86,0,342,372,1468,38,74,122,0,6,704,0,470,26,110,0,618,374,1112,40,14008,270,14,168,0,0,2,6,6,4,12,332,0,0,0,164,104,492,6,2,2,76,0,2,8,436,10,0,2,0,2,484,1200,0,660,52,60,276,18,5704,58,0,4,22,2,472,0,0,24,462,560,38,26
ERI,0,0,0,0,0,0,0,0,2,0,0,6,2,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,6,4,18,0,0,0,0,0,2,0,0,0,2,0,0,0,4,6,0,0,2,2,2,0,0,0,4,2,6,2,0,0,8,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,18,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,6,0,0,2,0,6,0,0,0,0,0,2,0,8,0,0,0,0,0,10,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,2,0,16,2,0,0,0,0,4,0,0,0,2,6,0,0
ESP,0,4,18,14,80,32,0,628,3536,430,6,8098,4756,226,2,7632,42,0,36,170,1088,34,6,134,2,452,10,2,128,7188,12,24,6,30,4,8360,8800,5090,7890,42,98,30,8,0,3274,0,18,354,382,4,2,736,3490,20244,4,6,5006,150,734,1938,1302,4,0,858,174,3364,30,12,18710,6,22,32,27386,540,128,10,12,30,2,2,4192,20,18,88,34,12,114,1340,10,2146,246,3244,0,2950,2202,158,358,2836,22154,18,218,5018,132,208,78,20,0,6,2844,174,12,374,6,48,0,6,240,0,916,340,484,0,912,116,72,46,12,4892,2,242,30,224,22,186,30,212,18,0,34,30,824,52,32,10,274,56,10266,3656,96,0,1262,112,840,212,818,260,0,20,5474,2,8604,234,208,0,534,2044,3850,44,1418,46,92,1154,4,2,4,14,38,10,2,1310,2,2,10,860,1388,6454,10,0,12,26,2,6,6,666,8,4,2,2,12,822,2850,0,1546,120,94,930,508,29412,84,26,0,360,0,576,0,2,38,40,1790,30,38
EST,0,2,2,6,28,0,0,52,86,216,0,646,510,28,4,644,12,0,4,36,310,16,0,48,0,222,0,0,2,356,4,6,0,18,2,366,638,58,696,4,20,6,0,0,240,0,2,14,6,0,0,290,502,1194,0,0,520,4,32,188,256,2,858,0,32,1028,0,2,848,2,10,4,1486,224,32,0,2,2,0,0,454,0,4,6,2,4,2,356,6,426,46,446,0,350,328,28,128,148,896,6,34,212,62,42,36,4,0,0,300,26,2,32,0,6,0,0,180,0,432,30,468,0,26,0,30,4,0,282,0,64,2,58,4,154,2,10,2,0,10,12,242,6,2,2,44,2,610,534,24,0,298,16,286,30,38,28,0,4,660,0,470,6,18,0,208,190,644,16,144,6,4,84,0,0,2,0,2,8,0,322,0,0,0,136,180,898,2,0,2,2,0,2,2,218,6,4,2,0,2,44,376,0,250,14,22,336,4,1078,34,0,0,4,0,80,0,0,12,14,104,12,8
ETH,0,8,8,12,6,0,0,88,64,10,0,580,118,28,6,362,40,0,36,104,10,24,0,0,0,10,0,0,8,134,2,4,2,84,4,330,208,34,538,36,70,30,18,0,72,0,2,16,2,0,0,16,70,510,2,0,106,2,38,8,112,6,174,32,0,86,0,0,238,0,18,6,914,16,120,0,2,16,2,0,34,0,0,6,2,4,6,46,16,34,82,736,0,54,194,70,16,42,240,8,76,156,24,356,50,14,0,0,196,40,6,18,2,16,2,0,48,12,6,22,4,0,32,0,2,14,4,98,0,10,24,4,24,0,10,68,8,0,6,70,112,20,0,6,240,2,348,312,74,0,70,18,138,32,58,60,0,4,84,0,84,14,18,0,46,68,82,94,160,40,44,74,0,0,0,10,2,0,2,48,8,0,0,30,10,226,16,0,4,32,0,4,8,66,0,0,2,0,4,38,78,0,76,176,176,32,6,1324,8,0,0,10,0,148,0,0,2,22,464,82,78
FIN,0,8,10,12,26,0,0,156,312,342,6,2582,1652,126,6,2010,24,0,20,120,492,24,0,50,0,330,0,2,10,1340,8,12,6,30,2,2226,2562,402,3816,10,44,22,2,0,424,0,2,46,106,0,0,366,1364,5806,0,0,2502,8,88,238,532,2,3364,1028,86,0,2,2,3654,4,16,4,7468,258,114,2,2,8,0,0,1266,2,14,12,6,8,2,660,4,976,226,1202,0,936,926,56,354,682,3848,8,100,1606,66,138,64,10,0,0,1018,74,6,82,2,42,0,16,244,0,658,126,450,0,90,6,34,22,6,668,0,94,6,72,22,152,12,24,6,0,14,22,378,44,0,8,106,2,3120,2420,66,0,650,38,560,52,214,82,0,10,1850,0,1342,44,30,0,334,662,2220,28,404,24,22,504,0,0,2,6,6,4,4,476,2,0,2,358,416,5388,2,0,4,8,0,4,4,426,4,2,2,0,2,52,930,0,464,62,50,532,32,7114,48,2,0,52,0,194,0,0,10,22,708,16,14
FJI,0,0,0,2,0,0,0,6,4,0,0,294,10,0,0,10,0,0,0,18,0,2,4,0,0,0,2,0,2,8,6,0,0,0,0,32,8,4,54,2,4,0,0,4,2,0,0,0,2,0,2,0,2,30,0,2,2,2,0,0,0,0,30,0,0,2,0,0,86,0,4,0,80,0,2,0,0,2,0,0,2,0,0,4,0,0,0,0,0,6,6,88,0,6,10,0,0,0,44,2,0,56,0,10,0,0,8,0,26,0,0,0,0,0,0,0,6,2,0,0,0,0,2,2,0,2,6,10,6,0,0,0,2,0,0,0,0,0,2,0,6,0,36,2,18,0,18,6,2,0,70,0,6,2,2,8,2,16,2,0,10,2,0,0,2,0,8,0,16,12,0,8,0,0,28,0,2,0,0,0,0,0,0,0,0,14,0,0,4,0,2,0,0,12,0,0,4,24,4,0,2,4,6,14,8,0,0,140,0,0,2,0,0,6,18,14,0,0,24,2,6
FLK,0,0,0,0,0,0,0,0,4,2,0,18,2,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,6,0,0,0,0,0,8,0,10,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,6,0,0,2,0,2,0,0,0,12,2,0,2,0,0,16,2,0,0,68,0,2,2,2,0,2,0,4,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,4,2,6,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,6,0,0,8,0,0,0,2,0,0,0,2,0,8,0,0,0,0,2,6,0,2,0,2,0,4,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,12,0,0
FRA,2,6,8,8,100,14,0,840,2190,566,10,10526,5790,310,24,12538,304,0,336,242,1034,56,10,96,2,522,8,16,108,6796,22,36,14,54,60,14262,14514,2736,14532,444,662,170,108,4,1552,14,20,222,242,2,6,638,4312,27642,24,2,5520,58,2760,488,1332,8,18710,848,238,3654,86,16,0,18,12,172,32794,548,192,6,68,34,6,0,4342,14,22,56,202,14,74,1378,34,2328,580,4384,0,3118,1810,144,412,3322,23918,16,238,8684,208,406,58,200,2,12,3460,180,84,1948,10,68,6,8,242,10,812,682,516,0,2344,324,80,312,14,2622,4,164,180,190,80,204,56,122,50,2,92,86,912,82,270,110,328,18,12714,4198,96,0,1786,156,1054,160,568,336,6,44,5894,10,4732,82,198,0,606,2506,6536,80,2028,84,632,1760,4,0,10,18,22,8,0,1196,10,4,18,910,1478,7532,14,0,46,54,2,46,100,1284,20,0,4,2,20,3214,2770,0,1794,166,242,1228,232,39786,84,18,2,186,2,1550,20,10,30,30,2670,110,132
FRO,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,6,2,10,0,0,0,0,0,2,0,0,0,0,0,0,2,2,10,0,0,36,0,2,0,4,0,6,2,0,4,0,2,18,0,0,0,38,0,2,0,2,0,2,0,8,0,2,0,0,0,0,2,0,2,0,6,0,4,4,0,10,4,6,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2,0,0,2,0,4,14,0,0,2,0,6,0,2,0,0,0,0,0,6,0,0,0,0,4,4,0,2,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,28,0,0,0,0,0,0,0,0,0,0,8,0,0
FSM,0,0,0,10,0,0,0,16,18,0,0,28,2,6,0,14,12,0,0,18,6,14,0,0,0,0,0,0,0,20,0,4,2,16,0,20,14,4,20,0,12,0,0,0,18,0,0,8,0,0,0,10,8,24,0,0,14,0,2,0,18,0,22,10,18,16,4,0,12,0,0,0,56,4,18,0,0,0,0,0,8,0,0,0,0,0,0,12,0,4,18,20,0,16,18,18,10,16,20,0,18,22,12,18,18,0,0,0,18,16,0,6,0,4,0,0,14,0,0,4,0,0,0,0,0,0,0,20,2,2,0,0,0,0,0,6,0,0,0,2,18,2,2,0,18,0,18,18,20,0,18,8,18,18,18,20,0,2,18,0,18,6,14,0,18,18,18,16,18,4,0,18,0,0,4,0,0,0,0,16,0,0,0,2,6,18,0,0,0,0,0,0,0,14,0,0,0,0,0,8,4,0,18,8,6,18,0,44,4,0,0,0,0,18,2,2,0,16,20,10,2
GAB,0,2,4,0,2,0,0,2,2,2,0,18,22,2,2,54,18,0,16,2,2,0,0,0,0,2,2,0,8,12,0,4,0,4,12,34,28,2,14,28,60,34,18,0,10,0,0,2,2,0,0,2,4,106,0,0,10,2,6,10,2,0,32,4,6,4,0,0,172,0,0,0,132,2,30,0,8,10,2,0,0,0,0,2,4,2,2,2,2,2,16,6,0,2,4,2,0,2,12,2,2,18,2,22,2,6,0,0,2,0,2,2,6,2,0,0,4,0,2,0,2,0,14,0,0,10,0,4,0,2,10,0,2,0,2,16,10,0,0,8,8,2,0,8,12,2,66,10,2,0,2,0,2,4,12,8,0,4,4,0,8,2,0,0,0,2,4,6,2,2,30,10,0,0,0,4,2,0,0,4,0,0,2,2,2,8,0,0,0,0,0,10,8,6,0,0,2,0,0,2,2,0,2,16,14,2,2,112,2,0,0,8,0,12,0,0,0,2,18,2,2
GBR,0,42,36,38,124,8,2,2304,2822,694,16,32074,9286,542,24,15258,188,4,260,1358,1468,192,50,148,4,686,30,38,158,10992,104,190,44,324,40,24922,21242,4582,44202,200,552,200,152,4,2482,8,50,334,220,12,16,1596,5776,45204,0,2,13120,80,564,646,2966,16,27386,1486,914,7468,80,68,32794,38,56,132,62080,842,1162,44,68,340,32,2,8154,48,48,134,48,48,130,1970,36,3886,1616,10514,2,10152,4050,1328,956,5208,35344,106,934,12462,362,2026,202,230,8,46,6316,600,192,776,70,224,6,14,798,28,1282,698,720,0,808,166,110,212,12,3456,2,316,122,562,178,216,210,378,28,12,120,916,3926,204,58,62,2226,30,27750,9316,638,0,5814,532,3506,354,1106,998,16,126,9074,6,8092,158,462,0,1578,2948,7590,282,4660,284,284,5662,32,4,28,146,30,16,26,1868,22,6,18,1398,2146,17026,44,4,80,70,10,30,70,2984,32,4,14,4,162,486,5156,0,3624,1072,1234,1530,316,85038,96,38,4,222,6,1726,12,18,66,98,8296,458,542
GEO,0,2,2,4,32,0,0,202,198,384,6,448,430,202,2,298,14,0,8,22,404,6,0,30,0,380,0,0,8,442,0,8,12,10,2,278,518,176,512,4,10,6,0,0,388,6,0,12,4,0,0,214,434,712,0,0,244,2,36,190,246,0,540,224,16,258,0,0,548,0,4,2,842,0,10,2,0,2,0,0,446,0,0,4,2,0,2,228,8,392,14,300,0,230,362,22,20,214,622,6,20,256,36,30,30,4,0,0,266,14,2,30,4,6,2,0,166,6,234,14,216,0,180,0,32,20,0,254,0,32,2,18,10,148,12,12,2,0,0,2,218,0,0,2,12,2,278,230,24,0,220,26,246,8,40,10,0,4,508,0,436,28,134,0,194,266,578,8,82,8,6,28,0,0,0,0,2,8,0,416,0,0,0,196,200,262,8,0,4,12,0,4,8,202,10,4,10,0,8,22,496,0,360,18,18,308,8,830,42,0,0,6,0,68,0,0,12,10,254,8,4
GHA,0,4,6,14,8,0,0,66,74,4,0,496,38,16,14,140,98,0,96,82,20,22,0,8,0,6,4,0,18,146,12,12,0,56,6,352,258,44,750,66,130,34,24,0,86,0,8,22,8,0,0,20,50,454,0,0,184,6,38,20,110,0,128,32,120,114,2,2,192,2,18,30,1162,10,0,2,22,44,6,0,40,0,2,18,4,8,4,46,8,42,92,224,0,52,98,46,24,46,166,12,64,166,18,362,40,30,0,0,108,32,10,24,18,16,0,0,50,4,10,10,10,0,32,0,2,18,2,76,0,12,70,6,38,0,2,32,8,0,14,98,132,24,0,30,440,2,254,144,60,0,86,20,114,42,78,80,0,6,64,0,66,16,16,0,28,56,64,60,92,42,92,88,2,0,2,22,10,0,0,50,4,0,2,26,22,162,8,0,4,0,0,6,38,102,0,0,2,0,4,22,64,0,48,124,172,42,10,1250,8,0,0,10,0,92,0,0,4,26,572,90,72
GIB,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,2,0,0,0,0,0,10,0,0,2,0,2,6,0,0,0,44,2,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,2,8,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,4,0,0,0,4,0,0,0,4,0,10,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0
GIN,0,2,0,0,0,0,0,2,2,0,0,26,4,0,2,38,14,0,22,4,2,0,0,0,0,0,0,0,0,4,0,0,0,0,4,20,36,4,20,30,30,28,18,0,2,0,0,0,0,0,0,0,4,46,0,0,6,0,2,0,2,0,12,2,2,2,0,2,68,2,0,8,68,0,22,0,0,2,2,0,4,0,2,0,0,0,0,0,0,2,0,6,0,4,0,0,2,2,8,0,0,16,0,8,0,0,0,0,4,0,0,2,8,0,0,0,0,0,0,0,0,0,10,0,0,2,2,0,0,0,10,0,12,0,0,12,12,0,2,6,4,2,0,16,22,0,8,8,0,0,6,2,6,0,2,4,0,0,0,0,2,0,0,0,2,2,8,4,2,0,28,4,0,0,0,6,0,0,0,0,0,0,0,4,2,4,0,0,2,0,0,6,12,2,0,0,0,0,0,2,4,0,2,10,20,0,0,80,0,0,0,0,0,2,0,0,0,0,12,10,6
GMB,0,0,2,0,2,0,0,0,8,4,0,78,16,2,0,34,4,0,32,28,2,0,0,0,0,2,2,0,2,26,0,0,0,6,0,42,48,4,10,12,16,4,6,0,6,0,0,0,0,0,0,0,2,42,0,0,20,0,2,4,6,0,30,2,16,8,2,0,34,0,0,10,340,2,44,0,2,0,12,0,6,2,0,4,0,0,0,4,2,2,8,40,0,2,6,2,4,6,18,0,2,12,2,58,2,12,0,0,4,0,8,0,0,0,0,0,2,8,2,2,4,0,4,0,2,2,0,10,0,2,28,2,6,0,0,24,0,0,0,26,10,0,0,6,82,2,50,12,4,0,18,0,48,4,12,2,0,10,14,0,16,2,0,0,4,4,8,2,14,0,38,12,0,0,0,0,0,0,0,2,0,0,2,2,6,20,6,0,0,0,0,4,10,18,0,0,0,0,0,0,4,0,8,20,30,2,2,174,0,0,0,2,0,12,0,2,2,0,58,14,10
GNB,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,2,0,6,6,0,2,0,2,0,0,0,2,0,0,0,0,6,0,0,70,0,2,2,0,0,2,0,2,0,0,2,6,2,0,2,32,0,6,0,2,12,0,0,6,0,2,0,0,0,0,0,0,0,0,2,0,2,2,0,6,2,10,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,18,2,0,0,2,0,0,0,4,0,0,0,0,0,30,0,0,0,2,0,6,2,2,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,8,0,0,34,0,0,0,2,0,0,0,0,0,0,10,0,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,0,4,6,106,0,0,544,470,442,6,1734,1776,264,2,2266,8,0,4,66,778,26,2,86,0,408,4,0,4,1198,4,18,0,22,0,1696,2976,482,2150,0,22,6,0,0,518,0,2,28,112,0,0,1754,1442,5314,0,0,1518,6,78,220,562,0,4192,454,34,1266,2,4,4342,8,8,0,8154,446,40,4,4,6,6,0,0,4,2,8,0,4,4,852,2,1110,144,1060,0,866,618,42,116,974,5746,6,92,1172,88,54,40,4,0,2,738,66,0,184,0,32,0,0,178,0,526,140,354,0,256,8,36,24,0,696,0,158,4,174,4,200,10,20,4,0,6,12,462,6,2,0,106,6,2878,1182,34,0,392,56,426,30,168,66,0,4,1988,0,1658,42,158,0,346,1196,1556,12,514,14,10,396,0,0,2,2,2,6,0,992,0,0,2,496,748,1966,0,2,2,22,0,0,0,460,10,2,0,0,2,148,1464,0,558,20,42,490,40,6246,40,0,0,52,0,176,0,2,20,34,594,8,8
GRD,0,0,0,0,0,0,0,0,4,2,4,18,2,0,0,14,0,0,0,2,2,0,2,0,0,0,2,2,0,12,0,0,0,0,0,52,8,6,16,0,0,0,0,0,14,0,0,0,2,0,0,0,2,50,0,2,2,0,0,8,4,0,20,0,0,2,0,0,14,0,0,0,48,0,0,0,0,2,0,0,4,0,0,0,2,0,2,0,0,0,0,12,0,8,12,0,0,2,12,2,0,78,0,6,0,0,0,4,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,6,12,0,0,0,6,0,2,8,2,0,0,0,50,0,2,2,2,0,0,2,6,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,4,0,0,2,0,0,0,0,6,0,0,2,0,0,0,0,4,0,14,0,2,2,2,4,2,416,0,0,2,12,2,0,0,2,0,0,10,0,0
GRL,0,0,0,0,0,0,0,2,0,4,0,24,10,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,82,12,4,8,0,0,0,0,0,2,0,0,0,0,0,0,0,4,36,0,0,180,0,2,0,0,0,18,4,0,14,0,2,22,2,0,0,48,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,20,4,14,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,2,0,0,0,0,30,64,0,0,4,0,0,0,2,0,0,0,2,0,8,0,0,0,0,0,24,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,6,0,0
