,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SMR,SOM,SRB,SSD,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
FSM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GBR,1,1,4,0,93,70,3,1,2164,315,1,0,870,2,6,26,23,4,4,2,4,1,5,268,12,3,1,5,0,1273,798,172,1170,10,17,8,1,84,0,2,16,2,0,0,85,123,1830,0,1,494,2,2,17,56,0,941,53,33,379,19,4,1178,1,0,3760,11,83,1,0,1,0,276,0,1,1,1,2,1,47,0,180,68,393,560,52,21,27,251,1215,10,30,308,16,76,2,5,0,124,12,0,35,3,2,1,7,39,1,36,56,16,10,1,0,3,0,100,1,1,4,45,5,0,7,5,1,22,15,147,4,0,0,72,1,1488,517,17,379,20,73,18,33,32,1,3,230,0,316,0,10,54,65,175,7,93,3,13,253,2,1,6,1,0,1,29,1,3,33,42,756,0,1,0,1,0,0,0,64,1,2,0,7,17,213,0,126,36,29,16,12,4948,2,0,0,6,32,3,0,2,0,485,11,18
GEO,0,0,1,0,0,2,0,0,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,3,0,1,0,0,3,0,0,0,0,0,0,0,2,13,0,0,2,0,0,0,1,0,1,0,1,0,0,0,4,0,0,11,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,1,0,0,0,1,2,6,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,3,0,1,1,1,0,1,2,0,0,2,0,2,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,4,0,18,0,0,0,0,0,0,0,0,0,2,0,1
GHA,0,0,0,0,0,1,0,0,29,3,0,0,4,2,2,2,0,0,0,1,0,0,0,2,4,0,0,0,0,24,16,2,17,4,3,1,0,1,0,0,0,0,0,0,0,0,19,0,0,4,0,0,0,0,0,2,0,5,5,0,0,8,0,0,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,0,0,2,1,5,0,0,10,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,5,3,1,0,0,10,0,16,13,1,8,1,0,0,1,1,0,0,2,0,0,0,0,2,1,7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,1,0,3,0,2,3,6,0,1,79,0,0,0,1,0,0,0,0,0,50,3,1
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,0,4,0,11,5,0,0,37,28,0,0,39,0,0,0,9,1,0,1,0,0,0,13,0,0,0,0,0,25,32,6,23,0,0,1,0,3,0,0,0,0,0,0,55,12,86,0,0,19,0,0,0,4,0,61,11,0,16,2,0,71,0,0,276,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,3,12,31,3,0,2,19,101,0,1,13,3,1,0,0,0,5,2,0,0,0,0,0,0,0,0,8,2,3,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,4,0,0,0,2,0,60,33,2,4,2,7,0,2,2,0,0,33,0,35,0,1,2,10,11,0,6,0,0,5,0,0,0,0,0,0,6,0,0,7,8,35,0,0,0,0,0,0,0,3,0,0,0,0,4,26,0,3,0,0,3,0,142,1,0,0,0,4,0,0,0,0,18,0,1
GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,12,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,1,0,0
GUF,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
HRV,0,0,1,0,1,1,0,0,7,12,0,0,11,0,0,0,2,0,0,10,0,0,0,2,0,0,0,0,0,9,6,3,3,0,0,0,0,0,0,0,0,0,0,0,3,7,22,0,0,9,0,0,0,1,0,17,1,0,5,0,0,12,0,0,47,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,2,9,1,1,2,2,22,0,2,2,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,2,3,2,0,1,0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,2,1,0,0,0,0,19,6,1,5,0,1,0,2,0,0,0,11,0,13,0,0,0,6,1,0,1,1,0,4,0,0,0,0,0,0,25,0,0,5,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,1,1,1,0,25,0,0,0,0,0,0,0,2,1,3,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
HUN,0,0,1,0,2,3,1,0,37,42,0,0,110,0,0,0,6,0,0,1,1,0,0,14,0,0,0,0,0,60,34,8,30,0,1,0,0,6,0,0,1,0,0,0,2,17,116,0,0,23,0,1,1,10,0,28,6,1,88,0,0,61,0,0,180,3,2,0,0,0,0,8,0,0,0,0,0,0,8,0,0,15,18,12,0,0,2,27,38,0,0,36,2,4,0,0,0,6,0,0,1,0,0,0,0,0,0,4,2,5,0,0,0,0,0,7,0,5,0,3,0,0,0,0,0,0,1,10,1,0,0,4,0,83,9,3,6,3,5,12,2,3,0,0,20,0,41,0,1,2,35,25,0,0,0,0,18,0,0,0,0,0,0,9,0,0,39,14,19,0,0,0,0,0,0,0,4,0,0,0,0,0,17,0,7,12,1,3,3,152,0,0,0,0,2,0,0,0,0,20,0,1
IDN,1,0,0,0,1,1,1,0,124,14,0,0,7,0,1,1,2,1,0,0,0,0,0,6,0,8,0,0,0,23,11,4,22,0,2,1,0,2,0,0,0,0,0,0,0,3,42,0,0,10,0,1,1,1,0,10,1,2,8,0,0,28,0,0,68,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,18,3,0,0,0,1,13,0,0,73,2,4,0,1,0,13,0,2,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,1,72,0,0,0,1,1,57,8,2,9,0,3,12,5,23,0,0,5,0,3,0,0,1,1,4,0,1,0,0,25,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,12,0,4,0,0,0,2,0,24,1,0,2,1,77,0,0,0,0,11,0,0,0,0,7,1,0
IND,0,0,1,0,8,3,1,0,129,16,0,0,39,0,0,5,3,1,0,0,0,0,0,32,1,0,0,0,0,84,106,12,93,0,1,0,0,16,0,0,4,0,0,1,3,6,91,0,0,18,0,1,1,4,1,31,1,3,13,1,0,84,0,0,393,1,5,0,0,0,0,12,0,0,0,0,0,0,2,0,18,18,0,25,4,2,0,9,47,0,6,67,1,10,0,1,0,18,1,0,5,0,0,1,0,6,0,2,0,5,3,0,0,0,0,9,0,0,0,1,1,0,0,0,0,3,1,24,1,0,0,7,0,58,19,16,17,4,9,2,3,17,0,0,24,0,30,0,0,9,6,23,0,19,1,0,65,0,0,0,0,0,0,1,0,0,6,0,30,0,0,0,0,0,0,0,22,0,0,0,1,3,22,0,16,13,0,3,2,616,0,0,0,1,7,0,0,0,3,55,0,2
IRL,0,1,0,0,2,12,0,0,98,21,0,0,62,0,0,1,2,1,0,1,0,0,0,13,0,0,0,0,0,103,60,7,40,1,0,0,0,1,0,0,0,0,0,0,5,3,127,0,0,30,0,0,2,1,0,73,6,2,32,0,0,59,0,0,560,0,1,0,0,0,0,31,0,0,0,0,0,0,9,0,12,3,25,0,1,0,4,19,68,0,1,10,1,0,0,0,0,6,1,0,0,0,0,0,1,0,0,5,3,2,3,0,0,0,0,12,0,1,0,3,0,0,0,1,0,0,1,5,0,1,0,1,0,73,27,0,16,0,1,6,0,0,0,0,15,0,22,0,0,0,13,12,0,2,0,0,7,0,0,0,0,0,0,2,0,0,3,4,50,0,0,0,0,0,0,0,4,0,0,0,0,5,8,1,2,0,0,1,0,271,0,0,0,0,6,0,0,0,0,15,0,0
IRN,0,0,0,0,2,1,0,0,56,2,0,0,3,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,37,14,2,11,0,0,1,0,0,0,0,0,0,0,0,0,3,25,0,0,10,0,0,1,2,0,5,2,1,7,0,0,21,0,0,52,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,4,1,0,5,0,0,14,1,1,10,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,7,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,18,5,0,7,1,9,0,1,1,0,0,2,0,7,0,0,2,0,6,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,5,0,0,0,0,94,0,0,0,0,1,0,0,0,0,2,0,0
IRQ,0,0,0,0,1,2,0,0,2,0,0,0,3,0,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,3,1,0,0,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,5,0,0,2,15,0,2,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,4,0,1,2,1,1,0,3,0,0,0,2,0,4,0,0,0,10,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,2,0,0
ISL,0,0,0,0,1,0,0,0,12,7,0,0,7,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,5,18,3,2,0,1,0,0,1,0,0,0,0,0,0,1,0,12,0,0,22,0,0,0,0,0,9,2,2,17,0,0,6,0,0,27,1,2,0,0,0,0,2,0,1,0,0,0,0,2,0,2,0,0,4,0,0,0,1,7,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,11,25,0,4,1,0,0,1,1,0,0,5,0,3,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,37,0,0,0,1,0,0,0,0,0,2,0,0
ISR,0,0,0,0,5,4,0,0,58,31,0,0,69,0,0,0,4,1,0,0,0,0,0,10,0,0,0,0,0,125,42,9,43,0,0,0,0,4,0,0,0,0,0,0,9,3,184,0,0,23,0,0,0,2,0,64,2,1,15,0,0,74,0,0,251,2,1,0,0,0,0,19,0,0,0,0,0,0,2,0,27,1,9,19,0,2,1,0,70,0,1,15,0,2,0,0,0,6,0,0,3,0,0,0,0,1,0,3,5,3,0,0,0,0,0,6,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,107,23,2,19,1,0,0,4,1,0,0,19,0,24,0,5,3,19,17,0,0,0,0,13,0,0,0,0,0,0,1,0,0,5,2,25,0,0,0,0,0,0,0,4,0,0,0,0,0,19,0,4,2,0,3,3,697,0,0,0,1,1,1,0,0,0,15,0,0
ITA,0,1,14,0,19,28,0,0,261,168,0,0,268,0,0,3,17,0,0,3,2,0,1,86,0,0,0,0,0,221,294,46,178,0,2,0,0,49,0,0,4,2,0,0,29,56,536,0,0,140,0,2,8,25,0,422,21,6,77,0,0,531,0,0,1215,6,5,0,0,0,0,101,0,0,1,0,0,1,22,0,38,13,47,68,14,15,7,70,0,0,10,62,4,18,0,0,0,17,3,0,7,0,0,0,7,1,0,21,30,9,7,0,0,0,0,35,0,4,0,14,0,2,1,1,0,0,3,17,1,0,0,12,0,323,100,2,39,3,18,0,9,19,0,0,84,0,123,0,2,2,48,72,1,16,2,2,35,0,0,0,0,0,0,9,0,0,14,28,190,0,0,0,0,0,0,0,13,0,0,0,0,6,61,0,18,3,5,6,3,1101,0,3,0,1,3,0,0,1,0,52,4,2
JAM,0,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3,0,0
JOR,0,0,0,0,15,0,0,0,8,1,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,5,2,1,8,0,0,0,0,10,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,5,0,4,0,0,1,0,0,2,0,0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,6,1,1,2,0,1,10,0,0,4,0,11,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,6,1,0,1,8,0,0,0,0,2,0,1,4,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,1,1,0,0
JPN,2,0,1,0,7,5,1,0,199,33,0,0,39,1,0,17,5,1,0,0,0,0,0,24,0,0,0,1,0,108,69,31,220,1,1,0,0,8,0,1,4,0,0,0,2,6,148,0,1,25,0,1,0,6,0,47,5,5,19,0,0,114,0,0,308,2,10,0,0,1,0,13,0,0,1,0,0,0,2,0,36,73,67,10,10,2,2,15,62,0,4,0,1,1,1,8,0,76,1,3,5,0,0,0,0,5,0,3,0,4,2,0,0,0,0,17,0,0,2,1,6,0,1,0,0,0,1,26,1,0,0,8,0,89,17,6,31,10,4,12,5,24,0,0,32,0,22,0,0,2,20,32,0,4,0,0,61,1,0,0,0,0,0,1,0,0,7,4,50,0,0,0,0,0,0,0,33,0,0,0,0,2,30,0,46,12,1,3,3,556,0,0,0,2,24,0,0,0,1,36,1,1
KAZ,0,0,0,0,2,0,1,0,3,1,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,1,2,5,0,0,0,0,1,0,0,0,0,0,0,1,5,5,0,0,0,0,1,0,1,0,2,2,0,1,0,0,1,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,4,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,2,2,0,1,1,1,0,0,6,0,1,0,0,0,1,18,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,25,0,0,0,0,1,0,0,0,0,2,0,0
KEN,0,0,0,0,9,1,0,0,17,3,1,1,15,2,0,3,0,0,1,0,0,0,1,4,0,0,0,1,0,29,15,2,16,2,2,4,1,11,0,0,0,0,0,0,3,1,18,0,0,11,0,0,1,4,0,4,1,20,5,0,0,11,0,0,76,0,12,0,0,0,0,1,0,0,0,0,0,0,1,0,4,4,10,0,0,0,0,2,18,0,11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,2,0,1,5,1,0,0,0,10,1,13,9,0,1,1,2,0,0,13,0,0,0,0,0,0,0,0,0,1,4,7,0,1,3,0,0,0,0,0,0,0,1,0,2,1,25,0,0,0,1,0,0,0,10,0,0,0,0,0,1,0,3,11,24,0,0,143,0,0,0,0,0,0,1,0,0,34,3,2
