,ABW,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
GBR,0,2,0,5,0,0,203,84,7,2290,444,5,2,705,2,8,111,33,19,1,12,1,9,3,382,4,8,0,6,1,1488,893,222,1891,8,4,8,2,0,129,0,16,3,0,0,160,151,2204,0,649,5,10,22,88,1,1127,82,60,497,14,1,1274,9,1,4520,16,110,5,1,3,2,1,324,4,1,5,5,1,112,0,145,91,500,786,151,18,67,316,1612,14,41,372,24,129,3,6,0,194,18,4,55,1,14,1,34,3,53,73,20,51,4,3,3,4,136,16,6,51,4,7,3,12,0,10,31,237,14,1,0,141,2,1600,668,27,414,29,143,5,44,59,0,4,344,1,451,1,6,0,70,101,182,17,173,2,8,256,2,13,1,0,4,76,4,3,59,77,839,3,1,0,0,1,111,4,0,0,9,23,397,146,46,56,26,29,5227,7,0,4,110,0,1,10,2,602,18,17
GEO,0,0,0,0,0,0,0,1,0,2,5,1,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,6,4,2,4,0,0,0,0,0,1,0,0,0,0,0,3,1,12,0,2,0,1,0,0,0,1,1,0,0,0,0,2,0,0,16,0,1,0,0,0,0,0,1,0,0,1,0,0,4,0,2,2,2,3,0,0,1,0,9,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,7,1,0,0,0,1,0,0,0,0,0,5,0,4,0,0,0,0,2,4,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
GHA,0,0,0,0,0,0,5,2,1,55,4,0,0,8,1,1,6,0,0,0,1,0,0,0,6,0,0,0,0,0,27,15,3,72,3,3,0,0,0,4,0,0,0,0,0,1,5,32,0,13,0,0,0,2,0,10,3,4,7,0,0,6,0,0,110,1,0,0,0,0,0,0,5,0,0,1,0,0,2,0,7,5,14,9,2,0,1,2,10,1,0,9,0,14,0,0,0,3,0,0,2,0,0,0,0,0,2,2,0,4,0,0,0,0,4,0,1,1,0,0,1,0,0,1,2,7,1,0,1,25,0,25,9,2,4,0,7,1,1,1,0,0,5,0,7,0,0,0,1,4,2,0,4,0,2,2,0,3,1,0,0,2,0,1,2,0,16,0,0,0,0,0,3,0,0,0,0,1,4,2,3,6,1,1,104,1,0,1,5,0,0,1,2,78,1,5
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,1,0,0,5,0,0,19,7,1,56,39,0,0,42,1,0,4,8,0,0,2,0,0,0,17,0,0,0,0,0,38,49,16,33,0,0,0,0,0,13,0,1,0,0,0,94,20,104,0,21,0,2,2,7,0,93,15,0,25,1,0,103,0,0,324,1,5,0,0,0,0,0,0,0,0,1,0,0,18,0,21,7,20,26,10,1,4,12,93,2,1,20,4,3,0,0,0,13,0,0,5,0,1,0,0,0,9,8,2,4,1,0,0,0,7,3,1,6,0,0,0,0,0,0,0,16,0,0,0,8,0,69,27,1,10,3,8,0,8,6,0,0,30,0,42,0,0,0,3,17,19,0,11,0,0,11,0,0,1,0,0,17,0,1,12,9,33,0,0,1,0,1,10,0,0,0,0,2,28,7,0,1,3,1,170,2,0,0,6,0,0,5,1,15,0,0
GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,2,1,5,1,0,0,0,0,0,8,0,1,3,0,0,0,1,1,0,2,0,0,2,0,0,5,1,0,1,0,0,3,0,0,5,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,2,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,1,2,2,0,0,0,2,0,3,2,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
HRV,1,0,0,4,0,0,5,6,1,20,26,0,0,22,0,0,3,5,0,0,12,0,0,0,12,0,0,0,0,0,18,12,11,27,0,0,0,0,0,5,0,2,1,0,0,9,14,44,0,16,0,3,1,4,0,41,5,0,13,0,0,18,0,0,112,4,2,0,0,0,0,0,18,0,0,1,0,0,0,0,22,7,15,13,7,1,3,9,57,0,1,10,2,1,0,0,0,7,1,0,1,0,0,0,0,0,10,2,0,3,0,0,0,0,5,5,0,2,0,7,0,1,0,0,0,9,0,0,0,8,0,35,21,2,11,1,11,0,5,6,0,0,28,0,25,0,1,0,0,15,20,0,4,0,0,5,0,0,1,0,0,45,0,1,9,42,21,0,0,0,0,1,6,0,0,0,0,0,26,6,1,2,5,1,54,1,0,0,5,0,0,5,1,6,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
HUN,0,0,0,4,0,0,8,6,2,33,52,0,0,27,0,0,5,7,0,0,6,1,0,1,15,0,0,0,0,0,40,31,16,39,0,0,0,0,0,10,0,2,1,0,0,7,31,98,0,27,0,4,2,3,0,47,9,2,21,0,0,66,0,0,145,2,7,9,0,0,0,0,21,0,0,1,0,0,22,0,0,15,14,21,8,0,3,17,54,1,0,15,5,3,0,0,0,5,1,0,2,0,0,0,0,0,10,2,3,3,0,1,0,0,8,4,0,2,0,1,0,0,0,0,0,12,0,0,0,10,0,75,29,2,8,2,11,1,6,6,0,0,40,0,20,0,1,0,2,40,14,0,5,0,1,7,0,0,1,0,0,22,0,1,23,14,36,0,0,0,0,1,8,0,0,0,0,3,23,6,0,1,10,2,144,1,0,0,10,0,0,4,1,9,0,0
IDN,0,0,0,0,0,0,4,4,2,145,10,0,0,15,0,0,7,4,0,0,2,0,0,0,17,0,0,0,1,0,28,10,12,55,0,1,2,2,0,7,0,1,1,0,0,1,6,54,0,5,0,5,1,4,0,15,3,4,11,1,0,26,0,0,91,2,5,0,0,0,0,0,7,0,0,1,0,0,7,0,15,0,14,10,13,2,2,5,25,0,3,55,5,5,0,1,0,19,0,0,2,0,0,0,1,0,4,2,0,1,0,0,0,0,6,3,0,1,1,1,0,0,0,0,4,87,0,1,0,13,0,67,12,2,27,4,13,1,9,15,0,0,14,0,12,0,1,0,0,12,19,0,12,0,1,24,0,0,1,0,0,7,0,1,5,3,9,0,0,0,0,1,25,0,0,0,0,1,17,41,3,4,6,2,78,1,0,0,16,1,0,4,2,17,1,0
IND,0,1,0,2,0,0,43,7,2,211,22,0,0,27,2,1,26,4,9,1,1,0,0,0,38,1,2,2,0,0,152,50,15,134,1,1,0,0,0,14,0,2,1,1,0,20,19,117,0,37,0,4,5,15,0,53,5,6,40,5,0,114,0,0,500,2,14,0,0,0,0,0,20,0,0,0,1,0,15,0,14,14,0,30,14,2,0,22,81,5,7,60,1,12,0,1,0,43,0,2,13,0,1,0,5,0,7,2,2,15,0,0,0,0,24,3,2,1,2,0,0,1,0,2,2,82,0,0,0,21,0,73,68,12,40,7,37,3,11,12,0,3,25,0,22,0,1,0,22,16,35,1,68,0,2,36,0,0,0,0,0,18,0,2,10,11,44,0,0,0,0,1,14,0,1,0,1,9,55,28,3,3,4,2,695,2,0,1,19,0,0,2,4,106,0,0
IRL,0,0,0,0,0,0,20,10,1,149,37,0,0,53,0,0,6,5,4,0,1,0,0,0,33,0,2,0,0,0,112,63,18,85,1,0,0,0,0,14,0,2,0,0,0,16,21,188,0,39,0,2,3,4,1,138,9,4,53,0,0,105,0,0,786,3,9,1,0,0,0,0,26,0,0,2,0,0,13,0,21,10,30,0,8,1,8,23,103,0,3,26,7,6,0,0,0,18,0,0,8,0,0,1,1,0,12,5,5,3,1,0,0,0,11,2,0,3,0,1,0,0,0,0,1,23,2,0,0,9,0,116,47,4,48,2,18,0,5,5,0,0,34,0,57,0,1,0,1,18,17,0,16,0,0,10,0,0,1,0,0,7,0,1,7,12,71,0,0,0,0,1,6,0,0,0,1,5,30,7,1,4,2,2,381,1,0,0,17,0,0,2,0,24,2,2
IRN,0,2,0,1,0,0,5,5,1,108,7,0,0,14,0,0,3,3,0,0,2,0,0,0,11,0,0,0,0,0,95,21,11,62,0,1,0,0,0,5,0,1,0,0,0,4,10,57,0,10,0,2,2,7,0,35,6,3,18,0,0,39,0,0,151,0,2,0,0,0,0,0,10,0,0,0,0,0,7,0,8,13,14,8,0,6,0,5,47,0,1,18,4,4,0,0,0,7,0,0,2,0,1,0,2,0,13,2,0,4,0,0,0,0,9,4,0,2,0,1,0,0,0,0,0,38,0,0,0,10,0,49,17,2,18,8,14,1,13,5,0,0,11,0,17,0,0,0,4,7,19,0,12,0,0,10,0,0,0,0,0,6,0,1,5,3,21,0,0,0,0,1,8,0,0,0,0,3,32,16,1,2,3,1,193,2,0,1,10,0,0,4,0,12,1,0
IRQ,0,0,0,0,0,0,4,1,0,9,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,4,3,1,12,0,0,0,0,0,3,0,0,0,0,0,1,0,8,0,2,0,0,0,0,0,4,1,0,1,0,0,3,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,1,6,0,0,1,8,0,0,5,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,3,1,0,2,1,6,0,1,0,0,0,4,0,5,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,7,1,0,1,0,0,16,0,0,0,1,0,0,0,0,1,0,0
ISL,0,0,0,0,0,0,1,2,0,17,3,0,0,3,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,11,5,3,4,0,0,0,0,0,1,0,0,0,0,0,0,2,22,0,29,0,0,0,0,0,12,9,0,11,1,0,18,0,0,67,1,1,0,0,0,1,0,4,0,0,1,0,0,3,0,3,2,0,8,0,0,0,3,15,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,22,45,0,3,0,1,0,0,0,0,0,8,0,9,0,0,0,0,5,16,0,1,0,0,1,0,0,1,0,0,3,0,0,1,1,33,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,43,0,0,0,0,0,0,0,0,1,0,0
ISR,0,0,0,0,0,0,7,16,0,94,40,0,0,46,0,0,4,4,0,0,2,1,0,1,34,0,0,0,0,0,146,62,23,74,0,1,0,0,0,13,0,2,1,0,0,9,9,188,0,39,3,0,2,1,0,59,4,1,35,1,0,82,0,0,316,0,2,0,0,1,0,0,12,0,0,0,0,1,9,0,17,5,22,23,5,1,3,0,99,0,1,28,4,5,0,0,0,20,0,0,1,0,0,0,0,0,2,2,0,2,0,0,0,0,21,1,0,1,0,0,0,0,0,0,2,12,0,0,0,5,0,115,38,1,14,0,9,0,9,4,0,0,35,0,28,0,5,0,2,21,29,0,1,0,1,16,0,0,0,0,0,7,0,0,10,6,46,0,0,0,0,1,10,0,0,0,0,1,26,8,3,3,5,2,734,1,0,0,2,0,0,1,0,25,1,0
ITA,0,2,1,11,0,0,47,23,4,285,188,5,0,293,1,0,10,22,0,0,5,1,1,0,125,0,0,0,0,0,267,329,65,254,3,1,0,0,0,41,0,7,2,0,0,58,67,670,0,163,0,8,9,15,0,569,31,7,117,2,0,670,0,0,1612,9,10,1,1,1,0,0,93,0,0,2,0,0,57,0,54,25,81,103,47,8,15,99,0,2,10,66,4,17,0,0,0,39,5,0,9,0,0,3,1,1,35,34,9,11,1,1,1,0,54,8,0,21,1,2,1,1,0,1,3,43,0,0,2,20,0,435,179,5,60,6,41,2,12,23,0,0,169,0,181,1,8,0,13,75,121,1,26,0,3,51,0,0,1,3,2,33,0,1,26,42,229,0,0,0,0,2,22,1,0,0,0,12,88,24,3,8,10,6,1224,8,1,1,16,0,0,6,2,80,1,0
JAM,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,5,3,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,2,0,0,1,0,0,3,0,0,14,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,2,0,0
JOR,0,0,0,0,0,0,23,0,0,11,1,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4,6,1,13,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,2,0,6,0,7,0,0,0,0,0,8,0,0,41,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,7,3,1,0,0,1,10,1,0,1,0,7,0,0,0,1,3,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,0,1,1,14,11,0,0,9,0,0,2,0,1,0,4,0,12,1,2,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,5,0,0,2,0,0,53,0,0,0,2,0,0,0,0,1,0,0
JPN,0,2,0,0,0,0,13,16,2,215,34,2,0,30,0,0,16,6,0,0,2,0,0,1,31,0,0,2,0,0,140,53,21,336,1,1,0,0,0,16,0,1,0,0,0,7,18,136,0,26,0,3,5,9,0,55,4,9,38,3,0,82,0,0,372,1,9,1,0,0,0,0,20,0,2,1,0,0,10,0,15,55,60,26,18,5,3,28,66,0,1,0,7,23,0,9,0,88,3,3,3,0,0,0,5,0,8,6,0,3,0,0,0,1,26,1,0,1,8,0,0,0,0,0,0,41,1,0,0,13,0,105,32,8,43,4,25,2,9,26,0,0,26,0,29,0,0,0,3,16,32,1,10,0,0,61,0,1,1,0,0,14,0,1,10,6,48,0,0,0,0,1,22,0,0,0,1,1,31,80,6,5,5,2,553,1,0,1,43,0,0,3,0,36,2,0
KAZ,0,0,0,0,0,0,7,0,1,8,1,0,0,4,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,9,1,3,20,0,0,0,0,0,1,0,0,0,0,0,0,3,11,0,0,0,3,0,3,0,4,1,0,1,0,0,5,0,0,24,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,5,5,1,7,4,0,0,4,4,0,0,7,0,1,1,0,0,6,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,7,0,1,12,1,10,1,2,3,0,0,3,0,1,0,0,0,1,4,48,0,13,0,0,5,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,10,4,0,0,4,1,38,4,0,0,3,0,0,2,0,3,0,0
KEN,0,0,1,1,0,0,8,8,0,28,6,0,0,14,0,3,5,1,0,0,0,0,0,0,10,0,0,0,0,0,30,23,3,28,7,2,2,0,0,12,0,1,0,0,0,3,3,50,0,10,0,0,2,6,0,13,1,27,14,0,0,24,0,0,129,0,14,0,0,0,0,0,3,0,0,0,1,0,1,0,3,5,12,6,4,0,0,5,17,1,7,23,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,8,1,2,0,0,0,1,1,0,0,5,7,2,0,1,16,0,22,9,2,6,1,6,1,3,11,0,0,3,0,5,0,0,0,0,2,3,4,7,1,2,10,0,0,0,0,0,3,0,0,3,2,25,1,0,0,0,0,13,0,0,0,0,1,7,3,11,22,0,1,184,0,0,0,1,0,0,0,0,57,16,5
KGZ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0
KHM,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
KNA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
