,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
GHA,0,0,0,0,0,2,22,0,0,40,2,0,0,4,2,8,6,6,0,0,0,0,0,0,0,8,10,0,0,4,26,34,0,48,0,4,0,0,4,0,0,0,0,0,0,2,24,0,0,6,0,0,0,2,0,12,8,8,10,0,8,0,164,2,0,0,0,0,0,2,0,0,0,0,0,0,8,0,10,6,12,4,6,0,0,2,10,0,0,2,0,26,0,0,0,0,8,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,4,0,2,2,14,0,0,0,16,0,32,16,0,0,8,0,6,0,2,0,0,0,6,8,0,0,0,6,14,0,6,0,4,0,0,2,0,0,0,4,0,6,0,22,0,0,0,0,0,2,2,0,0,0,0,0,0,6,0,0,6,10,2,0,120,0,0,0,0,0,0,0,0,0,70,2,8
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,0,0,0,0,28,2,0,0,90,78,0,0,72,0,0,2,50,2,0,6,0,0,0,0,12,0,0,0,0,42,54,4,40,0,0,0,0,4,0,0,2,0,0,144,16,154,0,0,34,0,0,2,4,0,136,18,0,42,0,150,0,676,2,2,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,10,36,0,0,4,18,156,0,0,28,0,0,0,0,0,0,6,0,0,2,0,0,2,2,0,14,2,10,2,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,26,0,94,66,2,0,10,2,4,0,30,2,0,0,56,74,0,0,8,14,20,0,14,0,0,6,0,0,0,0,0,44,0,8,16,64,0,0,0,0,0,0,2,0,0,0,0,0,0,32,0,6,0,0,6,0,276,0,0,0,0,2,0,0,0,0,34,0,0
GRD,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,8,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,0,0,0,2,0,0,0,0,0,2,0,0
GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
HRV,0,0,0,4,0,0,4,2,0,16,20,0,0,10,0,0,0,12,0,0,30,0,0,0,0,6,0,0,0,0,26,24,2,12,0,0,0,0,2,0,0,0,0,0,6,14,38,0,0,18,0,0,0,0,0,38,18,0,10,0,20,0,90,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,18,6,8,8,8,0,0,4,22,0,0,8,0,8,0,0,0,0,6,0,0,2,0,0,0,0,0,12,2,4,0,2,0,0,6,0,10,0,6,0,4,0,0,0,0,0,8,0,0,0,6,0,32,28,0,0,0,0,6,0,4,0,0,0,28,20,0,0,0,18,8,0,6,0,0,12,0,0,0,0,0,62,0,28,68,12,0,0,0,0,0,0,2,0,0,0,0,0,0,18,0,0,0,4,2,0,80,0,0,0,0,0,0,0,2,0,2,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
HUN,0,0,0,4,0,0,2,4,0,44,74,0,0,72,0,0,8,16,0,0,6,0,0,0,0,22,2,0,0,0,42,52,2,28,0,0,0,0,6,0,0,0,0,0,6,32,152,0,0,28,0,2,4,0,0,66,32,0,40,2,96,0,228,2,10,0,0,2,0,10,0,0,0,0,0,0,18,0,0,8,14,22,8,0,0,18,82,0,2,20,0,6,2,0,0,0,14,0,0,0,0,0,0,0,0,6,4,8,0,0,0,0,12,0,0,0,2,2,0,0,0,0,0,0,8,0,0,0,6,0,98,34,2,0,2,0,10,2,2,0,0,0,44,34,0,0,0,70,32,0,6,0,0,4,0,0,0,0,0,18,0,50,34,50,0,0,0,0,0,0,2,0,0,0,0,0,0,14,0,2,0,4,12,2,244,0,0,0,0,4,0,0,2,0,6,0,0
IDN,0,0,0,0,0,4,4,2,0,184,8,0,0,14,0,2,4,8,0,0,0,0,0,0,0,14,0,32,2,0,22,12,2,40,0,8,0,2,4,0,0,0,0,0,2,6,66,0,0,2,0,0,2,2,0,22,10,8,8,0,26,0,96,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,36,2,8,0,0,0,14,0,0,86,0,12,0,6,0,0,32,0,4,2,0,0,0,0,0,2,0,2,0,0,0,0,8,0,0,0,0,4,0,0,2,0,0,2,118,0,2,0,6,0,94,22,4,0,18,2,14,2,6,18,0,0,8,10,0,0,2,14,8,0,32,0,0,36,0,0,0,0,0,2,0,8,0,16,0,0,0,0,0,0,36,0,0,2,0,0,0,10,0,32,0,6,2,0,130,0,0,0,0,18,0,0,0,0,18,2,0
IND,0,2,0,0,0,20,46,4,0,236,26,0,2,42,0,0,32,10,0,0,0,0,0,0,0,34,0,2,0,2,146,116,14,156,0,2,0,2,16,0,4,0,0,0,8,10,182,0,0,16,2,2,4,8,0,76,22,14,92,2,120,0,630,2,12,0,0,0,0,10,0,0,0,0,0,0,8,0,14,36,0,32,18,0,0,42,78,0,2,94,2,40,0,2,0,0,30,2,6,2,2,0,0,10,0,10,4,2,6,0,0,0,22,0,2,0,0,0,0,0,2,0,0,4,38,10,0,0,26,0,116,32,32,0,22,16,32,2,6,16,0,0,22,36,0,0,14,18,34,0,32,0,0,50,0,2,0,0,0,10,0,12,10,38,0,0,0,0,0,0,20,0,0,0,0,0,10,20,0,18,8,6,4,2,1074,0,0,0,0,12,0,0,2,2,58,2,2
IRL,0,0,0,2,0,4,4,2,0,184,54,2,0,68,0,0,2,10,4,2,2,0,0,0,2,18,2,0,0,0,146,120,6,50,0,0,0,0,2,0,0,0,0,0,18,18,188,0,0,70,0,0,0,0,0,136,22,6,50,2,148,0,1176,0,4,0,0,0,0,36,0,0,0,0,0,0,8,0,22,2,32,0,4,0,14,30,124,0,2,14,2,4,2,2,0,0,6,0,2,2,0,0,2,4,0,2,10,6,6,0,0,0,4,0,2,0,8,2,0,0,6,0,2,4,6,0,0,0,8,0,132,38,4,0,46,0,10,0,2,2,0,2,20,42,0,2,4,20,16,2,4,2,0,4,2,2,0,0,0,8,0,0,28,100,0,0,0,0,0,0,4,0,0,0,0,0,10,26,0,10,6,0,2,4,494,0,0,0,0,4,0,0,0,0,44,2,2
IRN,0,0,0,0,0,0,2,2,0,56,12,0,0,8,0,0,0,8,0,0,0,0,0,0,0,10,0,2,0,0,68,16,6,40,0,0,0,0,4,0,0,0,0,0,0,6,60,0,0,10,0,0,0,2,0,16,12,4,16,0,22,0,88,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,8,8,18,4,0,0,0,0,44,0,0,6,0,8,0,0,0,0,12,2,0,0,0,0,0,0,0,30,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,6,0,42,16,2,0,2,2,10,2,2,0,0,0,10,20,0,0,2,8,12,0,6,0,0,0,0,0,0,0,0,6,0,8,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,4,2,0,236,0,0,0,0,4,0,0,0,0,12,0,0
IRQ,0,0,0,0,0,2,0,0,0,10,4,0,0,4,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,12,0,0,0,0,6,0,0,0,0,0,4,0,2,0,0,0,0,0,0,4,0,6,0,0,2,0,6,0,56,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,12,0,0,4,0,2,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,6,0,6,0,0,0,8,2,2,0,6,2,0,0,4,8,0,0,0,14,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,2,0,0
ISL,0,0,0,0,0,0,0,0,0,44,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,12,0,0,0,0,0,6,0,0,10,2,6,0,66,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,0,0,4,0,0,0,0,0,0,0,6,2,0,0,0,2,8,0,0,0,0,2,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,18,0,0
ISR,0,0,0,0,0,0,6,0,0,122,42,0,0,42,0,0,0,8,2,0,2,0,0,0,0,20,0,0,0,0,214,72,10,54,0,0,0,0,8,0,0,2,0,0,6,10,278,0,0,40,0,0,2,0,0,104,8,0,64,0,82,0,374,2,2,0,0,0,0,18,0,0,0,0,0,0,4,0,18,0,42,30,0,2,0,0,86,0,4,28,2,0,0,0,0,0,10,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,6,0,6,0,4,0,0,0,0,0,0,0,4,0,0,0,2,0,134,46,4,0,22,0,0,0,4,0,2,0,36,18,0,16,0,18,28,0,4,0,0,18,0,0,0,0,0,4,0,4,12,36,0,0,0,0,0,0,2,0,2,0,0,0,2,16,0,4,2,4,4,2,1128,0,0,0,0,2,0,0,0,0,20,0,0
ITA,0,2,0,16,2,26,40,6,0,442,318,0,0,456,0,0,2,48,0,0,6,0,0,0,2,196,2,0,0,0,388,496,56,276,2,2,2,0,64,0,2,2,0,0,32,88,1052,0,0,206,0,6,8,18,2,860,56,12,182,2,1080,0,2372,2,10,0,0,0,0,156,0,0,0,0,4,4,22,0,82,14,78,124,44,12,10,86,0,0,14,128,4,40,2,4,0,0,50,4,0,20,0,2,2,2,0,22,58,10,6,0,2,0,58,0,10,0,16,2,4,0,4,0,2,0,36,0,0,2,20,0,684,210,4,0,66,6,24,4,22,26,0,0,190,226,0,6,18,106,132,0,24,0,0,56,0,2,0,4,0,36,0,28,46,386,0,0,0,0,0,0,16,0,0,0,0,0,28,92,0,26,2,10,22,14,2166,0,2,0,10,18,0,0,4,0,106,4,0
JAM,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,2,0,0,0,34,0,0,0,0,0,0,0,0,0,2,2,0
JOR,0,0,0,0,0,22,0,0,0,8,0,0,0,2,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,8,26,0,10,0,0,0,0,10,0,0,0,0,0,4,0,16,0,0,0,0,0,0,6,0,2,2,0,2,0,6,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,4,14,2,0,6,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,2,0,0,0,6,2,0,2,10,0,0,2,0,0,0,4,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,10,0,0,0,0,0,4,4,0,0,2,0,2,0,88,0,0,0,0,0,0,0,0,0,0,0,0
JPN,0,0,0,0,0,10,40,2,0,318,52,2,0,100,0,0,20,8,2,0,28,0,0,0,2,54,2,2,0,2,194,66,10,478,0,2,2,0,22,0,4,0,0,0,6,18,212,2,0,34,0,0,0,10,0,88,10,6,70,2,232,0,516,0,2,0,0,0,0,28,0,0,4,0,0,0,8,0,20,86,94,14,6,4,2,28,128,0,6,0,0,12,2,8,0,0,156,0,10,12,2,0,0,10,2,2,6,0,2,0,0,0,38,0,0,0,26,8,0,2,0,0,2,0,66,0,2,0,8,0,246,46,16,0,70,0,6,4,12,28,0,0,34,24,0,0,4,22,84,2,2,0,4,78,0,0,0,0,0,4,0,6,6,110,0,0,0,0,0,0,60,0,0,0,0,2,2,26,0,136,6,2,8,0,1040,0,0,0,10,40,0,2,0,0,70,4,2
KAZ,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,2,0,0,0,0,0,0,0,0,4,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,4,0,0,0,0,0,10,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,4,2,0,0,0,0,48,0,0,0,0,2,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,12,0,0,0,0,0,0,44,2,0,0,0,0,0,0,0,0,2,0,0
KEN,0,2,0,0,0,8,6,0,0,32,8,0,0,32,6,0,2,8,0,0,0,0,0,2,0,12,2,0,0,2,70,48,0,44,12,8,6,2,18,0,2,8,0,0,2,4,52,0,0,2,0,2,4,6,0,24,6,30,2,2,44,0,138,0,26,0,0,0,0,0,0,0,0,0,0,0,8,0,6,12,40,4,8,2,0,0,40,0,10,12,0,0,0,0,0,0,6,0,0,6,2,0,0,0,2,0,0,0,4,0,0,2,16,0,2,0,0,0,0,0,6,0,0,4,10,0,0,0,42,0,56,16,0,0,10,0,10,0,6,10,0,0,10,8,0,0,0,12,8,8,20,0,6,6,0,2,2,0,14,2,0,6,0,26,0,0,0,0,0,0,16,0,0,0,2,0,0,8,0,2,28,30,4,0,272,0,2,0,2,0,0,0,2,0,92,12,24
KGZ,0,0,0,0,0,0,0,2,0,4,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,0,2,0,0,0,2,4,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,0,6,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0
KHM,0,0,0,0,0,0,0,0,0,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,4,0,0,8,2,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,2,0,14,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,6,0,0,0,32,0,0,0,0,4,0,0,0,0,2,0,0
KIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
KNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
KOR,0,0,0,0,0,6,10,0,0,198,14,0,0,26,0,0,4,8,0,0,0,0,0,0,0,24,2,0,0,0,136,14,4,372,0,0,0,0,4,0,0,0,0,0,2,4,100,0,0,6,0,2,0,2,0,48,12,2,12,10,94,0,266,0,8,0,0,0,0,6,0,0,0,0,0,0,6,0,14,32,30,6,12,0,0,10,50,0,0,156,0,6,2,6,0,0,0,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,4,0,10,0,0,0,2,40,0,0,0,6,0,64,24,0,0,36,2,18,0,8,42,0,0,20,10,0,0,8,8,30,6,18,0,0,104,0,0,0,0,0,8,0,8,14,34,0,0,0,0,0,0,22,0,0,0,0,0,10,32,0,52,0,6,6,4,1810,2,0,0,0,12,0,0,0,0,20,0,0
