,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,CPV,CRI,CUB,CUW,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCD,TGO,THA,TJK,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
FSM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,0,2,1,7,0,173,79,7,1828,317,5,1,477,6,5,74,32,8,1,26,3,0,1,9,347,2,3,1,6,0,1096,696,174,1838,7,11,3,2,0,87,2,10,4,0,117,120,1713,0,490,3,7,17,70,0,827,69,36,359,8,2,994,2,0,0,3264,29,87,6,2,2,248,0,1,4,0,0,1,0,58,1,124,89,447,578,129,13,37,242,1160,17,1,45,301,33,67,2,2,0,166,18,4,54,1,15,0,0,29,3,56,52,38,0,14,1,1,4,1,96,20,0,28,3,6,7,7,2,0,4,29,225,6,1,1,130,0,1235,580,18,337,33,155,2,45,44,0,4,291,0,0,309,7,14,52,84,169,19,143,5,17,253,0,0,11,3,0,0,58,3,6,34,44,590,2,1,1,4,0,1,73,1,0,0,7,14,310,0,131,46,59,35,23,4039,7,0,5,0,118,0,0,5,2,474,18,20
GEO,0,0,0,1,0,0,1,0,2,5,1,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,5,1,6,0,0,0,0,0,0,0,0,0,0,2,2,13,0,1,0,0,0,1,0,1,1,0,1,0,0,3,0,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,2,1,1,4,1,0,0,5,7,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5,4,1,0,0,1,0,0,0,0,0,6,0,0,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,3,0,1
GHA,0,0,0,0,0,4,0,1,43,4,0,1,1,6,2,4,1,0,0,1,0,0,0,0,4,0,0,0,4,0,33,10,4,64,3,16,0,0,0,3,1,0,0,0,0,1,22,0,5,0,0,1,1,0,15,1,2,5,0,0,11,0,0,0,87,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,3,3,16,1,0,2,0,3,12,2,0,0,6,1,11,0,0,0,19,0,0,2,0,1,0,0,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,19,0,23,7,0,9,0,6,0,2,5,0,0,4,0,0,5,0,0,0,7,6,3,1,0,1,2,0,0,1,0,0,0,1,0,0,1,1,8,0,0,0,0,0,2,4,0,0,0,0,0,11,0,0,5,2,1,1,108,0,0,0,0,4,0,0,0,0,59,2,0
GIB,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
GRC,0,0,1,4,0,21,4,0,47,19,0,0,26,0,0,2,9,1,1,1,0,0,0,0,15,0,0,0,0,0,34,26,11,41,0,0,0,0,0,6,2,0,1,0,80,10,64,0,22,0,2,3,5,0,65,4,0,19,1,0,66,0,0,0,248,1,2,0,0,0,0,0,0,0,0,0,0,0,11,0,7,6,15,23,5,0,4,13,79,0,0,2,11,6,3,0,0,0,8,0,0,4,0,1,0,1,1,0,7,4,5,0,2,0,0,0,0,5,3,0,6,0,0,0,2,0,0,0,2,6,0,0,1,3,0,46,28,0,10,3,6,0,4,2,0,0,22,0,0,39,0,1,4,15,14,0,17,0,0,9,0,0,0,0,0,0,9,0,0,5,2,27,0,0,0,1,0,0,4,0,0,0,0,0,29,0,3,0,1,3,2,110,0,0,1,0,4,0,0,3,0,13,0,1
GRD,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,6,0,0,0,0,0,0,7,0,1,3,0,0,0,4,0,0,0,0,7,0,0,4,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,3,4,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,1,0,0,0,0,0,0,0,0,0
GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
HRV,0,0,0,2,0,7,1,2,19,15,0,0,12,0,0,3,6,0,0,14,0,0,0,0,13,0,0,0,0,0,7,16,8,27,0,0,0,0,0,5,0,0,1,0,3,13,37,0,9,0,2,5,2,0,43,10,0,14,1,0,25,0,0,0,58,3,1,0,0,0,11,0,0,0,0,0,0,0,0,0,13,7,12,14,9,1,4,10,57,0,0,1,14,5,1,0,0,0,9,0,0,2,0,0,0,0,2,0,11,3,3,0,0,0,0,0,0,6,6,0,3,0,3,0,0,0,0,0,0,10,0,0,0,7,0,22,13,2,7,2,6,0,5,2,0,0,24,0,0,24,1,1,0,17,22,0,3,0,0,8,0,0,0,0,0,0,21,0,0,13,33,14,0,0,0,0,0,1,7,0,0,0,0,0,22,0,6,0,1,6,1,50,1,0,0,0,7,0,0,2,0,6,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
HUN,0,0,0,0,0,9,2,1,23,48,1,0,24,0,0,3,6,0,0,5,0,0,0,0,18,0,0,0,0,0,28,19,7,30,0,0,0,0,0,5,0,0,0,0,1,26,66,0,17,0,1,3,10,0,41,8,2,16,0,0,42,0,0,0,124,2,3,9,0,0,7,0,0,0,0,0,0,0,13,0,0,14,15,12,11,1,1,12,42,0,0,1,16,6,11,1,0,0,6,3,0,2,0,0,0,0,0,0,6,0,6,0,0,0,1,0,0,5,3,0,1,0,3,1,0,0,0,0,0,8,0,0,0,7,0,40,30,1,5,1,9,0,3,2,0,0,54,0,0,22,1,1,1,28,8,0,4,0,1,3,0,0,0,0,0,0,16,0,0,12,11,28,0,0,0,0,0,2,4,0,0,0,0,2,17,0,4,2,0,7,1,97,0,0,0,0,2,0,0,1,0,14,0,0
IDN,0,0,0,0,0,12,2,2,135,8,1,0,18,0,0,11,3,1,0,2,0,0,0,0,15,0,3,1,0,0,27,12,11,51,0,1,1,0,0,6,0,1,1,0,0,4,36,0,6,0,2,5,5,0,16,4,1,6,2,0,22,0,0,0,89,1,3,1,0,0,6,0,0,0,0,0,0,0,7,0,14,2,19,7,11,3,1,8,16,0,0,4,30,5,4,0,2,0,12,0,2,3,0,1,0,0,2,0,2,1,2,0,0,0,0,0,0,3,3,0,0,2,0,0,1,0,0,0,1,68,0,1,0,14,0,67,6,2,17,3,19,0,6,14,0,1,14,0,0,12,1,2,0,12,10,1,17,0,1,23,0,0,0,0,0,0,6,0,0,6,3,4,0,0,0,0,0,1,25,0,0,0,0,1,10,0,46,1,4,8,1,89,1,0,0,0,15,0,0,1,1,12,0,1
IND,0,2,1,1,0,67,7,6,265,17,0,0,12,1,0,37,3,4,0,2,0,0,0,1,32,0,1,2,0,0,108,57,18,131,1,1,0,0,0,13,0,1,3,0,19,20,107,0,28,0,2,7,15,0,55,6,3,29,7,0,142,0,0,0,447,1,16,0,0,0,15,0,0,1,0,0,2,0,12,0,15,19,2,47,18,5,3,20,81,0,0,7,42,6,9,0,3,0,28,3,1,17,0,0,0,0,10,1,9,3,3,0,14,0,0,1,0,15,3,0,1,1,0,0,2,0,0,3,6,86,0,0,0,20,0,74,51,5,32,7,40,0,6,9,0,2,24,0,0,23,0,3,20,15,31,1,67,0,1,28,0,0,0,0,0,0,10,0,0,9,8,32,0,1,0,0,0,1,24,0,0,0,0,5,67,0,27,3,2,6,5,644,2,0,0,1,20,0,0,2,2,70,3,2
IRL,0,0,0,0,0,34,11,4,117,32,0,0,42,0,0,2,5,1,0,0,0,0,0,0,32,0,1,0,0,0,88,47,13,99,1,0,0,0,0,16,0,0,0,0,7,17,131,0,22,0,1,4,3,0,90,8,4,31,0,0,103,0,0,0,578,4,1,0,0,0,23,0,0,0,0,0,0,0,14,0,12,7,47,0,7,0,9,18,90,0,1,4,18,7,2,1,0,0,20,2,1,5,0,0,0,0,5,0,9,9,6,0,2,0,0,0,0,7,1,0,1,0,1,0,2,0,0,0,1,22,0,1,0,4,1,74,54,3,41,1,15,0,1,2,0,0,19,0,0,32,1,0,2,12,21,0,11,1,0,12,0,0,0,0,0,0,3,0,0,4,11,47,0,0,0,0,0,0,4,0,0,0,0,1,20,0,8,0,2,2,2,285,0,0,0,0,26,0,0,1,0,31,0,1
IRN,0,4,0,0,0,9,2,0,99,11,2,1,21,0,0,6,3,0,0,1,0,0,0,0,19,0,0,0,0,0,72,16,6,62,0,1,0,0,0,5,0,0,1,0,3,8,58,0,15,0,3,5,13,0,19,4,3,17,0,0,28,0,0,0,129,1,0,0,0,0,5,0,0,0,0,0,0,0,9,0,11,11,18,7,4,14,2,4,30,0,0,1,13,5,2,0,0,0,11,4,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,5,0,0,0,1,0,0,0,0,0,0,38,0,0,0,7,0,29,18,2,7,15,9,0,7,3,0,0,25,0,0,18,1,1,5,14,9,0,20,0,0,6,0,0,0,0,0,0,6,0,0,1,4,17,0,0,0,0,0,0,12,0,0,0,0,2,33,0,17,1,0,2,0,188,1,0,0,0,6,0,0,2,0,10,0,0
IRQ,0,0,0,0,0,9,1,1,6,3,0,0,1,0,0,2,2,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,2,3,0,0,0,0,0,3,0,0,0,0,0,2,8,0,0,0,0,1,4,0,3,1,0,1,0,0,3,0,0,0,13,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,5,0,14,0,0,1,4,0,0,1,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,13,0,0,1,4,0,4,1,0,2,2,4,0,2,1,0,0,2,0,0,3,0,0,0,2,5,0,8,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,6,0,0,0,0,0,8,0,1,0,1,1,1,13,1,0,0,0,2,0,0,0,1,2,0,0
ISL,0,0,0,1,0,0,1,0,12,3,0,0,6,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,6,7,0,6,0,0,0,0,0,1,1,0,1,0,4,8,15,0,33,0,0,1,0,0,14,7,0,29,0,0,15,1,0,0,37,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,1,1,3,9,2,0,0,7,9,0,0,0,6,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,1,0,13,22,0,2,1,0,0,1,0,0,0,11,0,0,5,0,0,0,7,4,0,4,0,1,2,0,0,0,0,0,0,3,0,0,1,0,39,0,0,0,0,0,0,0,0,0,0,0,1,11,0,2,0,1,0,0,35,0,0,0,0,3,0,0,1,0,2,0,0
ISR,0,0,0,1,0,10,11,1,60,26,1,0,35,0,0,3,2,0,0,3,0,0,0,0,21,0,0,0,0,0,129,55,26,51,0,2,0,0,0,9,0,1,2,0,6,9,172,0,32,2,0,2,2,0,64,10,1,31,0,0,60,0,0,0,242,5,3,0,0,0,13,0,0,0,0,0,0,0,10,0,12,8,20,18,4,1,7,0,91,0,0,2,21,2,4,0,0,0,13,1,0,2,0,0,0,0,2,0,6,2,1,0,0,0,0,0,0,8,2,0,2,0,0,0,1,0,0,1,0,8,0,0,0,4,1,79,36,1,18,1,6,0,6,4,0,1,26,0,0,26,1,1,5,15,17,0,2,1,2,13,0,0,0,0,0,0,7,0,0,3,9,34,0,0,0,0,0,2,3,0,0,0,0,2,22,0,10,1,3,8,3,525,0,0,0,0,7,0,0,5,0,16,1,1
ITA,0,0,0,14,0,36,34,3,204,139,3,1,199,0,0,9,14,0,1,6,0,0,0,1,110,0,0,0,0,0,227,289,61,213,1,2,0,0,0,29,1,2,3,1,36,51,583,0,126,0,3,13,14,0,448,27,5,96,10,0,490,0,0,0,1160,7,12,0,1,0,79,0,0,1,0,0,1,0,57,0,42,16,81,90,30,4,9,91,0,0,0,13,62,10,19,1,0,0,42,2,0,12,0,1,1,3,7,0,26,22,16,0,8,3,1,0,0,36,11,0,20,1,2,1,2,0,0,0,1,46,0,0,1,18,0,371,152,3,39,10,40,0,17,10,0,0,133,0,0,146,2,7,6,51,93,0,15,0,6,39,0,0,0,0,3,1,28,0,0,19,33,171,0,0,0,1,0,3,16,0,0,0,0,8,79,0,25,2,6,15,5,915,0,1,2,0,16,0,0,4,1,76,1,0
JAM,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,0,0,0,3,3,1,2,0,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,13,0,0,0,0,2,0,0,0,0,4,0,0
JEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOR,0,0,0,1,0,30,0,0,7,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,3,1,2,9,0,0,0,0,0,2,0,1,0,0,1,0,6,0,1,0,1,1,9,0,9,0,1,0,0,0,8,0,0,0,45,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,4,7,4,1,1,0,2,13,0,0,0,4,0,2,0,0,0,4,3,0,9,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,1,13,0,0,1,2,0,6,2,1,0,10,7,0,1,2,0,0,1,0,0,0,0,7,6,0,5,1,24,2,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,2,0,0,3,0,0,0,0,2,4,0,2,0,0,0,0,36,0,0,0,0,6,0,0,0,2,1,0,0
JPN,0,1,0,2,0,19,10,1,148,36,0,1,38,0,0,22,6,0,0,4,0,0,0,0,38,0,1,1,0,0,109,52,18,300,1,2,1,0,0,15,0,2,3,0,1,13,119,0,32,0,3,10,10,0,66,12,1,39,2,0,104,0,0,0,301,1,6,0,1,0,11,0,0,2,0,0,0,0,14,0,16,30,42,18,13,3,6,21,62,2,0,4,0,10,6,1,5,0,87,0,1,6,0,0,0,0,5,0,10,2,6,0,1,0,0,0,0,15,5,0,0,5,0,6,0,0,0,0,1,27,3,0,0,18,0,89,42,5,31,5,21,2,9,15,0,0,40,0,0,26,1,2,2,16,27,0,9,0,4,51,0,0,0,0,0,0,12,0,0,11,6,42,0,1,0,0,0,2,48,0,0,0,1,4,31,0,54,5,10,8,1,452,1,0,0,0,35,0,0,2,0,21,1,0
