,ABW,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
FJI,0,0,0,0,0,0,0,0,0,0,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,10,3,1,6,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,1,0,0,0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,1,0,2,0,0,2,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,2,1,18,0,0,1,0,2,1,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,2,7,0,0,0,0,0,16,0,0,0,0,2,1,1,0,0,5,0,0
FLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,0,1,1,2,0,0,40,38,4,0,293,102,2,0,442,2,7,4,14,3,0,5,17,0,2,128,1,0,1,2,1,560,368,67,239,9,13,4,1,35,0,3,0,0,0,22,30,601,0,0,115,1,23,12,13,0,395,33,6,99,6,0,0,0,0,2,1209,3,10,0,2,1,0,93,0,1,1,1,0,0,19,0,50,24,102,86,23,3,15,83,576,0,10,79,10,14,1,8,2,0,42,5,3,43,1,0,0,7,1,0,25,51,8,0,29,11,0,0,0,38,0,9,5,9,1,2,2,8,1,0,2,2,21,1,7,1,13,1,355,109,6,51,5,27,2,13,8,0,102,0,97,1,0,12,55,67,2,38,3,9,69,0,0,0,1,1,0,0,17,0,0,10,16,163,0,1,3,0,5,22,0,0,0,2,86,61,0,31,2,3,1,2,1275,1,0,3,0,35,2,0,5,0,123,1,4
FRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,1,0,1,0,1,1,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GBR,1,7,1,7,0,0,143,76,3,1,2520,401,3,0,843,2,3,60,40,11,1,19,3,1,3,304,2,18,4,16,1,1352,888,151,1455,7,10,7,0,88,0,12,4,1,1,137,131,2164,0,0,633,4,9,17,96,1,1112,51,42,455,11,0,1209,0,0,2,4706,15,76,0,1,3,1,339,1,1,3,0,4,0,78,3,144,65,328,762,67,14,55,322,1489,4,30,309,31,95,2,12,2,0,165,19,1,47,4,7,0,9,18,0,30,57,13,0,16,6,0,1,2,129,1,12,5,41,4,3,5,14,0,0,3,32,194,18,3,1,91,1,1805,631,43,400,17,163,2,34,49,3,244,0,356,3,12,70,107,198,10,127,13,8,278,1,0,2,5,1,1,1,53,4,0,36,67,814,1,1,3,1,2,77,3,0,0,10,19,254,0,141,29,39,31,11,5278,6,0,4,1,65,1,0,4,0,546,16,26
GEO,0,0,0,0,0,0,0,0,3,0,3,4,3,0,7,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,4,0,0,0,0,2,0,1,1,0,0,1,2,15,0,0,2,0,2,0,1,0,7,3,0,2,0,0,3,0,0,1,15,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,1,1,2,2,0,0,1,2,10,0,1,1,2,1,0,0,0,0,3,1,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,6,3,0,1,0,1,0,2,0,0,6,0,4,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,4,0,0,0,0,1,1,0,0,0,0,0,5,0,1,0,1,6,1,15,1,0,0,0,1,0,0,1,0,3,0,1
GHA,0,0,0,0,0,0,3,0,0,0,36,3,0,0,7,3,2,1,0,0,0,1,0,0,0,2,0,0,1,2,1,17,7,0,32,20,2,1,0,1,0,0,0,0,0,1,4,20,0,0,14,0,1,0,1,0,4,2,1,6,0,0,10,0,0,0,76,0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,1,1,4,2,2,1,1,1,7,0,1,3,0,12,0,0,0,0,2,0,0,0,1,0,0,0,1,0,2,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,3,5,1,0,0,28,2,11,7,1,6,1,3,0,2,1,0,2,0,1,1,0,0,1,3,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,19,2,0,0,0,0,1,2,0,0,4,5,0,0,74,0,0,0,0,1,0,0,0,0,50,0,2
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,0,0,2,0,0,12,8,0,0,56,29,1,0,42,1,1,5,10,0,0,2,0,0,0,19,0,0,1,0,1,42,61,7,38,1,1,1,0,7,0,1,2,0,0,83,12,108,0,0,30,0,2,1,4,0,90,16,0,38,0,0,93,0,0,1,339,4,2,0,1,1,0,0,0,0,0,0,0,0,14,0,23,4,18,20,11,0,7,22,112,0,3,13,3,1,1,0,0,0,14,1,0,3,1,0,0,1,0,0,10,3,7,0,3,1,0,0,0,9,0,2,1,8,0,1,1,0,0,0,0,3,6,3,0,0,8,0,66,43,1,9,2,9,0,6,2,0,40,0,43,1,2,2,19,14,1,18,0,2,5,0,0,0,0,0,0,0,12,0,0,10,8,34,0,0,0,0,1,3,0,0,0,0,5,43,0,6,0,2,7,2,171,2,0,0,0,2,0,0,3,0,19,0,1
GRD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,6,1,1,0,0,0,0,0,13,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0
GUF,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
GUY,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0
HND,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HRV,0,0,0,0,0,0,1,3,0,0,17,11,0,0,15,0,0,2,5,0,0,22,0,0,1,11,0,0,0,0,0,19,12,5,15,0,0,0,0,3,0,1,1,0,0,3,7,31,0,0,10,0,1,0,1,0,26,7,0,10,0,0,19,0,0,0,78,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,13,3,4,10,5,0,1,8,29,0,1,10,1,0,0,1,0,0,7,0,0,3,0,0,0,1,0,0,5,1,4,0,0,0,0,0,0,2,0,3,0,0,0,4,0,0,0,0,0,0,5,0,0,0,2,0,23,17,0,3,0,4,0,3,1,0,19,0,17,0,1,1,12,8,0,1,0,0,3,0,0,0,0,0,0,0,28,0,0,6,54,14,0,0,0,0,0,1,0,0,0,0,0,20,0,6,0,1,2,3,63,0,0,0,0,3,0,0,2,0,3,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
HUN,0,0,0,1,0,0,1,2,0,0,40,44,0,0,39,0,0,1,12,0,0,2,1,0,0,12,0,0,1,0,0,36,36,6,28,0,1,0,0,3,0,2,2,0,0,2,18,100,0,0,29,0,1,0,6,0,53,10,0,21,0,0,50,0,0,0,144,1,1,0,0,0,0,23,0,0,0,0,0,0,13,0,0,4,14,21,6,0,2,16,55,0,7,16,3,2,3,0,0,0,8,1,0,1,0,0,0,0,0,0,8,3,4,0,1,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,1,8,0,0,0,2,0,80,25,0,5,0,5,0,2,0,0,56,0,21,0,0,4,24,14,0,3,0,1,4,0,0,0,0,0,0,0,12,0,0,19,19,41,0,0,0,0,0,2,0,0,0,0,2,18,0,1,2,2,4,1,146,0,0,0,0,3,0,0,1,0,11,0,0
IDN,0,0,0,0,0,0,2,0,0,0,121,4,0,0,15,0,0,4,3,1,0,1,0,0,0,10,0,3,0,0,0,16,12,3,28,0,3,0,0,1,0,1,1,0,0,0,1,48,0,0,7,0,1,0,3,0,17,3,4,10,0,0,24,0,0,0,65,1,1,0,1,0,0,4,0,0,0,0,1,0,3,0,4,0,14,4,1,0,0,1,10,0,1,45,0,2,0,1,2,0,6,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,1,2,0,2,0,0,0,1,0,2,0,0,0,1,47,0,0,0,3,0,62,8,5,16,4,9,0,3,11,0,4,0,4,0,1,0,3,4,0,2,0,0,12,0,0,0,0,0,0,0,2,0,0,1,2,18,0,0,0,0,1,11,0,3,0,1,0,4,0,18,1,3,4,1,100,0,0,0,0,11,0,0,0,1,6,0,0
IND,0,9,0,1,0,0,13,8,0,0,137,23,0,0,27,0,1,17,3,0,0,2,0,0,0,21,0,2,8,4,0,129,82,6,134,0,3,0,0,12,0,2,1,0,0,3,3,130,0,0,20,0,1,1,8,0,40,10,11,20,5,0,102,0,0,0,328,2,4,0,0,0,0,18,0,0,0,0,0,0,4,0,14,14,0,9,2,1,3,15,89,1,5,44,2,6,0,4,2,0,20,0,1,3,0,0,0,0,5,0,6,1,1,0,2,1,0,0,1,17,0,0,0,1,4,0,0,0,0,0,2,3,32,1,0,0,8,0,74,33,33,14,1,31,1,1,9,0,17,0,21,0,1,4,10,13,2,23,1,0,31,0,0,0,0,0,0,0,3,0,0,2,6,33,0,0,0,0,0,22,0,0,0,1,3,20,0,11,4,3,0,1,611,0,0,0,0,9,0,0,0,1,43,5,2
IRL,0,0,0,0,0,0,7,4,0,0,148,41,0,0,59,0,0,1,3,2,0,1,0,0,0,20,0,0,1,0,0,116,66,6,60,2,2,0,0,6,0,1,1,0,0,4,14,138,0,0,38,0,0,1,3,0,98,12,0,43,0,0,86,0,0,0,762,2,2,0,0,0,0,20,0,1,0,0,0,0,10,0,21,4,9,0,3,3,9,21,96,0,1,14,3,1,2,0,0,0,7,0,0,5,0,0,0,0,0,0,4,8,3,0,1,4,0,0,0,6,0,2,0,9,0,0,0,0,0,0,0,1,13,0,0,0,2,0,115,62,0,28,0,3,0,0,1,0,36,0,40,0,2,1,28,13,0,2,1,0,15,0,0,0,1,0,0,0,5,0,0,5,10,80,0,0,0,0,0,3,0,0,0,1,1,20,0,3,2,0,0,0,329,0,0,0,0,7,0,0,0,0,31,2,1
IRN,0,0,0,0,0,0,5,3,0,0,70,8,2,0,17,1,1,3,2,0,0,1,0,0,0,8,0,0,1,0,1,53,21,9,28,1,2,1,0,2,0,0,0,0,0,3,5,40,0,0,13,0,0,0,4,0,17,2,0,13,0,0,23,0,0,0,67,0,2,0,1,1,0,11,0,0,0,0,0,0,5,0,6,1,2,3,0,0,4,6,27,0,1,9,2,1,0,0,0,0,12,0,0,3,1,0,0,0,0,0,23,2,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,32,0,0,0,1,0,44,12,1,7,2,5,0,7,2,0,6,0,13,1,0,4,5,3,0,4,0,2,15,0,0,0,0,0,0,0,1,0,0,0,1,20,0,0,1,0,0,6,0,0,0,0,3,15,0,8,0,1,0,1,116,0,0,0,0,4,0,0,4,0,5,0,0
IRQ,0,0,0,0,0,0,5,0,0,0,4,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,4,0,0,0,0,1,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,4,0,1,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,3,0,0,3,0,1,0,1,0,0,2,0,2,0,0,0,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,4,0,0
ISL,0,0,0,0,0,0,1,0,0,0,14,8,1,0,7,0,0,1,1,0,0,1,0,0,0,3,0,0,1,0,0,12,10,2,9,0,0,0,0,2,0,0,0,0,0,2,2,24,0,0,30,0,1,0,2,0,17,2,0,22,1,0,15,0,0,1,55,1,1,0,0,0,1,7,0,1,0,0,0,0,1,0,2,0,3,9,4,0,0,5,19,0,0,4,0,1,0,0,0,0,6,1,0,3,0,0,0,0,0,0,7,0,3,0,1,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,28,0,3,0,1,0,5,0,0,8,0,11,0,0,0,8,14,0,1,0,0,6,0,0,0,0,0,0,0,2,0,0,1,1,28,0,0,0,0,1,2,0,0,0,0,0,7,0,4,0,0,1,1,60,0,0,0,0,0,0,0,3,0,1,0,1
ISR,0,0,0,1,0,0,1,6,0,0,94,23,0,0,41,0,0,0,3,0,0,3,0,0,0,13,0,0,1,0,0,131,58,12,47,0,0,0,0,4,0,0,0,0,0,5,5,202,0,0,53,0,1,0,6,0,44,5,0,20,0,0,83,0,0,0,322,2,1,0,0,0,0,22,0,0,0,0,0,0,8,0,16,1,15,21,6,1,5,0,83,0,1,26,2,1,0,0,0,0,11,0,0,5,0,0,0,0,1,0,8,12,1,0,2,0,0,0,0,10,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,90,30,0,13,0,2,0,6,0,0,31,0,22,0,10,4,21,23,0,0,0,1,23,0,0,0,0,0,0,0,7,0,0,4,5,35,0,0,0,0,0,2,0,0,0,0,1,24,0,11,0,1,2,1,797,0,0,0,0,1,0,0,2,0,25,0,0
ITA,0,6,0,8,0,0,31,24,4,0,256,149,7,0,287,3,0,12,25,1,0,3,0,1,2,100,0,0,1,0,0,275,340,56,156,1,2,0,0,37,0,4,3,0,0,30,61,637,0,0,158,0,5,9,12,0,495,25,2,115,2,0,576,0,0,2,1489,10,7,0,0,0,0,112,0,0,0,0,1,0,29,2,55,10,89,96,27,4,19,83,0,1,11,59,5,15,0,1,0,0,39,2,1,11,1,0,0,3,0,0,23,36,9,0,5,1,0,0,0,37,0,2,0,18,1,3,0,4,0,0,2,4,25,3,0,2,11,0,450,122,2,32,1,17,0,11,9,0,109,0,147,0,3,10,62,125,2,13,1,2,40,0,0,0,0,0,1,1,20,0,0,15,41,189,0,0,1,0,2,12,0,0,0,0,15,79,0,17,4,4,9,5,1277,2,1,1,0,8,0,0,6,0,57,1,2
