,AFG,AGO,ALB,AND,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CPV,CRI,CUB,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
GUY,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HRV,0,0,0,0,0,2,0,16,12,0,0,4,0,0,0,4,2,0,16,0,0,0,0,0,0,0,0,0,0,4,12,2,4,0,0,0,0,0,0,0,0,2,4,26,0,6,0,0,0,0,14,4,2,8,0,6,0,0,44,2,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,2,4,0,0,0,16,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,20,8,0,2,0,0,0,2,0,0,12,6,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,24,0,2,26,6,0,0,0,0,0,0,0,0,0,0,0,10,6,2,2,0,0,40,0,0,0,0,0,0,2,0,2,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
HUN,0,0,0,0,0,8,0,22,36,0,0,44,0,0,0,2,0,0,0,2,0,0,0,10,0,0,0,0,0,18,58,2,14,0,2,0,0,6,0,0,0,4,12,90,0,12,0,0,0,4,48,18,4,22,0,44,0,0,130,2,2,0,0,14,0,0,0,0,0,0,6,0,0,6,6,18,4,0,4,16,34,0,0,10,0,0,0,0,0,6,2,0,2,0,0,0,0,0,0,4,2,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,0,70,6,0,6,2,0,0,4,4,0,10,4,0,0,2,30,12,0,0,0,0,4,0,0,2,0,0,16,0,22,12,28,0,0,0,0,4,0,0,0,0,0,0,8,6,0,2,0,0,174,0,0,0,0,0,0,0,0,2,0,0
IDN,0,0,0,0,0,0,0,66,4,0,0,4,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,8,10,0,12,0,6,0,0,2,0,0,0,0,0,14,0,10,0,0,0,2,8,0,0,2,2,18,0,0,38,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,6,4,0,0,0,2,6,0,0,18,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,28,0,0,0,2,0,44,6,0,12,0,2,0,2,16,4,4,2,0,0,0,0,0,0,6,2,0,6,2,0,2,0,0,4,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,2,14,0,0,0,0,50,0,0,0,6,0,0,0,0,4,0,0
IND,2,0,0,0,8,0,0,54,12,0,0,28,0,0,4,6,0,0,0,0,0,0,2,24,0,0,0,0,0,58,84,4,52,0,4,0,2,10,0,2,2,2,8,88,0,16,2,0,0,8,28,2,4,6,4,118,0,0,332,2,8,0,0,16,0,0,0,0,0,0,0,0,6,6,0,8,0,2,2,6,48,0,0,28,0,4,0,0,0,10,2,0,6,0,2,0,4,0,2,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,2,24,2,0,0,14,0,94,14,2,12,2,10,0,4,10,0,10,10,0,0,0,8,2,0,4,0,0,32,0,2,2,0,0,2,0,0,2,20,0,2,0,0,10,0,0,0,0,0,0,16,12,2,6,2,0,596,0,2,0,4,0,0,0,0,16,0,6
IRL,0,0,0,0,0,4,0,150,38,0,0,40,0,0,0,2,0,0,2,0,0,0,0,8,0,2,0,0,0,88,68,0,82,0,0,0,0,16,0,0,0,4,2,74,0,28,0,0,0,4,96,6,0,34,0,60,0,0,726,0,2,0,0,44,0,0,0,0,0,0,2,0,18,4,8,0,0,0,6,10,84,2,0,10,0,0,0,0,0,6,2,0,2,0,0,2,0,0,0,2,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,10,0,0,0,4,0,128,12,0,20,0,0,0,0,2,0,14,12,0,0,2,6,0,0,2,0,0,8,0,0,2,0,0,4,0,4,12,38,0,0,0,0,4,0,0,0,0,0,0,16,18,4,0,0,0,328,0,0,0,0,0,0,2,0,12,0,0
IRN,0,0,0,0,0,4,2,46,10,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,2,18,0,0,0,0,0,0,0,0,0,2,24,0,4,0,0,0,0,4,2,0,8,0,18,0,0,58,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,14,0,4,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,18,6,0,2,0,0,0,2,2,0,4,6,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,2,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,18,8,0,2,0,0,100,0,0,0,0,0,0,0,0,2,0,0
IRQ,4,0,0,0,0,0,0,4,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,4,0,0,2,0,0,0,0,0,0,0,4,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
ISL,0,0,0,0,0,0,0,6,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,2,2,0,2,0,0,2,0,0,0,0,0,14,0,8,0,0,0,2,10,4,2,0,0,4,0,0,76,2,2,0,0,4,0,0,0,0,0,0,0,0,4,0,2,6,0,0,0,0,6,0,0,2,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,16,10,0,4,2,0,0,2,2,0,6,2,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,68,0,0,0,0,0,0,0,0,2,0,0
ISR,0,0,0,0,2,16,0,58,56,0,0,26,0,0,0,2,0,0,0,0,0,0,2,4,0,0,0,0,0,134,42,4,32,0,0,0,0,4,0,0,0,2,2,170,0,16,0,2,0,2,74,6,0,22,0,76,0,0,220,2,0,0,0,12,0,0,2,0,0,0,0,0,16,2,6,10,0,6,0,0,92,0,2,14,0,2,0,0,0,4,0,0,2,0,0,0,2,0,0,8,0,0,2,2,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,78,22,0,42,0,0,0,0,4,0,12,14,0,0,0,14,10,0,0,0,0,30,0,0,0,2,0,0,0,0,6,20,0,0,0,0,2,0,0,0,0,0,0,28,6,0,2,0,0,922,0,0,0,0,0,0,0,0,10,0,0
ITA,30,0,2,0,4,44,0,212,170,2,0,254,0,2,0,6,0,0,6,4,0,0,2,64,0,0,0,2,0,220,304,48,72,0,6,0,0,26,0,2,0,12,24,620,0,144,0,0,2,40,498,16,8,78,0,660,0,0,1420,6,4,0,0,68,0,0,2,0,0,0,16,0,34,6,48,84,14,2,6,92,0,0,0,64,2,6,2,0,0,18,2,2,8,2,2,0,2,0,16,52,0,8,4,2,0,46,6,0,6,0,2,0,0,2,0,2,10,2,0,0,16,0,442,82,0,92,2,0,0,6,8,0,62,110,0,2,4,54,30,0,4,2,2,28,0,2,2,6,2,10,0,10,10,184,0,8,2,0,10,0,0,0,0,0,4,46,10,2,8,2,10,1510,2,6,0,2,0,0,0,0,30,0,0
JAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,26,0,0,0,0,0,0,0,0,6,0,0
JOR,0,0,0,0,4,0,0,8,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,10,0,4,0,0,0,4,6,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
JPN,0,0,0,0,0,4,0,182,8,0,0,64,0,0,6,4,0,0,0,0,0,0,2,34,0,0,0,0,0,150,30,10,222,0,2,2,0,10,0,0,0,0,2,128,0,16,0,0,0,12,48,4,2,32,0,76,0,0,286,2,2,0,0,10,0,0,2,0,0,0,10,0,10,18,28,10,8,2,2,14,64,0,0,0,2,2,0,4,0,92,0,2,2,0,0,0,4,0,2,2,0,0,0,0,0,22,0,0,0,0,0,2,0,0,0,0,24,2,0,0,46,0,84,40,2,26,2,0,0,6,26,0,8,20,0,0,0,4,12,0,2,0,0,40,0,0,0,0,0,4,0,2,2,52,0,0,0,0,46,0,0,0,0,0,2,18,74,0,4,0,0,814,0,4,0,4,0,0,0,0,14,2,0
KAZ,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
KEN,2,0,0,0,0,0,0,14,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,16,4,0,10,0,2,2,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,8,2,2,4,0,0,82,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,6,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,30,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,12,14,0,0,124,0,0,0,2,0,0,0,0,22,0,8
KGZ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,0,0,8,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,2,0,0
KNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,0,0,0,0,4,2,0,94,8,0,0,8,0,0,2,0,0,0,2,0,0,0,0,6,0,0,0,0,0,88,22,4,184,0,0,0,0,2,0,2,0,0,4,50,0,16,0,0,0,2,14,2,0,6,0,26,0,0,262,0,0,0,0,6,0,0,0,0,0,0,4,0,6,4,10,6,6,0,2,4,18,0,0,92,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,12,0,0,0,2,0,42,12,4,20,0,6,0,2,16,0,6,4,0,0,2,2,0,0,0,0,0,76,0,0,0,0,0,2,0,2,0,26,0,0,0,0,10,0,0,0,0,0,0,14,36,4,2,0,0,1376,0,0,0,6,0,0,0,0,4,0,0
KWT,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,4,2,0,4,0,0,0,0,2,0,0,0,0,0,6,0,2,0,0,0,6,2,0,0,0,0,6,0,0,18,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
LAO,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
LBN,2,0,0,0,4,0,0,8,4,0,0,10,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,18,2,2,12,0,2,0,0,6,0,0,0,0,0,4,0,0,0,0,0,10,18,2,2,0,0,18,0,0,32,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,6,2,0,2,2,2,8,0,0,2,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,4,2,0,0,10,0,6,2,0,6,2,2,0,2,2,0,2,6,0,0,0,6,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,2,0,2,2,0,2,0,0,104,0,0,0,2,0,0,0,0,6,0,0
LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
LBY,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0
LIE,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
LKA,0,0,0,0,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,6,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,0,0,4,0,2,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
LSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
LTU,0,0,0,0,2,0,0,8,8,0,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,14,0,10,0,0,0,0,0,0,0,0,4,0,28,0,16,0,0,0,0,14,10,0,6,0,8,0,0,28,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,2,0,32,0,0,0,16,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,2,0,0,0,0,0,0,18,6,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,24,0,0,0,0,0,0,0,0,2,0,0
LUX,0,0,0,0,0,0,0,4,4,0,0,64,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0,0,2,72,0,2,0,0,0,0,18,0,0,6,0,140,0,0,104,0,0,0,0,62,0,0,0,0,0,0,2,0,4,0,6,2,0,0,4,8,52,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,22,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0
LVA,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,2,0,0,0,0,6,6,0,16,0,2,0,0,38,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
MAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0
MCO,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0
